order,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Abditibacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthocystida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,6.875084219562546e-07,6.879200231659802e-07,0.0,6.875561041244814e-07
Acanthoecida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,0.0,1.0000060000360005e-06,1.0000080000640005e-06,6.87578710014343e-07,2.062525265868764e-06,0.0,0.0,1.375112208248963e-06
Acanthopleuribacterales,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,3.0000300003000036e-05,2e-05,1e-05,1e-05,1.000010000100001e-05,1.1000088000704003e-05,6.000060000600006e-06,4.000032000256002e-06,6.000036000216002e-06,1.2000096000768006e-05,1.4439152910301203e-05,7.562592641518801e-06,1.0318800347489704e-05,6.186431149597058e-06,7.563117145369296e-06
Acarosporales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acaryochloridales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,2e-05,4e-05,0.0,1.2000096000768008e-05,1.6000160001600015e-05,1.5000120000960007e-05,3.300019800118801e-05,2.700021600172801e-05,1.5126731620315546e-05,1.4437676861081348e-05,2.2701360764477352e-05,1.7871912209947057e-05,2.268935143610789e-05
Acetobacterales,0.0,0.0,0.0,0.0,0.0,0.0001,0.0004,0.0,0.0001,0.0002,0.0001800018000180002,0.00023,0.00021,0.00013000000000000002,0.00017000170001700018,0.00025700205601644814,0.00023600236002360023,0.00023700189601516812,0.00022700136200817206,0.00023900191201529613,0.00024890349302519215,0.00021794016976013273,0.00026553712894206844,0.00021652509023589706,0.0002557708707343071
Acholeplasmatales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,1e-05,0.0,3.0000000000000004e-05,1.000010000100001e-05,1.5000120000960009e-05,1.6000160001600015e-05,1.1000088000704007e-05,1.5000090000540005e-05,1.4000112000896008e-05,2.3377676140487664e-05,1.2375151595212582e-05,1.0318800347489705e-05,1.2372862299194118e-05,1.3063565978365149e-05
Acidaminococcales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,0.0,0.0,0.0,2.000020000200002e-05,3.0000240001920015e-06,6.000060000600006e-06,2.000016000128001e-06,8.000048000288004e-06,6.000048000384004e-06,3.437893550071715e-06,4.125050531737528e-06,5.503360185327843e-06,7.561193627285294e-06,2.7502244164979258e-06
Acidiferrobacterales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.000030000300003e-05,7.000000000000001e-05,1e-05,6e-05,2.000020000200002e-05,4.0000320002560023e-05,3.300033000330003e-05,3.500028000224002e-05,4.100024600147601e-05,3.900031200249602e-05,4.194230131087492e-05,3.918798005150651e-05,3.989936134362686e-05,3.5056443181049995e-05,4.05658101433444e-05
Acidilobales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidimicrobiales,0.0,0.0,0.0,0.0,0.0,0.0007,0.00030000000000000003,0.0008,0.0005,0.001,0.0006100061000610002,0.00042,0.00049,0.0006100000000000001,0.0005300053000530002,0.0005950047600380721,0.0006120061200612001,0.0005920047360378721,0.000573003438020552,0.0005610044880358201,0.0006016313712624893,0.0006070699365873514,0.0006390777015211293,0.0005664021408074676,0.0005452319905706875
Acidithiobacillales,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,4.000040000400004e-05,4e-05,0.0,6e-05,4.000040000400004e-05,2.300018400147201e-05,3.0000300003000026e-05,2.1000168001344013e-05,3.400020400122401e-05,3.600028800230402e-05,3.369135679070281e-05,2.6812828456293933e-05,3.3020161111967055e-05,3.093215574798529e-05,1.8564014811361e-05
Acidothermales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,2.000016000128001e-06,1.000010000100001e-06,0.0,2.000012000072001e-06,0.0,0.0,1.3750168439125092e-06,0.0,6.873812388441177e-07,6.875561041244814e-07
Acoela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000012000072001e-06,0.0,0.0,0.0,0.0,0.0,0.0
Acrochaetiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.062736130043029e-06,0.0,0.0,0.0,6.875561041244814e-07
Acrospermales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000060000360005e-06,0.0,1.375157420028686e-06,6.875084219562546e-07,0.0,2.062143716532353e-06,0.0
Acrosymphytales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,6.879200231659802e-07,1.3747624776882353e-06,0.0
