order,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Abditibacteriales,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystida,,,,,,,,,,,,,,,,3.216302795610588e-06,,,,,,2.186069490777115e-06,2.193049786616398e-06,,2.1848610974558734e-06
Acanthoecida,,,,,,,,,,,,,,,,6.432605591221176e-06,,,3.2094486167278434e-06,3.2257752344334224e-06,2.183816175089791e-06,6.558208472331344e-06,,,4.369722194911748e-06
Acanthopleuribacterales,,,,,0.0032573289902280127,,,,,,9.903931860948807e-05,6.589568712727754e-05,3.341464229625422e-05,3.355254328278084e-05,3.2812705079406776e-05,3.537933075171646e-05,1.9354838709677434e-05,1.2817390635615214e-05,1.9256691700367058e-05,3.8709302813201067e-05,4.586013967688562e-05,2.4046764398548263e-05,3.289574679924597e-05,1.9636592134891514e-05,2.403347207201461e-05
Acarosporales,,,,,,,,,,,,,,,,,,,,,,,,,
Acaryochloridales,,,,,,,,,,,,0.00026358274850911016,6.682928459250843e-05,0.00013421017313112335,,3.859563354732706e-05,5.161290322580649e-05,4.8065214883557056e-05,0.00010591180435201882,8.70959313297024e-05,4.804395585197541e-05,4.590745930631941e-05,7.237064295834115e-05,5.672793283413105e-05,7.210041621604383e-05
Acetobacterales,,,,,,0.0003255208333333333,0.0013201320132013201,,0.0003361344537815126,0.0006791171477079796,0.0005942359116569284,0.0007578004019636916,0.0007017074882213386,0.00043618306267615087,0.0005578159863499153,0.0008265898184719212,0.0007612903225806458,0.0007594303951602015,0.0007285448359972204,0.000770960281029588,0.0007905414553825045,0.0006929840285763454,0.0008465172176339298,0.0006872807247212032,0.000812768328253585
Acholeplasmatales,,,,,,,,,,,3.301310620316268e-05,3.294784356363877e-05,,0.0001006576298483425,3.2812705079406776e-05,4.8244541934158825e-05,5.161290322580649e-05,3.524782424794184e-05,4.814172925091765e-05,4.5160853282067916e-05,7.42497499530529e-05,3.934925083398806e-05,3.2895746799245974e-05,3.9273184269783034e-05,4.15123608516616e-05
Acidaminococcales,,,,,,,,,,,6.602621240632536e-05,,,,6.562541015881355e-05,9.648908386831763e-06,1.9354838709677434e-05,6.408695317807607e-06,2.5675588933822748e-05,1.9354651406600537e-05,1.0919080875448957e-05,1.3116416944662687e-05,1.754439829293119e-05,2.400027927597852e-05,8.739444389823494e-06
Acidiferrobacterales,,,,,,,,,,0.0003395585738539898,9.903931860948805e-05,0.00023063490494547138,3.341464229625422e-05,0.000201315259696685,6.562541015881355e-05,0.00012865211182442354,0.00010645161290322588,0.00011215216806163313,0.00013158739328584157,0.0001258052341429035,0.00013321278668047726,0.00012460596097429554,0.0001271968876237511,0.00011127402209771859,0.00012890680474989652
