phylum,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Abditibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000024000192002e-06,3.000030000300003e-06,2.000016000128001e-06,4.000024000144001e-06,4.000032000256002e-06,1.375157420028686e-06,3.437542109781273e-06,3.439600115829901e-06,4.124287433064706e-06,2.0626683123734445e-06
Acanthocephala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidobacteriota,0.0,0.0,0.0,0.0,0.001,0.0002,0.0002,0.0001,0.0002,0.0002,0.00024000240002400026,0.00028000000000000003,0.00028000000000000003,0.00035,0.0002500025000250003,0.0002210017680141441,0.00021900219002190022,0.0002190017520140161,0.00024600147600885606,0.0002190017520140161,0.00021865002978456108,0.00021106508554057018,0.00019880888669496832,0.00022889795253509115,0.00023583174371469715
Actinomycetota,0.001,0.004,0.004,0.003,0.009000000000000001,0.005,0.0055000000000000005,0.0055000000000000005,0.0045000000000000005,0.0056,0.005540055400554004,0.00545,0.0050100000000000006,0.00543,0.005790057900579005,0.005424043392347066,0.005514055140551405,0.005576044608356783,0.005487032922197338,0.005526044208353526,0.0056711492001981735,0.005654069262168121,0.005587974348177124,0.0054275622619129466,0.005413129207771953
Annelida,0.0,0.0,0.0,0.001,0.003,0.0006,0.00030000000000000003,0.0002,0.00030000000000000003,0.0,0.00022000220002200022,0.00023,0.00018,0.00029,0.00022000220002200022,0.00023100184801478412,0.00025000250002500023,0.0002520020160161281,0.0002640015840095041,0.0002630021040168321,0.0002413401272150344,0.0002598781834994642,0.00024765120833975294,0.00025914272704423235,0.0002502704219013113
Apicomplexa,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,4.000040000400004e-05,5e-05,7.000000000000001e-05,0.00013000000000000002,6.0000600006000066e-05,7.900063200505605e-05,7.500075000750007e-05,9.700077600620805e-05,7.100042600255603e-05,8.700069600556804e-05,7.013302842146299e-05,8.112599379083804e-05,7.016784236293e-05,7.286241131747647e-05,6.944316651657263e-05
Aquificota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,6.000048000384003e-06,3.0000300003000026e-06,3.000024000192002e-06,3.0000180001080015e-06,4.000032000256002e-06,8.938523230186459e-06,6.875084219562546e-06,6.1912802084938224e-06,6.186431149597059e-06,7.5631171453692965e-06
Armatimonadota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030000000000000003,0.0,3.000030000300003e-05,4e-05,2e-05,0.0,2.000020000200002e-05,1.3000104000832007e-05,1.7000170001700014e-05,1.2000096000768006e-05,2.000012000072001e-05,2.000016000128001e-05,1.3751574200286859e-05,1.3750168439125094e-05,1.6510080555983528e-05,1.9934055926479413e-05,2.200179533198341e-05
Arthropoda,0.003,0.003,0.002,0.002,0.004,0.0031000000000000003,0.0043,0.0039000000000000003,0.0036000000000000003,0.0024000000000000002,0.0036000360003600024,0.0035900000000000003,0.0030900000000000003,0.00336,0.0037700377003770024,0.003529028232225709,0.003464034640346402,0.0035980287842301414,0.0034730208381248766,0.0034880279042231255,0.003473647642992374,0.00351041800250856,0.003439600115829751,0.003504956936866006,0.0033772755834593745
Artverviricota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,3.0000300003000026e-06,3.0000240001920015e-06,1.0000060000360005e-06,5.000040000320003e-06,2.062736130043029e-06,6.875084219562546e-07,6.879200231659802e-07,5.4990499107529405e-06,1.3751122082489629e-06
