phylum,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Abditibacteriota,,,,,,,,,,,,,,,,9.501007106753909e-06,9.528013949012427e-06,6.31482563187764e-06,1.2631525761997578e-05,1.2707206892389844e-05,4.302824158636809e-06,1.0765954606429704e-05,1.0795428783636565e-05,1.2903114811916406e-05,6.457890250308254e-06
Acanthocephala,,,,,,,,,,,,,,,,,,,,,,,,,
Acidobacteriota,,,,,0.0031847133757961785,0.0006389776357827476,0.0006521030322791002,0.00031675641431739,0.0006589785831960462,0.0006682258603407952,0.0007802848039534438,0.0009096225066597362,0.0009196610392169742,0.001155992997985269,0.0008062175497436236,0.0006999075235308712,0.0006955450182779072,0.0006914734066906015,0.000776838834362851,0.000695719577358344,0.0006841490412232527,0.0006610296128347839,0.0006239757836941936,0.0007161228720613605,0.000738352118618577
Actinomycetota,0.0034843205574912888,0.013333333333333332,0.013468013468013466,0.00949367088607595,0.02866242038216561,0.01597444089456869,0.017932833387675255,0.01742160278745645,0.01482701812191104,0.018710324089542263,0.018011574224591986,0.017705152361769862,0.01645536359456086,0.017934405654457176,0.018671998452062317,0.017177820849010834,0.01751248963828484,0.017605733861674595,0.01732729546401956,0.01755500632183612,0.017744846830217802,0.017707842136655213,0.017538253601895547,0.016980499092481345,0.016947656646892014
Annelida,,,,0.0031645569620253164,0.009554140127388535,0.0019169329073482426,0.0009781545484186503,0.00063351282863478,0.0009884678747940692,,0.0007152610702906567,0.0007471899161847832,0.0005912106680680549,0.000957822769759223,0.0007094714437743887,0.0007315775472200509,0.0007940011624177022,0.0007956680296165827,0.0008336807002918402,0.0008354988531746322,0.00075514563984076,0.0008139061682460856,0.000777270872421833,0.0008107457140154143,0.0007835573503707349
Apicomplexa,,,,,,0.0003194888178913738,,,,0.0003341129301703976,0.00013004746732557393,0.00016243259047495287,0.00022991525980424355,0.0004293688278231,0.00019349221193846965,0.00025019318714451956,0.00023820034872531066,0.0003062690431460655,0.00022420958227545702,0.0002763817499094791,0.0002194440320904773,0.000254076528711741,0.00022022674718618599,0.0002279550283438565,0.00021741563842704454
Aquificota,,,,,,,,,,,,,,,3.224870198974494e-05,1.9002014213507814e-05,9.528013949012426e-06,9.472238447816461e-06,9.473644321498185e-06,1.2707206892389844e-05,2.7968357031139263e-05,2.1531909212859408e-05,1.943177181054582e-05,1.935467221787461e-05,2.3678930917796932e-05
Armatimonadota,,,,,,,,,0.0009884678747940692,,9.753560049418046e-05,0.0001299460723799623,6.569007422978388e-05,,6.449740397948988e-05,4.11710307959336e-05,5.399207904440375e-05,3.788895379126584e-05,6.315762880998789e-05,6.353603446194921e-05,4.302824158636809e-05,4.306381842571882e-05,5.181805816145552e-05,6.236505492426264e-05,6.888416266995471e-05
Arthropoda,0.010452961672473867,0.009999999999999998,0.006734006734006733,0.006329113924050633,0.012738853503184714,0.00990415335463259,0.014020215194000653,0.012353500158378208,0.011861614497528832,0.008018710324089543,0.01170427205930165,0.011662659996101617,0.010149116468501609,0.011097532780658585,0.012157760650133837,0.011176351359911043,0.01100168010645968,0.011360371311747455,0.010967322242853916,0.0110806844101636,0.01086893382471631,0.010994192844085777,0.010795428783636095,0.010965497070993157,0.010573718969837801
Artverviricota,,,,,,,,,,,,,,,,6.334004737835938e-06,9.528013949012426e-06,9.47223844781646e-06,3.157881440499395e-06,1.5884008615487307e-05,6.454236237955214e-06,2.153190921285941e-06,2.159085756727313e-06,1.7204153082555207e-05,4.305260166872169e-06
Ascomycota,0.0034843205574912888,,,,,0.0012779552715654952,0.0019563090968373006,0.0022172949002217295,0.0009884678747940692,0.0003341129301703976,0.0015280577410754937,0.0009745955428497173,0.0014780266701701372,0.0014202199689533309,0.0016769325034667367,0.0013269739925766291,0.0014006180505048268,0.0014334654184362243,0.0012505210504377604,0.0014104999650552728,0.0012736359509564956,0.001418952817127435,0.001323519568873843,0.0013204187490861122,0.001298035940311959
Atribacterota,,,,,,,,,,,,,,,,3.167002368917969e-06,,,,,2.1514120793184045e-06,,2.159085756727313e-06,2.1505191353194014e-06,2.1526300834360847e-06
Bacillariophyta,0.06968641114982578,0.08999999999999998,0.06734006734006734,0.06645569620253165,0.09554140127388534,0.06357827476038339,0.07010107597000327,0.0693696547355084,0.06688632619439867,0.07183427998663548,0.06027700110540347,0.06425833279189136,0.06378506207712013,0.06516497671499819,0.06401367344964365,0.06531308985419179,0.06651824138270537,0.06619200227333742,0.0650870943701289,0.06561683959057436,0.0646563872197519,0.06495961690427143,0.06463870938489823,0.0643736397966474,0.06526989675986211
Bacillota,0.0069686411149825775,,0.0033670033670033664,0.006329113924050633,0.0031847133757961785,0.0025559105431309905,0.005868927290511901,0.004117833386126069,0.0023064250411861617,0.0030070163715335786,0.005396969894011319,0.0038009226171138973,0.004729685344544439,0.0044258017637150305,0.005127543616369445,0.004563650413610794,0.004433702490940449,0.004455109483289674,0.004525244104235632,0.004638130515722293,0.004610476085979341,0.004549692416677193,0.0044822620309659025,0.004677379119319697,0.004630307309471018
Bacteroidota,0.19860627177700346,0.13999999999999999,0.16835016835016833,0.1930379746835443,0.12738853503184713,0.1801916932907348,0.16628627323117054,0.18055115616091227,0.18879736408566722,0.1670564650851988,0.18255413225827427,0.18358131375479173,0.17210799448203373,0.17934405654457178,0.17704537392369957,0.17975272045502586,0.17798330056755202,0.1803230033310611,0.17944345497491965,0.17976250230317242,0.17850266022102787,0.178374642301149,0.1776409397204757,0.1789489982881788,0.1801665274632457
Balneolota,,,,,,,0.0003260515161395501,,,0.0003341129301703976,9.753560049418047e-05,3.2486518094990575e-05,0.00013138014845956775,3.302837137100769e-05,6.449740397948988e-05,0.00012034609001888284,9.845614413979508e-05,9.156497166222578e-05,0.00014526254626297215,9.848085341602129e-05,0.00010111636772796503,0.00011196592790686894,0.00010579520207963837,8.602076541277604e-05,0.00011408939442211245
Basidiomycota,0.0034843205574912888,,0.006734006734006733,,,,,,0.0009884678747940692,,0.00035763053514532834,0.00019491910856994348,0.000492675556723379,0.00023119859959705387,0.00029023831790770446,0.0003008652250472071,0.00032712847891609335,0.00032205610722575966,0.00028736721108544493,0.0003017961636942588,0.00030334910318389503,0.00031005949266517554,0.0003022720059418239,0.00028816956413279973,0.0003745576345178787
Bdellovibrionota,,,,,,,0.0003260515161395501,0.00031675641431739,,,0.00013004746732557393,0.00019491910856994345,0.00032845037114891937,0.00023119859959705387,0.0002579896159179595,0.00019002014213507815,0.0002096163068782734,0.00020838924585196212,0.00020842017507296005,0.00021602251717062735,0.00019577849921797481,0.0001528765554113018,0.00023965851899673178,0.00020429931785534308,0.00021956826851048062
Blastocladiomycota,,,,,,,,,,,,,,,,,,,,,,2.153190921285941e-06,,2.1505191353194014e-06,2.1526300834360847e-06
Brachiopoda,,,,,,,,,,,,,,,,3.167002368917969e-06,9.528013949012426e-06,1.262965126375528e-05,,1.5884008615487303e-05,6.454236237955214e-06,6.459572763857823e-06,4.318171513454627e-06,2.1505191353194014e-06,4.305260166872169e-06
Bryozoa,,,,,,0.0006389776357827476,0.0003260515161395501,,,,9.753560049418046e-05,9.745955428497174e-05,0.0002627602969191355,6.605674274201539e-05,9.674610596923481e-05,8.867606632970314e-05,0.00012704018598683236,5.367601787095994e-05,0.00011684161329847758,0.00015248648270867814,0.00015705308179024354,0.00011411911882815487,0.0001899995465920036,0.00012688062898384467,0.00012485254483929293
Caldisericota,,,,,,,,,,,,,,,,,,,,,,2.153190921285941e-06,,,
