,class,read count,relative error
0,Abditibacteriia,1000,
1,Acantharea,1000,0.004076515377874032
2,Acidimicrobiia,1000,0.228125561856212
3,Acidithiobacillia,1000,0.6134431997451425
4,Aconoidasida,1000,0.411156234156894
5,Actinomycetes,1000,0.3196165892673169
6,Actinophryidae,1000,
7,Agaricomycetes,1000,2.435744912659867
8,Agaricostilbomycetes,1000,0.5733899028859462
9,Alphaproteobacteria,1000,0.05003256533393442
10,Anaerolineae,1000,2.6120518499170173
11,Andreaeopsida,1000,
12,Anthocerotopsida,1000,
13,Anthozoa,1000,1.5494070666785118
14,Aphelidea,1000,1.2588132528010922
15,Aquificia,1000,0.422695719437018
16,Arachnida,1000,0.5915297661735333
17,Archaeoglobi,1000,
18,Ardenticatenia,1000,3.4557775927739915
19,Arfiviricetes,1000,0.21001067185959674
20,Armatimonadia,1000,2.4586669157660257
21,Armophorea,1000,0.0004234497305475272
22,Arthoniomycetes,1000,
23,Ascetosporea,1000,0.5706528039321415
24,Atractiellomycetes,1000,
25,Atribacteria,1000,0.2102886748248835
26,Bacillariophyceae,1000,0.13750996987068162
27,Bacilli,1000,0.28855564879404405
28,Bacteriovoracia,1000,0.44820600774977504
29,Bacteroidia,1000,0.2557025995291381
30,Balneolia,1000,0.677263556535201
31,Bangiophyceae,1000,1.0393049030938177
32,Bartheletiomycetes,1000,
33,Basidiobolomycetes,1000,
34,Bdellovibrionia,1000,0.7792517472765975
35,Betaproteobacteria,1000,0.20519841947923903
36,Bigyra,1000,0.35993923152106017
37,Bivalvia,1000,0.5758620770562984
38,Blastocatellia,1000,
39,Blastocladiomycetes,1000,0.0009116858903559783
40,Bolidophyceae,1000,1.8708664721245076
41,Branchiopoda,1000,0.30649602069904197
42,Breviatea,1000,
43,Bryopsida,1000,0.9476275580584903
44,Calcarea,1000,
45,Caldilineae,1000,0.9305725137621057
46,Caldisericia,1000,
47,Calditrichia,1000,0.455477008429761
48,Candelariomycetes,1000,
49,Candidatus Abyssobacteria,1000,
50,Candidatus Altiarchaeia,1000,
51,Candidatus Aminicenantia,1000,
52,Candidatus Aquicultoria,1000,
53,Candidatus Asgardarchaeia (ex Tamarit et al. 2024),1000,
54,Candidatus Auribacteria,1000,
55,Candidatus Babeliae,1000,0.5332775233554032
56,Candidatus Bathyarchaeia,1000,0.6030257742891718
57,Candidatus Binatia,1000,0.3697615118630657
58,Candidatus Bipolaricaulia,1000,0.2590626229313633
59,Candidatus Borrarchaeia,1000,
60,Candidatus Brocadiia,1000,0.36782181204004094
61,Candidatus Cloacimonadia,1000,0.5856289957927031
62,Candidatus Cryosericia,1000,
63,Candidatus Culexarchaeia,1000,
64,Candidatus Dadabacteria,1000,1.3221457350229187
65,Candidatus Deferrimicrobia,1000,
66,Candidatus Desulfofervidia,1000,0.5732041414596757
67,Candidatus Dormibacteria,1000,
68,Candidatus Elulimicrobia,1000,
69,Candidatus Entotheonellia,1000,0.5332080198425057
70,Candidatus Fermentibacteria (class),1000,
71,Candidatus Fermentithermobacillia,1000,
72,Candidatus Geothermincolia,1000,
73,Candidatus Hadarchaeia,1000,
74,Candidatus Hydrogenedentia,1000,
75,Candidatus Izimaplasma,1000,0.8010381531472182
76,Candidatus Jordarchaeia,1000,
77,Candidatus Korarchaeia,1000,
78,Candidatus Krumholzibacteriia,1000,
79,Candidatus Lambdaproteobacteria,1000,
80,Candidatus Limnocylindria,1000,
81,Candidatus Marinamargulisbacteria,1000,
82,Candidatus Mcinerneyibacteria,1000,
83,Candidatus Methanofastidiosia,1000,
84,Candidatus Methanoliparia,1000,1.9697124394495167
85,Candidatus Methanomethylicia,1000,
86,Candidatus Methylomirabilia,1000,1.3988096165707549
87,Candidatus Micrarchaeia,1000,
88,Candidatus Moduliflexia,1000,
89,Candidatus Muproteobacteria,1000,
90,Candidatus Nanoarchaeia,1000,
91,Candidatus Nanohaloarchaea,1000,
92,Candidatus Nanosyncoccalia,1000,
93,Candidatus Odinarchaeia,1000,
