,family,read count,relative error
0,Abditibacteriaceae,1000,
1,Abyssicoccaceae,1000,0.5090727264323283
2,Acanthaceae,1000,0.36979193636493474
3,Acanthamoebidae,1000,0.9293718662434566
4,Acanthocerataceae,1000,0.4010284220053563
5,Acanthocnemidae,1000,
6,Acanthoecidae,1000,
7,Acanthopleuribacteraceae,1000,3.397503960177263
8,Acaridae,1000,0.2697246723225363
9,Acarosporaceae,1000,
10,Acartiidae,1000,0.45875560385576725
11,Acaryochloridaceae,1000,0.9791161387688644
12,Acaulosporaceae,1000,
13,Acavomonidia,1000,
14,Acerentomidae,1000,
15,Acetobacteraceae,1000,0.45476727338948514
16,Acetomicrobiaceae,1000,0.3712222674567321
17,Achnanthaceae,1000,0.5995931889611411
18,Achnanthidiaceae,1000,0.7506465377747297
19,Acholeplasmataceae,1000,0.40779700376922706
20,Acidaminobacteraceae,1000,
21,Acidaminococcaceae,1000,0.8591073280457854
22,Acidiferrobacteraceae,1000,0.50941277845046
23,Acidilutibacteraceae,1000,0.1747399392302876
24,Acidimicrobiaceae,1000,2.102252990514296
25,Acidithiobacillaceae,1000,0.6110167681982834
26,Acidobacteriaceae,1000,0.7904692197038128
27,Acidocellaceae,1000,0.25507204604963685
28,Acidothermaceae,1000,1.350659792746304
29,Acinetidae,1000,0.612785640787708
30,Acinetosporaceae,1000,0.473108902417188
31,Ackermannviridae,1000,0.4704770196770257
32,Acmaeidae,1000,
33,Acoetidae,1000,
34,Acrasidae,1000,
35,Acrididae,1000,0.4429304102656671
36,Acroceridae,1000,0.5938267820028067
37,Acrochaetiaceae,1000,0.7071886962002394
38,Acroporidae,1000,1.4351283808542112
39,Acrospermaceae,1000,0.45878052464333885
40,Acrothesauraceae,1000,
41,Acrotrichaceae,1000,
42,Actinidiaceae,1000,1.1917901854868458
43,Actiniidae,1000,1.1264426067292599
44,Actinomycetaceae,1000,0.8969515957222912
45,Actinopolymorphaceae,1000,0.7549387843064753
46,Actinopolysporaceae,1000,0.8081452404481148
47,Actinospicaceae,1000,
48,Actinostolidae,1000,
49,Acutalibacteraceae,1000,2.3690754959821385
50,Acytosteliaceae,1000,1.771454255904643
51,Adelgidae,1000,2.6005341864178733
52,Adelidae,1000,0.9724790926050171
53,Adenocystaceae,1000,
54,Adenoviridae,1000,
55,Aderidae,1000,0.0010431821921179807
56,Adinetidae,1000,0.4826287550986955
57,Adintoviridae,1000,
58,Aegisthidae,1000,0.4475845036961569
59,Aeglidae,1000,
60,Aerococcaceae,1000,0.7752548876433355
61,Aeromonadaceae,1000,0.4913213226106691
62,Aerosakkonemataceae,1000,
63,Aestuariirhabdaceae,1000,
64,Aestuariivirgaceae,1000,
65,Afifellaceae,1000,
66,Agalmatidae,1000,1.1929206651890456
67,Agaonidae,1000,0.49358855985955125
68,Agaraceae,1000,0.21146602326419772
69,Agaricaceae,1000,0.3679205161918278
70,Agaricostilbaceae,1000,0.2670035799959971
71,Agelasidae,1000,0.6193482878270881
72,Aggregatilineaceae,1000,
73,Aggregaviridae,1000,
74,Agriolimacidae,1000,
75,Agromyzidae,1000,0.42552354802555115
76,Ahnfeltiaceae,1000,0.3806318410765552
77,Ahrensiaceae,1000,0.7161507590164761
78,Aiptasiidae,1000,1.4381661526118288
79,Aizoaceae,1000,1.941403709081995
80,Ajellomycetaceae,1000,0.8777216850748121
81,Akkermansiaceae,1000,1.3322294666709777
82,Akkesiphycaceae,1000,
83,Alariaceae,1000,0.882244488923402
84,Albuginaceae,1000,0.8377787046432257
85,Alcaligenaceae,1000,0.46591309767057754
86,Alcanivoracaceae,1000,0.34342029771806815
87,Alciopedidae,1000,
88,Alciopidae,1000,
89,Aleyrodidae,1000,0.5093667684217764
90,Algiphilaceae,1000,
91,Alicyclobacillaceae,1000,0.4459415824851359
92,Alismataceae,1000,
93,Aliterellaceae,1000,
94,Alloherpesviridae,1000,
95,Alloionematidae,1000,1.0479819735799152
96,Allomimiviridae,1000,2.234173275421395
97,Alphamonaceae,1000,0.0009339580093644868
98,Alphamycetaceae,1000,0.0010431821921179807
99,Alpheidae,1000,0.33579223018105714
100,Alsobacteraceae,1000,
