,genus,read count,relative error
0,Aaosphaeria,1000,0.5165650541295261
1,Abditibacterium,1000,
2,Abelmoschus,1000,
3,Abidjanvirus,1000,
4,Abies,1000,0.0005893591870613055
5,Abiotrophia,1000,1.564854816105244
6,Abortiporus,1000,
7,Abrostola,1000,0.7227259188692902
8,Abrus,1000,1.238302509300624
9,Abscondita,1000,
10,Absidia,1000,
11,Abyssalbus,1000,0.42358412775244103
12,Abyssibacter,1000,
13,Abyssibius,1000,0.43470809456987686
14,Abyssicoccus,1000,0.5092822665980108
15,Abyssisolibacter,1000,
16,Acacia,1000,
17,Acanthamoeba,1000,0.9304018343958358
18,Acanthephyra,1000,0.4704796658148559
19,Acanthoceras,1000,0.4008526786729031
20,Acanthocheilonema,1000,
21,Acanthocnemus,1000,
22,Acanthocyclops,1000,
23,Acanthodendrilla,1000,
24,Acanthophora,1000,
25,Acanthopleuribacter,1000,
26,Acanthoscelides,1000,
27,Acanthotrema,1000,
28,Acanvirus,1000,
29,Acaricomes,1000,
30,Acaromyces,1000,0.4377687187226504
31,Acarospora,1000,
32,Acartia,1000,0.4591191439506767
33,Acarus,1000,
34,Acaryochloris,1000,0.9803262721143944
35,Acaulospora,1000,
36,Acavomonas,1000,
37,Acentria,1000,0.9530550013734508
38,Acephala,1000,
39,Acer,1000,0.7059696475232935
40,Aceraius,1000,
41,Acerihabitans,1000,
42,Acetabularia,1000,1.3924644300804039
43,Acetanaerobacterium,1000,
44,Acetatifactor,1000,
45,Aceticella,1000,1.5034899240987654
46,Acetivibrio,1000,0.46310867419003715
47,Acetoanaerobium,1000,0.6330381600749774
48,Acetobacter,1000,0.5608887166961318
49,Acetobacterium,1000,0.627149599593536
50,Acetobacteroides,1000,
51,Acetohalobium,1000,1.203721154482926
52,Acetomicrobium,1000,0.37145311429340677
53,Acetonema,1000,
54,Achaetomiella,1000,
55,Achlya,1000,3.300917844280526
56,Achnanthes,1000,0.5995510471139466
57,Achnanthidium,1000,0.0018508461532003471
58,Acholeplasma,1000,0.598656479036796
59,Acholoe,1000,1.4124185829358111
60,Achromatium,1000,
61,Achromobacter,1000,0.22690865757813453
62,Acidaminobacter,1000,
63,Acidaminococcus,1000,1.4700243494926828
64,Acidianus,1000,1.341351505710087
65,Acidibacter,1000,
66,Acidibrevibacterium,1000,0.28943690388204557
67,Acidicapsa,1000,
68,Acididesulfobacillus,1000,0.45288250222778276
69,Acidiferrimicrobium,1000,
70,Acidiferrobacter,1000,0.4341406986879709
71,Acidihalobacter,1000,2.0869599624432
72,Acidiluteibacter,1000,
73,Acidilutibacter,1000,0.17470387045212257
74,Acidimangrovimonas,1000,
75,Acidimicrobium,1000,2.1060278967376003
76,Acidiphilium,1000,0.2999635029371709
