,order,read count,relative error
0,Abditibacteriales,1000,
1,Acanthocystida,1000,0.21028730048873862
2,Acanthoecida,1000,0.41914194596455506
3,Acanthopleuribacterales,1000,3.3975971258002855
4,Acarosporales,1000,
5,Acaryochloridales,1000,0.7192093882024454
6,Acetobacterales,1000,0.30541790679801933
7,Acholeplasmatales,1000,0.4075605772444945
8,Acidaminococcales,1000,0.8590279554046045
9,Acidiferrobacterales,1000,0.5108202043220975
10,Acidilobales,1000,
11,Acidimicrobiales,1000,0.2428144427623669
12,Acidithiobacillales,1000,0.6130954102065836
13,Acidothermales,1000,1.3503663106383126
14,Acoela,1000,
15,Acrochaetiales,1000,0.7068530567687631
16,Acrospermales,1000,0.45899394921927905
17,Acrosymphytales,1000,0.27341181704359274
18,Actiniaria,1000,0.5312999541623222
19,Actinomycetales,1000,0.8898905648720395
20,Actinopolysporales,1000,0.8081087389963358
21,Acytosteliales,1000,1.4496425411893383
22,Adapedonta,1000,
23,Adinetida,1000,0.48243149197174956
24,Aeromonadales,1000,0.4931356202888204
25,Agaricales,1000,0.5033502714586015
26,Agaricostilbales,1000,0.5737482768300041
27,Agelasida,1000,0.6196138193799536
28,Aggregatilineales,1000,
29,Ahnfeltiales,1000,0.380673246236268
30,Alaninales,1000,
31,Albuginales,1000,0.83784580741194
32,Algavirales,1000,1.24330648767993
33,Alismatales,1000,0.31200771259529675
34,Alteromonadales,1000,0.04355308102398463
35,Amborellales,1000,1.0952918064875172
36,Amphidiniales,1000,0.42561934953790626
37,Amphipoda,1000,0.4446637678950611
38,Amylocorticiales,1000,
39,Anaerolineales,1000,2.7109481759950875
40,Anaeroplasmatales,1000,
41,Anaerosomatales,1000,
42,Anaulales,1000,0.4834008621802828
43,Ancyromonadida,1000,0.33398234509273694
44,Andreaeales,1000,
45,Anisolpidiales,1000,
46,Anostraca,1000,0.3931120170340761
47,Anthoathecata,1000,0.44715671691811254
48,Anthocerotales,1000,
49,Antipatharia,1000,
50,Aphragmophora,1000,
51,Apiales,1000,0.2737795771065216
52,Aplysiida,1000,0.9341114331951759
53,Apochela,1000,
54,Apusomonadida,1000,0.2962358810176679
55,Aquificales,1000,0.48385600794086553
56,Aquifoliales,1000,0.400370770747537
57,Araneae,1000,0.43094980097068275
58,Araucariales,1000,0.26497792334617687
59,Arcellinida,1000,0.0020794612219110636
60,Archaeoglobales,1000,
61,Archaeognatha,1000,0.2716940411661114
