,phylum,read count,relative error
0,Abditibacteriota,1000,0.3133471329548415
1,Acanthocephala,1000,
2,Acidobacteriota,1000,0.6637226832146159
3,Actinomycetota,1000,0.24993893320771265
4,Annelida,1000,1.423671224050235
5,Apicomplexa,1000,0.2799677192792234
6,Aquificota,1000,0.414597078136579
7,Armatimonadota,1000,1.920259775630156
8,Arthropoda,1000,0.1565556369750347
9,Artverviricota,1000,0.7023029819470902
10,Ascomycota,1000,0.40051679417777813
11,Atribacterota,1000,0.1923934491675875
12,Bacillariophyta,1000,0.11559387340798674
13,Bacillota,1000,0.24389140954432048
14,Bacteroidota,1000,0.08311504272484158
15,Balneolota,1000,0.6775906262878354
16,Basidiomycota,1000,1.862435099390137
17,Bdellovibrionota,1000,0.246127930039603
18,Blastocladiomycota,1000,0.0006546336977862343
19,Brachiopoda,1000,0.6390369208642469
20,Bryozoa,1000,0.8368790310319926
21,Caldisericota,1000,
22,Calditrichota,1000,0.4555080447285212
23,Campylobacterota,1000,0.8801602461387596
24,Candidatus Abawacaibacteriota,1000,
25,Candidatus Absconditibacteriota,1000,0.42914669722984916
26,Candidatus Adlerbacteria,1000,
27,Candidatus Aenigmatarchaeota,1000,0.7069686200524657
28,Candidatus Aerophobetes,1000,0.27499149839499737
29,Candidatus Altarchaeota,1000,
30,Candidatus Amesbacteria,1000,
31,Candidatus Aminicenantota,1000,0.4104354563603611
32,Candidatus Anderseniibacteriota,1000,
33,Candidatus Auribacterota,1000,
34,Candidatus Azambacteria,1000,
35,Candidatus Bathyarchaeota,1000,1.5155278168303739
36,Candidatus Beckwithbacteria,1000,
37,Candidatus Berkelbacteria,1000,
38,Candidatus Binatota,1000,0.3689229841998625
39,Candidatus Bipolaricaulota,1000,0.7215686282608009
40,Candidatus Blackallbacteria,1000,
41,Candidatus Blackburniibacteriota,1000,
42,Candidatus Borrarchaeota,1000,
43,Candidatus Brenneribacteriota,1000,
44,Candidatus Brockarchaeota,1000,
45,Candidatus Buchananiibacteriota,1000,
46,Candidatus Calescamantes,1000,
47,Candidatus Campbellbacteria,1000,0.3726147619650561
48,Candidatus Cerribacteria,1000,
49,Candidatus Chisholmiibacteriota,1000,
50,Candidatus Cloacimonadota,1000,0.5857075244877606
51,Candidatus Coatesiibacteriota,1000,1.13032455476264
52,Candidatus Collierbacteria,1000,
53,Candidatus Colwelliibacteriota,1000,
54,Candidatus Cryosericota,1000,
55,Candidatus Culexarchaeota,1000,
56,Candidatus Curtissbacteria,1000,
57,Candidatus Daviesbacteria,1000,0.00042251579047507503
58,Candidatus Deferrimicrobiota,1000,
59,Candidatus Delongiibacteriota,1000,
60,Candidatus Desantisbacteria,1000,
61,Candidatus Dormiibacterota,1000,
62,Candidatus Doudnaibacteriota,1000,
63,Candidatus Edwardsiibacteriota,1000,
64,Candidatus Eiseniibacteriota,1000,1.0978471027622958
65,Candidatus Electryoneota,1000,
66,Candidatus Elulimicrobiota,1000,
67,Candidatus Falkowbacteria,1000,
68,Candidatus Fermentibacterota,1000,
69,Candidatus Fervidibacterota,1000,0.33499170216064966
70,Candidatus Firestoneibacteriota,1000,
71,Candidatus Fischeribacteriota,1000,
72,Candidatus Fraseribacteriota,1000,
73,Candidatus Geothermarchaeota,1000,
74,Candidatus Gerdarchaeota,1000,
75,Candidatus Giovannonibacteria,1000,0.0018642318796994093
76,Candidatus Glassiibacteriota,1000,
77,Candidatus Goldiibacteriota,1000,
78,Candidatus Gottesmanbacteria,1000,
79,Candidatus Gracilibacteria,1000,0.6277014903258914
80,Candidatus Gribaldobacteria,1000,
81,Candidatus Hadarchaeota,1000,
82,Candidatus Handelsmaniibacteriota,1000,
83,Candidatus Harrisoniibacteriota,1000,
84,Candidatus Heimdallarchaeota,1000,1.2827474664784109
85,Candidatus Helarchaeota,1000,
86,Candidatus Hinthialibacterota,1000,
87,Candidatus Hydrogenedentota,1000,0.5755217549362251
88,Candidatus Hydrothermarchaeota,1000,
89,Candidatus Hydrothermota,1000,
90,Candidatus Iainarchaeota,1000,
91,Candidatus Jacksoniibacteriota,1000,
92,Candidatus Jorgensenbacteria,1000,
93,Candidatus Kaiserbacteria,1000,0.9955202229588888
94,Candidatus Kapaibacteriota,1000,2.1405056767391555
95,Candidatus Kerfeldiibacteriota,1000,
96,Candidatus Komeiliibacteriota,1000,
97,Candidatus Krumholzibacteriota,1000,
98,Candidatus Kryptoniota,1000,
99,Candidatus Kuenenbacteria,1000,
100,Candidatus Latescibacterota,1000,0.7507291238444369
101,Candidatus Levyibacteriota,1000,0.23726909763641857
102,Candidatus Lindowiibacteriota,1000,
103,Candidatus Liptoniibacteriota,1000,
104,Candidatus Lithacetigenota,1000,
105,Candidatus Lloydiibacteriota,1000,
106,Candidatus Magasanikiibacteriota,1000,
107,Candidatus Margulisiibacteriota,1000,
108,Candidatus Marsarchaeota,1000,
109,Candidatus Mcinerneyibacteriota,1000,
110,Candidatus Melainabacteria,1000,0.9402812418185674
111,Candidatus Methanomethylicota,1000,
112,Candidatus Methylomirabilota,1000,1.3982748118463464
113,Candidatus Micrarchaeota,1000,
