,1K,10K,100K,1M,10M
Flavobacteriaceae,0.0392,0.04712,0.04819,0.0481852,0.0482779
Pseudoalteromonadaceae,0.028399999999999998,0.029400000000000003,0.029858000000000003,0.0297442,0.0296749
Roseobacteraceae,0.0236,0.02408,0.024346,0.0244486,0.024514625
Oceanospirillaceae,0.028200000000000003,0.026380000000000004,0.02665,0.0266486,0.026609475
Alteromonadaceae,0.0226,0.02074,0.021264,0.021351000000000002,0.021334625
Rhodobacteraceae,0.0128,0.015560000000000001,0.014863999999999999,0.015099000000000001,0.015159349999999999
Erythrobacteraceae,0.008400000000000001,0.007719999999999999,0.007188,0.0072436,0.00725195
Pelagibacteraceae,0.005599999999999999,0.00526,0.004987999999999999,0.0049202,0.004915775
Vibrionaceae,0.0025000000000000005,0.0018800000000000002,0.00196,0.0020264000000000002,0.00200835
Colwelliaceae,0.004600000000000001,0.0046,0.004725999999999999,0.0048259999999999996,0.004842425
Moraxellaceae,0.004999999999999999,0.005600000000000001,0.00601,0.0057194,0.005726175
Shewanellaceae,0.0026000000000000003,0.0018,0.0018119999999999998,0.0018834,0.0018470000000000001
Lewinellaceae,0.002,0.00184,0.002076,0.0021654,0.0021560000000000004
Thalassiosiraceae,0.0044,0.00432,0.004342,0.0042762,0.004288875
Halieaceae,0.0036000000000000003,0.0046,0.0045780000000000005,0.004632,0.0046094000000000005
Pirellulaceae,0.0026000000000000003,0.00152,0.0018499999999999999,0.0018126,0.0018243
Chlorellaceae,0.002,0.000375,0.000388,0.000358,0.00035502499999999997
Sphingomonadaceae,0.0016,0.0018799999999999997,0.0016879999999999998,0.0016809999999999998,0.001690975
Chaetocerotaceae,0.0022,0.0016,0.001602,0.0014872,0.00148325
Comamonadaceae,0.0026,0.0030199999999999997,0.0032140000000000003,0.0031222,0.0031036250000000005
Microbacteriaceae,0.0022,0.0023,0.002196,0.0021211999999999997,0.0020774499999999998
Saprospiraceae,0.0015,0.00022,0.00031999999999999997,0.0003038,0.000288675
Burkholderiaceae,0.0016666666666666668,0.00114,0.0010779999999999997,0.0010728,0.00106785
Pseudomonadaceae,0.002,0.00142,0.0014659999999999999,0.0014290000000000001,0.0014319749999999998
Verrucomicrobiaceae,0.0018000000000000002,0.0018800000000000002,0.001752,0.0018445999999999996,0.00183595
Desulfobacteraceae,0.00125,0.00162,0.001568,0.0014754,0.001484975
Desulfobulbaceae,0.0015,0.00048000000000000007,0.00046,0.000479,0.000473225
Geobacteraceae,0.0015,0.0003,0.000158,0.00016099999999999998,0.000154125
Cryomorphaceae,0.0016666666666666668,0.00162,0.0015119999999999999,0.001473,0.0014648
Cyclobacteriaceae,0.0025000000000000005,0.0019,0.00176,0.0017855999999999996,0.00179515
Synechococcaceae,0.002,0.0006200000000000001,0.000452,0.00046499999999999997,0.00045735
Mycobacteriaceae,0.0015,0.000175,0.000338,0.00030160000000000007,0.000303275
Halomonadaceae,0.001,0.00058,0.0005,0.000475,0.00048765000000000006
Skeletonemataceae,0.001,0.000125,0.000264,0.0002402,0.000236025
Bacillariaceae,0.0022,0.0021999999999999997,0.00237,0.002463,0.002447225
Bradyrhizobiaceae,0.001,0.00035,0.00028199999999999997,0.0002826,0.0002691
Mamiellaceae,0.0013333333333333333,0.00118,0.0011779999999999998,0.0011386,0.0011275249999999999
Naviculaceae,0.0038000000000000004,0.004319999999999999,0.0036639999999999997,0.0036712000000000003,0.003683475
Phyllobacteriaceae,0.002,0.0009,0.000716,0.0007508,0.0007359500000000001
Hyphomonadaceae,0.001,0.00035999999999999997,0.00035600000000000003,0.0003922,0.00038527500000000003
Ectothiorhodospiraceae,0.0013333333333333333,0.00038,0.0005560000000000001,0.0005688000000000001,0.00056015
Caulobacteraceae,0.001,0.0002,0.000178,0.00015759999999999998,0.0001597
Rhizobiaceae,0.001,0.00052,0.00048199999999999995,0.0004412,0.00043307500000000005
Suessiaceae,0.001,0.0001,4.333333333333334e-05,3.66e-05,3.31e-05
Gomphonemataceae,0.001,0.00025,0.00014199999999999998,0.0001512,0.00015710000000000002
Methylobacteriaceae,0.001,0.00013333333333333334,0.000134,0.00014859999999999998,0.0001558
Gemmatimonadaceae,0.001,0.00013333333333333334,9.6e-05,8.519999999999998e-05,8.1e-05
Saccharospirillaceae,0.0013333333333333333,0.0006999999999999999,0.0005399999999999999,0.0005314,0.0005433
Nitrospinaceae,0.001,0.0001,7.200000000000002e-05,6.88e-05,6.615000000000001e-05
Litoricolaceae,0.0013333333333333333,0.00058,0.000664,0.0005551999999999999,0.0005664
Cryptosporangiaceae,0.001,,,7.3999999999999995e-06,5.4e-06
Ferrovaceae,0.001,0.0001,1.7500000000000002e-05,9.4e-06,1.01e-05
Cellvibrionaceae,0.0014,0.0012200000000000002,0.0010700000000000002,0.0010161999999999999,0.0010071
Rubricoccaceae,0.0015,0.0006399999999999999,0.0005979999999999999,0.0006306,0.0006242
Crocinitomicaceae,0.0016,0.0019199999999999998,0.001738,0.0016966,0.001727875
Dictyobacteraceae,0.001,0.0001,1e-05,3.8e-06,4.625e-06
Pleioneaceae,0.001,0.0001,0.00012000000000000002,0.000153,0.00015295
Devosiaceae,0.001,0.000225,0.000142,0.0001446,0.000138675
Viruses,0.0016666666666666668,0.0012200000000000002,0.001052,0.0010446000000000001,0.001043425
Chromatiaceae,0.002,0.00116,0.001294,0.0012392,0.0012651
Streptomycetaceae,0.002,0.00023999999999999998,0.000314,0.0002864,0.00028077500000000003
Prolixibacteraceae,0.0015,0.00048000000000000007,0.000282,0.00026660000000000003,0.000261375
Haliscomenobacteraceae,0.002,0.00026,0.00035200000000000005,0.0002988,0.000295475
Bernardetiaceae,0.0015,0.00024000000000000003,0.000332,0.0003126,0.000313425
Planctomycetaceae,0.001,0.0009599999999999999,0.000906,0.0009142000000000001,0.000906225
Alcaligenaceae,0.001,0.000225,0.00029,0.0002632,0.00027909999999999995
Hoehnelomycetaceae,0.001,,1.5000000000000002e-05,1.8000000000000001e-06,3.1500000000000003e-06
Phaeodactylaceae,0.0015,0.00078,0.000724,0.0006889999999999999,0.0006754999999999999
Rhodospirillaceae,0.001,0.0004,0.000614,0.000626,0.0006327500000000001
Hyphomicrobiaceae,0.0015,0.0008200000000000001,0.000802,0.000789,0.0007723
Oxytrichidae,0.001,0.0001,0.00012599999999999997,0.00011379999999999999,0.000113875
Oxalobacteraceae,0.001,0.00036,0.00034799999999999995,0.00035099999999999997,0.000350975
Aeromonadaceae,0.001,0.0002,0.00017399999999999997,0.00018999999999999998,0.00018395
Bacillaceae,0.0015,0.0004,0.00027600000000000004,0.0002858,0.0002795
Flammeovirgaceae,0.001,0.00017999999999999998,0.000238,0.0002526,0.00024115
Desulfonatronaceae,0.001,,1e-05,5.8e-06,5.9749999999999995e-06
Plagiogrammaceae,0.001,0.00014,7.800000000000001e-05,6.8e-05,6.7375e-05
Symbiodiniaceae,0.00125,0.0003,0.000268,0.0002412,0.0002502
Amphipleuraceae,0.001,0.000225,0.00017800000000000002,0.0001908,0.000190825
Anaerolineaceae,0.001,0.00015000000000000001,0.00013800000000000002,0.00016059999999999997,0.00015675
Celerinatantimonadaceae,0.001,0.0002,1e-05,7.8e-06,9.299999999999999e-06
Bathycoccaceae,0.001,0.00086,0.000894,0.0009559999999999999,0.00094765
Arenicellaceae,0.001,0.0006799999999999999,0.0006799999999999999,0.0006652000000000001,0.0006878749999999999
Spongiibacteraceae,0.001,0.00058,0.000748,0.0007064,0.0007099750000000001
Isosphaeraceae,0.001,0.0002,6.8e-05,7.36e-05,7.3975e-05
