,1K,10K,100K,1M,10M
Flavobacteriaceae,0.0025884358211089565,0.001279453008124955,0.0010943491216243563,0.00016044843408397622,3.706993390876229e-05
Pseudoalteromonadaceae,0.0037148351242013425,0.0010074720839804948,0.0007703700409543461,0.0001911143636674117,2.8004404415495817e-05
Roseobacteraceae,0.005128352561983234,0.0014669696656713803,0.0006152072821415565,9.23704498202751e-05,3.503582690142572e-05
Oceanospirillaceae,0.007463243262818116,0.0016130716041143373,0.0004871857961804713,0.00020320383854642015,3.31638734167157e-05
Alteromonadaceae,0.0032093613071762428,0.001941133689368149,0.00043535043355898964,0.00011158628948038339,2.411007742279923e-05
Rhodobacteraceae,0.005674504383644443,0.0021858636736997116,0.000348324561293056,0.00011134406135937408,5.9958318855684326e-06
Erythrobacteraceae,0.0021908902300206644,0.0009203260291874832,0.0002488372962399327,9.508049221580618e-05,5.420024600190136e-06
Pelagibacteraceae,0.002073644135332772,0.0002966479394838266,0.0003335715815233666,2.6328691574022688e-05,1.1507787218516789e-05
Vibrionaceae,0.002380476142847617,0.0004494441010848846,0.00019621416870348586,2.290851370124221e-05,6.1212743771210426e-06
Colwelliaceae,0.0020736441353327723,0.0007416198487095663,0.00020803845798313337,5.507721852090916e-05,2.2796545790974254e-05
Moraxellaceae,0.0015811388300841897,0.0005477225575051662,0.00029180472922829743,4.617141973125799e-05,1.7772145809290072e-05
Shewanellaceae,0.0018165902124584951,0.00023452078799117144,5.167204273105526e-05,3.250076922166611e-05,1.0659893683022041e-05
Lewinellaceae,0.001414213562373095,0.0003577708763999664,0.0001613381541979453,2.912559012277687e-05,1.0883320571712802e-05
Thalassiosiraceae,0.0023021728866442675,0.0005718391382198318,0.0002190205469813277,8.015422633897722e-05,1.176700896574822e-05
Halieaceae,0.0020736441353327723,0.00027386127875258305,0.00022906331002585267,5.240229002629573e-05,1.3437509689919173e-05
Pirellulaceae,0.0008944271909999159,0.0004658325879540847,4.6368092477478536e-05,4.6198484823639e-05,5.8543431171509875e-06
Chlorellaceae,,5.000000000000002e-05,4.207136793592525e-05,1.3322912594474231e-05,1.1870832602082571e-06
Sphingomonadaceae,0.0008944271909999159,0.00039623225512317904,0.00010425929215182696,4.3087121045621046e-05,3.607746295588586e-06
Chaetocerotaceae,0.0010954451150103322,0.00044158804331639233,8.526429498916882e-05,2.6023066690918645e-05,8.360422636844787e-06
Comamonadaceae,0.000894427190999916,0.0004658325879540848,0.0002662329806766998,6.213453146198168e-05,1.0938426151264451e-05
Microbacteriaceae,0.00044721359549995795,0.00048476798574163284,0.0001938556163746617,4.081298812878076e-05,5.146196006112957e-06
Saprospiraceae,0.0007071067811865475,4.4721359549995775e-05,8.306623862918074e-05,1.380941707676325e-05,1.3937359864766468e-06
Burkholderiaceae,0.0005773502691896258,0.00036469165057620933,0.0001277497553813705,3.7751821148124816e-05,8.336466077821358e-06
Pseudomonadaceae,0.0007071067811865475,0.00042661458015403085,5.319774431308151e-05,2.2226110770892886e-05,2.5734218464915265e-06
Verrucomicrobiaceae,0.0013038404810405296,0.0001643167672515499,0.0001211197754291181,6.404139286430294e-05,5.367494760127803e-06
Desulfobacteraceae,0.0005,0.000396232255123179,0.0001344247001112519,3.410718399399166e-05,7.73191438131593e-06
Desulfobulbaceae,0.0007071067811865475,0.00029495762407505253,7.648529270389176e-05,1.8506755523321733e-05,5.377964298877424e-06
Geobacteraceae,0.0007071067811865475,0.00021213203435596425,4.6043457732885354e-05,1.2747548783981967e-05,2.631064423384578e-06
Cryomorphaceae,0.0005773502691896258,0.00043243496620879303,5.6302753041036954e-05,2.7046256672597064e-05,1.3733414239243881e-05
Cyclobacteriaceae,0.0012909944487358056,0.0007314369419163896,3.3911649915626336e-05,3.285270156318961e-05,1.0659111907971824e-05
Synechococcaceae,,0.0003271085446759226,9.121403400793104e-05,3.872983346207413e-06,5.792236183029831e-06
Mycobacteriaceae,0.0007071067811865475,9.57427107756338e-05,4.207136793592527e-05,1.3831124321616075e-05,1.2658988901172275e-06
Halomonadaceae,,0.00013038404810405296,5.567764362830023e-05,2.2814469093099663e-05,2.2927421718690264e-06
Skeletonemataceae,,5e-05,3.507135583350037e-05,2.0620378270051207e-05,3.658209944768072e-06
Bacillariaceae,0.0010954451150103322,0.0005099019513592785,0.0001461163919620246,3.6256033980566604e-05,7.234811676885616e-06
Bradyrhizobiaceae,,0.0001914854215512676,6.379655163094632e-05,1.7067512999848582e-05,2.8855964143772217e-06
Mamiellaceae,0.0005773502691896258,0.00031937438845342625,0.0001294990347454374,1.754422982065613e-05,5.182904591057029e-06
Naviculaceae,0.0019235384061671345,0.000408656334834051,5.6833088953531305e-05,7.25306831623694e-05,9.845938248841435e-06
Phyllobacteriaceae,0.001,0.0003807886552931954,0.00011392980294900889,1.9867058161690668e-05,5.1746175382019185e-06
Hyphomonadaceae,,0.0002073644135332772,3.0495901363953808e-05,1.6115210206509873e-05,4.440251494378836e-06
Ectothiorhodospiraceae,0.0005773502691896258,0.00014832396974191324,5.128352561983233e-05,2.262078690054792e-05,4.965547972446419e-06
Caulobacteraceae,,0.00017320508075688773,2.1679483388678796e-05,1.2280065146407004e-05,1.5874507866387594e-06
Rhizobiaceae,,0.0002280350850198276,4.266145801540308e-05,1.6976454282328794e-05,2.9364093720052004e-06
Suessiaceae,,,2.0816659994661325e-05,3.435112807463536e-06,8.755950357709142e-07
Gomphonemataceae,,0.00012909944487358055,5.06951674225463e-05,7.155417527999321e-06,2.5258661880630192e-06
Methylobacteriaceae,,5.773502691896258e-05,4.505552130427525e-05,1.730028901492689e-05,1.267543556122093e-06
Gemmatimonadaceae,,5.7735026918962585e-05,4.159326868617084e-05,9.984988733093293e-06,1.8129166187849515e-06
Saccharospirillaceae,0.0005773502691896258,0.00010000000000000003,0.00011640446726822814,2.1442947558579715e-05,6.577740240133107e-06
Nitrospinaceae,,,1.9235384061671346e-05,7.463243262818115e-06,9.110433579144289e-07
Litoricolaceae,0.0005773502691896258,0.00016431676725154985,7.635443667528429e-05,2.8012497211066335e-05,3.1885210782848445e-06
Cryptosporangiaceae,,,,2.509980079602227e-06,1.8257418583505517e-07
Ferrovaceae,,,5e-06,3.2093613071762422e-06,7.393691004272943e-07
Cellvibrionaceae,0.0008944271909999159,0.0003701351104664349,7.582875444051553e-05,3.5870600775565486e-05,5.510595854049464e-06
Rubricoccaceae,0.0005773502691896257,0.00032093613071762424,5.167204273105525e-05,2.847455004034306e-05,2.938253449471898e-06
Crocinitomicaceae,0.0008944271909999159,0.00014832396974191324,0.0001616168308066954,4.7458402838696576e-05,1.056073703236028e-05
Dictyobacteraceae,,,,1.9235384061671345e-06,6.499999999999999e-07
Pleioneaceae,,,3.0822070014844885e-05,1.3838352503098053e-05,3.890586930871314e-06
Devosiaceae,,4.999999999999998e-05,4.7644516998286385e-05,1.1523888232710346e-05,1.4863265679744381e-06
Viruses,0.0011547005383792516,0.00021679483388678802,4.919349550499537e-05,5.0475736745489906e-05,7.03674877577234e-06
Chromatiaceae,0.001,0.00011401754250991374,0.00014774978849392648,4.647795176209895e-05,8.093618885681913e-06
Streptomycetaceae,0.001414213562373095,0.00013416407864998739,3.507135583350037e-05,1.634931191212646e-05,1.4174507634011988e-06
