,1K,10K,100K,1M,10M
Pseudoalteromonas,0.022799999999999997,0.0224,0.022976,0.022896599999999996,0.0228607
Oleispira,0.0184,0.01678,0.01659,0.0167104,0.016695324999999997
Sulfitobacter,0.0064,0.0045,0.004508,0.0045156,0.004533875
Psychrosphaera,0.0056,0.006900000000000001,0.006808,0.0067612,0.0067265250000000006
Polaribacter,0.0076,0.010039999999999999,0.01047,0.0106074,0.010619475000000001
Glaciecola,0.008199999999999999,0.00788,0.007828,0.0080642,0.008032349999999999
Alteromonas,0.0058,0.0056,0.005726,0.005659599999999999,0.0056793
Colwellia,0.0030000000000000005,0.0027800000000000004,0.00283,0.0028548,0.0028582750000000004
Dokdonia,0.0036000000000000003,0.004399999999999999,0.004772,0.0048518,0.0048471750000000004
Shewanella,0.0024000000000000002,0.0017399999999999998,0.001738,0.0018283999999999998,0.001793175
Psychrobacter,0.0028000000000000004,0.00258,0.003052,0.0029544000000000003,0.002966775
Vibrio,0.002,0.0013,0.0014140000000000001,0.001444,0.0014374000000000001
Lewinella,0.002,0.00148,0.00173,0.0018244,0.00181665
Candidatus Pelagibacter,0.0036000000000000003,0.00352,0.0032199999999999998,0.0031946,0.0032307
Lentibacter,0.004600000000000001,0.006960000000000001,0.006802,0.006881000000000001,0.006870975
Erythrobacter,0.002,0.00126,0.001052,0.0010367999999999998,0.0010407250000000002
Thalassiosira,0.0044,0.0043,0.004279999999999999,0.0042102,0.0042302
Oceanobacter,0.005599999999999999,0.0037199999999999998,0.0037880000000000006,0.0037208,0.00370485
Pseudomonas,0.002,0.0010199999999999999,0.0011740000000000001,0.001173,0.001159825
Synechococcus,0.002,0.0006200000000000001,0.00044799999999999994,0.0004632,0.00045525
Chaetoceros,0.0022,0.0016,0.001602,0.0014872,0.0014827999999999998
Salegentibacter,0.0013333333333333333,0.00027499999999999996,0.000148,0.00012099999999999999,0.000125625
Algoriphagus,0.0022500000000000003,0.00156,0.0013260000000000001,0.0013742000000000001,0.0013724750000000002
Maribacter,0.00125,0.0015800000000000002,0.00146,0.0014196,0.001450775
Lutibacter,0.0013333333333333333,0.00035999999999999997,0.000564,0.0005474000000000001,0.000550825
Nonlabens,0.0013333333333333333,0.0018799999999999997,0.002166,0.0021386,0.002138825
Aquiluna,0.0018000000000000002,0.00132,0.0011699999999999998,0.0011465999999999998,0.001115325
Bermanella,0.0021999999999999997,0.00232,0.0024600000000000004,0.0024441999999999997,0.0024800000000000004
Marivita,0.0015,0.0011,0.001168,0.0011616,0.001146775
Halioglobus,0.0013333333333333333,0.0006999999999999999,0.0007379999999999999,0.0006618,0.000671625
Planktomarina,0.005200000000000001,0.00658,0.006076,0.006247000000000001,0.006256325
Aliiglaciecola,0.0013333333333333333,0.0006200000000000001,0.00064,0.0005812,0.00058195
Paraglaciecola,0.0032,0.00404,0.004082,0.0041644,0.004127175
Flavobacterium,0.0021999999999999997,0.0019200000000000003,0.0021839999999999997,0.0021547999999999997,0.00218865
Agrobacterium,0.001,0.0002,2.4e-05,3.0000000000000004e-05,3.1425000000000005e-05
Methylobacterium,0.001,0.00013333333333333334,7.8e-05,7.12e-05,8.125e-05
Acinetobacter,0.00125,0.00058,0.00066,0.0006226,0.0006153
Nitrobacter,0.001,,1e-05,8.2e-06,7.575000000000001e-06
Oceanospirillum,0.001,0.00016666666666666666,7.4e-05,7.54e-05,7.8675e-05
Mycobacterium,0.001,0.0001,0.00016199999999999998,0.00013900000000000002,0.000139625
Desulfosarcina,0.001,0.00035,0.00030000000000000003,0.000289,0.000286525
Hirschia,0.001,,1.2500000000000002e-05,1.26e-05,1.1900000000000001e-05
Skeletonema,0.001,0.000125,0.000264,0.0002402,0.000236025
Nitzschia,0.00125,0.00076,0.000954,0.0010084,0.0009920250000000001
Chlorella,0.001,0.00025,0.000238,0.0002372,0.000237325
Variovorax,0.001,0.00015000000000000001,0.000154,0.0001352,0.000144375
Nitrospina,0.001,0.0001,5e-05,4.54e-05,4.275e-05
Micromonas,0.0013333333333333333,0.00118,0.0011779999999999998,0.0011386,0.001127025
Brevundimonas,0.001,0.0002,4.7999999999999994e-05,4.64e-05,4.2925e-05
Aureococcus,0.001,,2e-05,2.6600000000000003e-05,2.4275e-05
Devosia,0.001,0.0001,8.2e-05,6.460000000000001e-05,6.220000000000001e-05
Octadecabacter,0.0013333333333333333,0.0005,0.0005420000000000001,0.000538,0.0005456
Cryptosporangium,0.001,,,7.3999999999999995e-06,5.4e-06
Haslea,0.0024000000000000002,0.00234,0.00206,0.0020635999999999996,0.002067625
Polarella,0.001,0.0001,4.333333333333334e-05,3.58e-05,3.2875e-05
Aquabacterium,0.001,0.0001,5.8e-05,6.64e-05,6.645e-05
Tenacibaculum,0.00125,0.00116,0.0011480000000000001,0.0011674,0.00115935
Trichlorobacter,0.001,,1e-05,6.4e-06,4.675e-06
Micractinium,0.001,,4.4e-05,2.8800000000000002e-05,2.75e-05
Limnobacter,0.001,0.0004,0.00037799999999999997,0.0003676,0.000372525
Gemmatimonas,0.001,0.00013333333333333334,8.6e-05,7.92e-05,7.54e-05
Leisingera,0.001,0.0002,0.00015600000000000002,0.0001428,0.00013347499999999998
Kordia,0.001,0.0004,0.000518,0.000506,0.00050585
Reinekea,0.001,0.00058,0.00038399999999999996,0.00037759999999999996,0.00038875
Gillisia,0.001,0.0009,0.000784,0.000712,0.0007204000000000001
Grimontia,0.001,0.0001,2.75e-05,1.9400000000000004e-05,2.2975e-05
Rhodopirellula,0.001,0.00035000000000000005,0.0003200000000000001,0.00033419999999999994,0.00033495
Hoeflea,0.0013333333333333333,0.000275,0.00016399999999999997,0.00015500000000000003,0.00014805
Citreicella,0.001,0.0001,1.3333333333333335e-05,1.02e-05,1.2925e-05
Bizionia,0.001,0.00024000000000000003,0.000258,0.0002522,0.0002475
Thioclava,0.001,0.00013333333333333334,7.6e-05,7.78e-05,7.295e-05
Lacinutrix,0.0013333333333333333,0.0006000000000000001,0.000516,0.0005168000000000001,0.0005242
Tateyamaria,0.0015,0.00056,0.000564,0.0005634,0.0005644000000000001
Dinoroseobacter,0.001,0.0001,4.2000000000000004e-05,2.72e-05,2.6674999999999998e-05
Fluviicola,0.001,0.0005600000000000001,0.00041999999999999996,0.00044459999999999996,0.0004501
Olleya,0.001,0.00046,0.00040800000000000005,0.0003834,0.0003894
Marixanthomonas,0.001,0.00015000000000000001,6.2e-05,6.620000000000001e-05,7.1775e-05
Salinicola,0.001,,2e-05,2.64e-05,2.615e-05
Ferrovum,0.001,0.0001,1.7500000000000002e-05,9.4e-06,1.01e-05
Simiduia,0.001,0.00025,6.2e-05,6.08e-05,5.9999999999999995e-05
Neptuniibacter,0.001,0.0001,0.00011599999999999997,7.9e-05,8.035e-05
Haloferula,0.001,0.00022500000000000002,0.000154,0.00016939999999999997,0.000162375
Litoreibacter,0.001,0.00022,0.00033,0.000276,0.00028805
Gomphoneis,0.001,0.00015000000000000001,5e-05,6.12e-05,6.745e-05
Imtechella,0.001,,1.8e-05,1.8599999999999998e-05,1.7349999999999998e-05
Planktotalea,0.001,0.000325,0.00028,0.0002542,0.000257825
Sphingomicrobium,0.001,0.00025,8.8e-05,7.520000000000001e-05,7.917499999999999e-05
Snuella,0.001,0.0001,3.0000000000000004e-05,4.28e-05,3.9500000000000005e-05
Euzebyella,0.001,0.00015000000000000001,3.6e-05,3.18e-05,3.465e-05
Rubrivirga,0.001,0.00032,0.000314,0.0003282,0.00032545
Sinomicrobium,0.001,0.000125,7.800000000000001e-05,7.68e-05,6.950000000000001e-05
Thalassotalea,0.0015,0.00092,0.0009399999999999999,0.000972,0.00098135
Seonamhaeicola,0.001,0.0003,0.000202,0.0002048,0.000201425
Pseudorhodoplanes,0.001,0.0001,1.5000000000000002e-05,1.1e-05,9.325e-06
Nioella,0.001,0.0001,5e-05,4.28e-05,4.9025e-05
