,1K,10K,100K,1M,10M
Pseudoalteromonas,0.004969909455915671,0.001222701926063749,0.0009205596124097558,0.00016976837161261708,2.2153254087530787e-05
Oleispira,0.005319774431308154,0.0009523654760647298,0.00040093640393458913,0.00012447610212406216,6.8757423841606285e-06
Sulfitobacter,0.002966479394838265,0.0004415880433163922,0.0003882267378736296,4.433170423071943e-05,8.402132665777959e-06
Psychrosphaera,0.0032093613071762423,0.0009772410142846035,0.0002928651566847788,3.009485005777566e-05,1.2205838766754239e-05
Polaribacter,0.002073644135332772,0.0010212737145349432,0.0003059411708155672,6.346889001707882e-05,2.5957705984928394e-05
Glaciecola,0.002280350850198276,0.0011122050170719428,0.0003134804619111054,8.554063361935051e-05,9.168242288828699e-06
Alteromonas,0.0014832396974191326,0.0005244044240850756,0.00019705329228409253,4.894180217360193e-05,1.9638737230280276e-05
Colwellia,0.0018708286933869706,0.0007085195833567339,0.00020432816741702551,4.28684032826043e-05,1.7618621777350696e-05
Dokdonia,0.00151657508881031,0.00043011626335213114,0.00026366645596283186,5.479689772240754e-05,7.0358013047553485e-06
Shewanella,0.00151657508881031,0.00018165902124584948,5.2153619241621176e-05,2.8005356630473403e-05,1.0465618312678261e-05
Psychrobacter,0.0013038404810405298,0.0003768288736283354,0.00018965758619153618,4.828353756716676e-05,1.8637305778107063e-05
Vibrio,0.001414213562373095,0.00024494897427831773,0.00018201648277010524,3.252691193458116e-05,1.19144170370746e-05
Lewinella,0.001414213562373095,0.00025884358211089565,9.823441352194253e-05,2.300652081476037e-05,1.320568059586483e-05
Candidatus Pelagibacter,0.001140175425099138,8.366600265340757e-05,0.0001557241150239743,1.8242806801586208e-05,7.847717290184839e-06
Lentibacter,0.0021908902300206644,0.0007503332592921628,0.0003244533864825578,0.00011115979489005911,2.1631054065856223e-05
Erythrobacter,0.000816496580927726,0.0001949358868961793,7.155417527999328e-05,2.4813302883735512e-05,6.402798867162242e-06
Thalassiosira,0.0023021728866442675,0.0005612486080160911,0.00022527760652137616,8.384330623251915e-05,1.1029354771094601e-05
Oceanobacter,0.0028809720581775868,0.0006685805860178712,0.00023899790794063458,7.269594211508646e-05,8.574574819390865e-06
Pseudomonas,0.0007071067811865475,0.00040865633483405103,7.127411872482187e-05,2.5777897509300495e-05,1.9499999999999796e-06
Synechococcus,,0.0003271085446759226,8.983317872590284e-05,4.024922359499631e-06,5.702923227024304e-06
Chaetoceros,0.0010954451150103322,0.00044158804331639233,8.526429498916882e-05,2.6023066690918645e-05,8.333466665599995e-06
Salegentibacter,0.0005773502691896258,4.999999999999998e-05,2.280350850198276e-05,1.0173494974687902e-05,8.883505314157579e-07
Algoriphagus,0.0009574271077563382,0.0006348228099241551,6.148170459575753e-05,2.880451353520832e-05,9.248918855736553e-06
Maribacter,0.0005,0.0003271085446759225,9.924716620639607e-05,2.689423730095349e-05,6.57640986151769e-06
Lutibacter,0.0005773502691896258,0.000151657508881031,6.767569726275452e-05,1.2136721138759033e-05,4.427471061452548e-06
Nonlabens,0.0005773502691896258,0.00016431676725154983,0.0001616477652180815,4.579082877607695e-05,7.057560957346897e-06
Aquiluna,0.0008366600265340756,0.0004324349662087931,0.00016673332000533066,4.056846065603182e-05,6.5464366897827975e-06
Bermanella,0.0013038404810405298,0.00047644516998286387,0.00011554220008291337,4.8054136138317976e-05,8.218272324521797e-06
Marivita,0.0005773502691896257,0.000406201920231798,0.00012457929201917947,2.1605554841290267e-05,1.8006943105369533e-06
Halioglobus,0.0005773502691896258,0.000282842712474619,6.220932405998317e-05,1.8498648599289624e-05,8.33921459131494e-06
Planktomarina,0.003834057902536162,0.0007259476565152615,0.0004051913128387627,0.00011286496356265734,1.3962181061710761e-05
Aliiglaciecola,0.0005773502691896258,0.00017888543819998318,8.972179222463185e-05,1.9485892332659546e-05,4.606155302056914e-06
Paraglaciecola,0.0010954451150103322,0.0010502380682492897,0.00019266551326067668,9.078711362302463e-05,7.976371355447432e-06
Flavobacterium,0.0013038404810405298,0.00037013511046643494,0.0001995745474753731,3.7572596396842155e-05,6.917851304174285e-06
Agrobacterium,,,1.9493588689617928e-05,5.147815070493502e-06,1.4056433876817176e-06
Methylobacterium,,5.773502691896258e-05,3.114482300479487e-05,8.78635305459552e-06,1.096965511460292e-06
Acinetobacter,0.0005,0.00021679483388678802,8.972179222463183e-05,1.767201177002777e-05,5.2542046654718845e-06
Nitrobacter,,,,1.643167672515499e-06,1.004572877727976e-06
Oceanospirillum,,0.00011547005383792514,2.073644135332772e-05,4.393176527297759e-06,2.0838665984174697e-06
Mycobacterium,,,3.271085446759225e-05,1.0416333327999823e-05,1.1729592206608673e-06
Desulfosarcina,,0.00012909944487358055,3.807886552931956e-05,1.9962464777677123e-05,2.617091260668362e-06
Hirschia,,,5e-06,1.5165750888103101e-06,6.055300708194986e-07
Skeletonema,,5e-05,3.507135583350037e-05,2.0620378270051207e-05,3.658209944768072e-06
Nitzschia,0.0005,0.000151657508881031,5.4129474410897424e-05,3.808280451857506e-05,8.695736503214284e-06
Chlorella,,5.773502691896256e-05,3.0331501776206192e-05,8.40832920383117e-06,2.613267431141838e-06
Variovorax,,5.773502691896258e-05,3.847076812334269e-05,5.167204273105528e-06,3.1383382014478133e-06
Nitrospina,,,7.071067811865475e-06,6.8774995456197615e-06,1.340397950858872e-06
Micromonas,0.0005773502691896258,0.00031937438845342625,0.0001294990347454374,1.754422982065613e-05,5.14417145903983e-06
Brevundimonas,,,1.4832396974191322e-05,6.877499545619759e-06,1.0688779163215993e-06
Aureococcus,,,1.1547005383792514e-05,3.847076812334268e-06,7.632168761236871e-07
Devosia,,,2.588435821108957e-05,5.319774431308151e-06,2.1832697191750418e-06
Octadecabacter,0.0005773502691896258,0.0003391164991562634,9.57601169589929e-05,2.3999999999999994e-05,6.70671305484285e-06
Cryptosporangium,,,,2.509980079602227e-06,1.8257418583505517e-07
Haslea,0.0016733200530681513,0.00040987803063838394,6.123724356957942e-05,6.0218767838606606e-05,1.066532543651004e-05
Polarella,,,2.0816659994661325e-05,3.1937438845342647e-06,8.057087976847877e-07
Aquabacterium,,,1.6431676725154984e-05,6.655824516917494e-06,1.4798648586948753e-06
Tenacibaculum,0.0005,0.00015165750888103098,0.00014342245291445828,3.80828045185751e-05,4.7303981509664865e-06
Trichlorobacter,,,,4.219004621945797e-06,4.924428900898054e-07
Micractinium,,,2.3021728866442677e-05,6.3007936008093454e-06,7.61577310586391e-07
Limnobacter,,0.0002449489742783178,4.868264577855235e-05,2.2277791632026726e-05,5.6269441084837555e-06
Gemmatimonas,,5.7735026918962585e-05,3.6469165057620945e-05,7.463243262818113e-06,1.8055470085267772e-06
Leisingera,,8.16496580927726e-05,2.1908902300206656e-05,9.9849887330933e-06,2.277974246269405e-06
Kordia,,0.0001414213562373095,4.764451699828635e-05,1.5264337522473768e-05,2.444722206441214e-06
Reinekea,,0.00016431676725154985,7.092249290598856e-05,1.9152023391798595e-05,3.5237290853110125e-06
Gillisia,,0.00019999999999999993,0.00010644247272588138,3.156738823532918e-05,3.6842005012395297e-06
Grimontia,,,1.2583057392117917e-05,3.91152144312159e-06,6.751543033509708e-07
Rhodopirellula,,0.0001914854215512676,2.5495097567963934e-05,2.2971721746530028e-05,6.699502469089287e-06
Hoeflea,0.0005773502691896258,9.57427107756338e-05,5.412947441089744e-05,1.2589678312014168e-05,1.0214368964029616e-06
Citreicella,,,5.773502691896259e-06,2.9495762407505253e-06,1.0719919153924002e-06
Bizionia,,0.0001140175425099138,4.9193495504995374e-05,1.518881167175365e-05,2.7386127875258214e-06
Thioclava,,5.7735026918962585e-05,1.3416407864998741e-05,8.757853618324523e-06,2.063169083392504e-06
Lacinutrix,0.0005773502691896258,0.00022360679774997898,6.804410334481601e-05,9.85900603509302e-06,5.284568730432691e-06
Tateyamaria,0.001,0.0002880972058177587,6.949820141557621e-05,1.5109599597606814e-05,4.348946232518107e-06
Dinoroseobacter,,,4.472135954999578e-06,4.604345773288535e-06,1.2148388096094623e-06
Fluviicola,,0.00013416407864998736,7.842193570679061e-05,8.17312669668102e-06,2.247962040011653e-06
Olleya,,0.0002073644135332772,7.596051605933175e-05,2.422395508582363e-05,3.703151810732771e-06
Marixanthomonas,,7.071067811865475e-05,3.420526275297414e-05,5.6302753041036975e-06,2.5078210994141232e-06
Salinicola,,,7.071067811865475e-06,4.6690470119715e-06,7.187952884282612e-07
Ferrovum,,,5e-06,3.2093613071762422e-06,7.393691004272943e-07
Simiduia,,7.071067811865473e-05,3.834057902536163e-05,6.870225614927069e-06,1.3904435743076127e-06
Neptuniibacter,,,2.701851217221259e-05,6.442049363362562e-06,1.3478377746103781e-06
Haloferula,,0.00012583057392117917,1.673320053068152e-05,1.2280065146407006e-05,4.089315346118467e-06
Litoreibacter,,0.00016431676725154983,3.741657386773941e-05,1.6763054614240202e-05,9.433981132056671e-07
Gomphoneis,,7.071067811865475e-05,2.449489742783178e-05,7.694153624668538e-06,1.713670524536926e-06
Imtechella,,,4.472135954999579e-06,6.348228099241552e-06,8.888194417315588e-07
Planktotalea,,0.000206155281280883,3.74165738677394e-05,2.087342808452891e-05,1.4268263150549708e-06
