,genus,read count,relative error
0,Pseudoalteromonas,1K,0.2179784849085821
1,Oleispira,1K,0.2891181756145736
2,Sulfitobacter,1K,0.4635124054434789
3,Psychrosphaera,1K,0.573100233424329
4,Polaribacter,1K,0.27284791254378576
5,Glaciecola,1K,0.2780915670973508
6,Alteromonas,1K,0.25573098231364355
7,Colwellia,1K,0.6236095644623234
8,Dokdonia,1K,0.42127085800286385
9,Shewanella,1K,0.6319062870042959
10,Psychrobacter,1K,0.465657314657332
11,Vibrio,1K,0.7071067811865475
12,Lewinella,1K,0.7071067811865475
13,Candidatus Pelagibacter,1K,0.3167153958608716
14,Lentibacter,1K,0.4762804847871009
15,Erythrobacter,1K,0.40824829046386296
16,Thalassiosira,1K,0.5232211106009699
17,Oceanobacter,1K,0.5144592961031406
18,Pseudomonas,1K,0.35355339059327373
19,Synechococcus,1K,
20,Chaetoceros,1K,0.49792959773196915
21,Salegentibacter,1K,0.43301270189221935
22,Algoriphagus,1K,0.42552315900281695
23,Maribacter,1K,0.4
24,Lutibacter,1K,0.43301270189221935
25,Nonlabens,1K,0.43301270189221935
26,Aquiluna,1K,0.4648111258522642
27,Bermanella,1K,0.5926547641093318
28,Marivita,1K,0.38490017945975047
29,Halioglobus,1K,0.43301270189221935
30,Planktomarina,1K,0.7373188274108003
31,Aliiglaciecola,1K,0.43301270189221935
32,Paraglaciecola,1K,0.3423265984407288
33,Flavobacterium,1K,0.5926547641093318
34,Agrobacterium,1K,
35,Methylobacterium,1K,
36,Acinetobacter,1K,0.4
37,Nitrobacter,1K,
38,Oceanospirillum,1K,
39,Mycobacterium,1K,
40,Desulfosarcina,1K,
41,Hirschia,1K,
42,Skeletonema,1K,
43,Nitzschia,1K,0.4
44,Chlorella,1K,
45,Variovorax,1K,
46,Nitrospina,1K,
47,Micromonas,1K,0.43301270189221935
48,Brevundimonas,1K,
49,Aureococcus,1K,
50,Devosia,1K,
51,Octadecabacter,1K,0.43301270189221935
52,Cryptosporangium,1K,
53,Haslea,1K,0.6972166887783963
54,Polarella,1K,
55,Aquabacterium,1K,
56,Tenacibaculum,1K,0.4
57,Trichlorobacter,1K,
58,Micractinium,1K,
59,Limnobacter,1K,
60,Gemmatimonas,1K,
61,Leisingera,1K,
62,Kordia,1K,
63,Reinekea,1K,
64,Gillisia,1K,
65,Grimontia,1K,
66,Rhodopirellula,1K,
67,Hoeflea,1K,0.43301270189221935
68,Citreicella,1K,
69,Bizionia,1K,
70,Thioclava,1K,
71,Lacinutrix,1K,0.43301270189221935
72,Tateyamaria,1K,0.6666666666666666
73,Dinoroseobacter,1K,
74,Fluviicola,1K,
75,Olleya,1K,
76,Marixanthomonas,1K,
77,Salinicola,1K,
78,Ferrovum,1K,
79,Simiduia,1K,
80,Neptuniibacter,1K,
81,Haloferula,1K,
82,Litoreibacter,1K,
83,Gomphoneis,1K,
84,Imtechella,1K,
85,Planktotalea,1K,
86,Sphingomicrobium,1K,
87,Snuella,1K,
88,Euzebyella,1K,
89,Rubrivirga,1K,
90,Sinomicrobium,1K,
91,Thalassotalea,1K,0.6666666666666666
92,Seonamhaeicola,1K,
93,Pseudorhodoplanes,1K,
94,Nioella,1K,
95,Paraburkholderia,1K,
96,Qipengyuania,1K,0.37267799624996495
97,Aliikangiella,1K,
98,Halofilum,1K,
99,Dictyobacter,1K,
100,Croceivirga,1K,
101,Cognatishimia,1K,
102,Cognatiyoonia,1K,
103,Pseudaestuariivita,1K,
104,Yoonia,1K,0.4714045207910317
105,Croceibacterium,1K,
106,Rhodophyticola,1K,
107,Novosphingopyxis,1K,
108,Ningiella,1K,0.4
109,Alteripontixanthobacter,1K,
110,Pontixanthobacter,1K,0.4948716593053935
111,Novipirellula,1K,
112,Aurantiacibacter,1K,
113,Tsuneonella,1K,
114,Roseiconus,1K,
115,Acidiluteibacter,1K,
116,Antarcticimicrobium,1K,
117,Aliiruegeria,1K,
118,Pelovirga,1K,
119,Viruses,1K,0.6928203230275509
120,Streptomyces,1K,0.7071067811865475
121,Winogradskyella,1K,0.3149183286488868
122,Candidatus Puniceispirillum,1K,0.5471012044321932
123,Pseudo-nitzschia,1K,0.4714045207910317
124,Ruegeria,1K,0.43301270189221935
125,Loktanella,1K,
126,Aestuariibacter,1K,0.4714045207910317
127,Fistulifera,1K,0.282842712474619
128,Paraperlucidibaca,1K,0.43301270189221935
129,Bernardetia,1K,0.4714045207910317
130,Hyphomonas,1K,
131,Bordetella,1K,
132,Desulfobulbus,1K,
133,Haliscomenobacter,1K,
134,Teredinibacter,1K,
135,Roseobacter,1K,0.5471012044321932
136,Phaeodactylum,1K,0.4714045207910317
137,Symbiodinium,1K,0.4
138,Atractiella,1K,
139,Stylonychia,1K,
140,Sphingomonas,1K,0.43301270189221935
141,Rhodoferax,1K,
142,Rhodovulum,1K,
143,Marinobacterium,1K,
144,Desulfonatronum,1K,
145,Rheinheimera,1K,
146,Ostreococcus,1K,
147,Halochromatium,1K,
148,Hymenobacter,1K,
149,Cellulophaga,1K,0.4714045207910317
150,Aequorivita,1K,
151,Oceanobacillus,1K,
152,Microvirga,1K,
153,Oceanisphaera,1K,
154,Oceanicola,1K,
155,Blastopirellula,1K,
156,Curvibacter,1K,
157,Leeuwenhoekiella,1K,
158,Salinimonas,1K,
159,Aquimarina,1K,
160,Roseivirga,1K,
161,Rubellimicrobium,1K,
162,Gaetbulibacter,1K,
163,Pseudoruegeria,1K,
164,Sedimenticola,1K,
165,Sediminitomix,1K,
166,Donghicola,1K,
167,Undibacterium,1K,
168,Celerinatantimonas,1K,
169,Lentimonas,1K,
170,Eudoraea,1K,
171,Seohaeicola,1K,
172,Thalassobaculum,1K,
173,Psammoneis,1K,
174,Kriegella,1K,
175,Spongiibacter,1K,
176,Aliagarivorans,1K,
177,Arenicella,1K,
178,Rubricoccus,1K,0.43301270189221935
179,Phormidesmis,1K,
180,Primorskyibacter,1K,
181,Defluviimonas,1K,
182,Mangrovimonas,1K,
183,Portibacter,1K,
184,Ferrovibrio,1K,
185,Halamphora,1K,
186,Algimonas,1K,
187,Luminiphilus,1K,0.4714045207910317
188,Draconibacterium,1K,
189,Methyloceanibacter,1K,
190,Emcibacter,1K,
191,Rubinisphaera,1K,
192,Marinirhabdus,1K,
193,Marimonas,1K,
194,Saonia,1K,
195,Rhodosalinus,1K,
196,Arcticibacterium,1K,
197,Maribellus,1K,
198,Tautonia,1K,
199,Aurantibacter,1K,
200,Profundibacter,1K,
201,Aequoribacter,1K,
202,Pseudoteredinibacter,1K,
203,Pirellula,1K,
204,Bradyrhizobium,1K,
205,Desulfuromonas,1K,
206,Nitrosomonas,1K,
207,Marinobacter,1K,
208,Porphyra,1K,
209,Arcobacter,1K,
210,Geobacter,1K,
211,Thiomonas,1K,
212,Bathycoccus,1K,
213,Jonesia,1K,
214,Ferrimonas,1K,
215,Paenibacillus,1K,
216,Psychroserpens,1K,
217,Galdieria,1K,
218,Pedobacter,1K,
219,Muricauda,1K,
