,order,read count,relative error
0,Alteromonadales,1K,0.022885343628349476
1,Flavobacteriales,1K,0.06537817837112489
2,Rhodobacterales,1K,0.15732163270471772
3,Oceanospirillales,1K,0.1995044483620748
4,Sphingomonadales,1K,0.2537682177557801
5,Pelagibacterales,1K,0.3084231693103158
6,Hyphomicrobiales,1K,0.5085476277156078
7,Vibrionales,1K,0.9521904571390466
8,Saprospirales,1K,0.7975554366664508
9,Burkholderiales,1K,0.4007371679514863
10,Moraxellales,1K,0.316227766016838
11,Thalassiosirales,1K,0.45165590393080834
12,Desulfobacterales,1K,0.4
13,Cellvibrionales,1K,0.67700320038633
14,Chromatiales,1K,0.3296902366978935
15,Pirellulales,1K,0.40824829046386296
16,Chlorellales,1K,
17,Verrucomicrobiales,1K,0.749753411139151
18,Desulfuromonadales,1K,
19,Pseudomonadales,1K,0.21066252211737155
20,Micrococcales,1K,0.34401045807689073
21,Gemmatimonadales,1K,
22,Chaetocerotales,1K,0.6319062870042959
23,Cytophagales,1K,0.4937179676991845
24,Synechococcales,1K,
25,Mamiellales,1K,0.7071067811865475
26,Bacillariales,1K,0.49792959773196915
27,Naviculales,1K,0.5832981110808885
28,Pelagomonadales,1K,
29,Corynebacteriales,1K,0.7071067811865475
30,Suessiales,1K,0.37267799624996495
31,Enterobacterales,1K,
32,Cymbellales,1K,
33,Sphingobacteriales,1K,
34,Caulobacterales,1K,
35,Ktedonobacterales,1K,
36,Nitrospinales,1K,
37,Ferrovales,1K,
38,Rhodothermales,1K,0.38490017945975047
39,Cryptosporangiales,1K,
40,Hyphomonadales,1K,
41,Viruses,1K,0.6928203230275509
42,Streptomycetales,1K,0.7071067811865475
43,Rhodospirillales,1K,0.34641016151377546
44,Marinilabiliales,1K,0.4714045207910317
45,Planctomycetales,1K,
46,Bacillales,1K,0.38490017945975047
47,Atractiellales,1K,
48,Aeromonadales,1K,
49,Desulfovibrionales,1K,
50,Acidithiobacillales,1K,
51,Triceratiales,1K,
52,Anaerolineales,1K,
53,Sporadotrichida,1K,
54,Candidatus Actinomarinales,1K,
55,Arenicellales,1K,
56,Emcibacterales,1K,
57,Isosphaerales,1K,
58,Maricaulales,1K,
59,Pseudanabaenales,1K,
60,Rickettsiales,1K,0.4714045207910317
61,Bangiales,1K,
62,Nitrosomonadales,1K,0.8331955809010619
63,Acidimicrobiales,1K,
64,Propionibacteriales,1K,
65,Hymenochaetales,1K,
66,Neisseriales,1K,0.4714045207910317
67,Campylobacterales,1K,
68,Cyanidiales,1K,
69,Bacteriovoracales,1K,
70,Myxococcales,1K,
71,Xanthomonadales,1K,
72,Bacteroidales,1K,
73,Chitinophagales,1K,
74,Oscillatoriales,1K,
75,Agaricales,1K,
76,Nitrosopumilales,1K,
77,Pleurocapsales,1K,
78,Leptomyxida,1K,
79,Thiotrichales,1K,
80,Pseudonocardiales,1K,
81,Pythiales,1K,
82,Nitrospirales,1K,
83,Chlorobiales,1K,
84,Sneathiellales,1K,
85,Puniceicoccales,1K,
86,Methylococcales,1K,
87,Hypocreales,1K,
88,Helotiales,1K,
89,Chromulinales,1K,
90,Hydrogenophilales,1K,
91,Eubacteriales,1K,
92,Lactobacillales,1K,
93,Deferribacterales,1K,
94,Rhodocyclales,1K,
95,Thermoflexales,1K,
96,Balneolales,1K,
97,Licmophorales,1K,
98,Nostocales,1K,
99,Actinomycetales,1K,
100,Chlamydomonadales,1K,
101,Bdellovibrionales,1K,
102,Kordiimonadales,1K,
103,Pyrenomonadales,1K,
104,Phycisphaerales,1K,
105,Saprolegniales,1K,
106,Euplotida,1K,
107,Sphaeropleales,1K,
108,Eutreptiales,1K,
109,Syndiniales,1K,
110,Pasteurellales,1K,
111,Eustigmatales,1K,
112,Erysipelotrichales,1K,
113,Nevskiales,1K,
114,Craspedida,1K,
115,Chroococcales,1K,
116,Laminariales,1K,
117,Peridiniales,1K,
118,Taphrinales,1K,
119,Eurotiales,1K,
120,Bryopsidales,1K,
121,Eupodiscales,1K,
122,Fragilariales,1K,
123,Oxymonadida,1K,
124,Isochrysidales,1K,
125,Pavlovales,1K,
126,Rubrobacterales,1K,
127,Bifidobacteriales,1K,
128,Micromonosporales,1K,
129,Streptosporangiales,1K,
130,Pleosporales,1K,
131,Deinococcales,1K,
132,Legionellales,1K,
133,Leptocylindrales,1K,
134,Herpetosiphonales,1K,
135,Eunotiales,1K,
136,Acidobacteriales,1K,
137,Coscinodiscales,1K,
138,Fibrobacterales,1K,
139,Opitutales,1K,
140,Cymatosirales,1K,
141,Biddulphiales,1K,
142,Desulfarculales,1K,
143,Anaulales,1K,
144,Holophagales,1K,
145,Kineosporiales,1K,
146,Ignavibacteriales,1K,
147,Geodermatophilales,1K,
148,Petrotogales,1K,
149,Acidiferrobacterales,1K,
150,Micropepsales,1K,
151,Kiritimatiellales,1K,
152,Immundisolibacterales,1K,
153,Phototrophicales,1K,
154,Candidatus Cryosericales,1K,
155,Stephanodiscales,1K,
156,Syntrophales,1K,
157,Ectocarpales,1K,
158,Brachyspirales,1K,
159,Diversisporales,1K,
160,Parachlamydiales,1K,
161,Spirochaetales,1K,
162,Ceramiales,1K,
163,Tribonematales,1K,
164,Peronosporales,1K,
165,Saccharomycetales,1K,
166,Sordariales,1K,
167,Hymenostomatida,1K,
168,Chlamydiales,1K,
169,Boletales,1K,
170,Zoopagales,1K,
171,Thermodesulfobacteriales,1K,
172,Fusobacteriales,1K,
173,Syntrophobacterales,1K,
174,Mortierellales,1K,
175,Parvularculales,1K,
176,Stylonematales,1K,
177,Hemiaulales,1K,
178,Russulales,1K,
179,Caldilineales,1K,
180,Cryptomonadales,1K,
181,Candidatus Brocadiales,1K,
182,Archaeosporales,1K,
183,Magnetococcales,1K,
184,Ardenticatenales,1K,
185,Leptospirales,1K,
186,Spirulinales,1K,
187,Calditrichales,1K,
188,Kangiellales,1K,
189,Rhizosoleniales,1K,
190,Mycoplasmatales,1K,
191,Mucorales,1K,
192,Cantharellales,1K,
193,Xylariales,1K,
194,Pyramimonadales,1K,
195,Prymnesiales,1K,
196,Methanosarcinales,1K,
197,Cardiobacteriales,1K,
198,Lentisphaerales,1K,
199,Thalassionemales,1K,
200,Solirubrobacterales,1K,
201,Salinisphaerales,1K,
202,Thoreales,1K,
203,Dehalococcoidales,1K,
204,Rhodothalassiales,1K,
205,Oligoflexales,1K,
206,Veillonellales,1K,
207,Trebouxiales,1K,
208,Miltoncostaeales,1K,
209,Gemmatales,1K,
210,Chytridiales,1K,
211,Ophiostomatales,1K,
212,Ustilaginales,1K,
213,Heterotrichida,1K,
214,Georgefischeriales,1K,
215,Thermales,1K,
216,Frankiales,1K,
217,Placidida,1K,
218,Acholeplasmatales,1K,
219,Catenulisporales,1K,
220,Synurales,1K,
221,Rhizophydiales,1K,
222,Euzebyales,1K,
223,Candidatus Nanopelagicales,1K,
224,Capsulimonadales,1K,
225,Eubodonida,1K,
226,Salsipaludibacterales,1K,
227,Methanomicrobiales,1K,
228,Neocallimastigales,1K,
229,Dictyochales,1K,
230,Synergistales,1K,
231,Chattonellales,1K,
232,Toxariales,1K,
233,Bacteroidetes Order II. Incertae sedis,1K,
234,Gaiellales,1K,
235,Haloferacales,1K,
236,Fimbriimonadales,1K,
237,Egicoccales,1K,
238,Holosporales,1K,
239,Koleobacterales,1K,
240,Vicinamibacterales,1K,
241,Peniculida,1K,
242,Sedimentisphaerales,1K,
243,Selenomonadales,1K,
244,Dictyotales,1K,
245,Diaporthales,1K,
246,Monoblepharidales,1K,
247,Haemosporida,1K,
248,Philasterida,1K,
249,Bryobacterales,1K,
250,Mariprofundales,1K,
251,Bradymonadales,1K,
252,Chthoniobacterales,1K,
253,Acytosteliales,1K,
254,Dictyosteliales,1K,
255,Chloropicales,1K,
256,Minwuiales,1K,
257,Pelobiontida,1K,
