,phylum,read count,relative error
0,Proteobacteria,1K,0.035218686440449454
1,Bacteroidetes,1K,0.10551896170247263
2,Bacillariophyta,1K,0.24918946423768729
3,Actinobacteria,1K,0.11785113019775792
4,Chlorophyta,1K,0.6085806194501846
5,Chloroflexi,1K,0.5592469952052406
6,Verrucomicrobia,1K,0.6512350903146596
7,Planctomycetes,1K,0.5003428180039369
8,Cyanobacteria,1K,0.5
9,Gemmatimonadetes,1K,0.4714045207910317
10,Firmicutes,1K,0.7243558228002941
11,Spirochaetes,1K,
12,Nitrospinae,1K,
13,Candidatus Peregrinibacteria,1K,
14,Rhodothermaeota,1K,0.38490017945975047
15,Candidatus Dormibacteraeota,1K,
16,Viruses,1K,0.6928203230275509
17,Basidiomycota,1K,
18,Ciliophora,1K,
19,Candidatus Saccharibacteria,1K,
20,Rhodophyta,1K,
21,Acidobacteria,1K,0.4714045207910317
22,Mucoromycota,1K,
23,Chlorobi,1K,
24,Oomycota,1K,
25,Euryarchaeota,1K,
26,Nitrospirae,1K,
27,Tubulinea,1K,
28,Thaumarchaeota,1K,
29,Ascomycota,1K,
30,Deferribacteres,1K,
31,Candidatus Melainabacteria,1K,
32,Balneolaeota,1K,
33,Haptophyta,1K,
34,Euglenozoa,1K,
35,Armatimonadetes,1K,
36,Ignavibacteriae,1K,
37,Candidatus Tectomicrobia,1K,
38,Deinococcus-Thermus,1K,
39,Candidatus Marinimicrobia,1K,
40,Fibrobacteres,1K,
41,Kiritimatiellaeota,1K,
42,Candidatus Hydrogenedentes,1K,
43,Thermotogae,1K,
44,Candidatus Gracilibacteria,1K,
45,Synergistetes,1K,
46,Candidatus Bathyarchaeota,1K,
47,candidate division Zixibacteria,1K,
48,Candidatus Berkelbacteria,1K,
49,Candidatus Rokubacteria,1K,
50,Candidatus Campbellbacteria,1K,
51,Candidatus Lindowbacteria,1K,
52,Candidatus Portnoybacteria,1K,
53,Calditrichaeota,1K,
54,Candidatus Cryosericota,1K,
55,Evosea,1K,
56,Preaxostyla,1K,
57,Chlamydiae,1K,
58,Lentisphaerae,1K,
59,Fusobacteria,1K,
60,Candidatus Aminicenantes,1K,
61,Microsporidia,1K,
62,Elusimicrobia,1K,
63,Thermodesulfobacteria,1K,
64,Candidatus Parcubacteria,1K,
65,Candidatus Aerophobetes,1K,
66,Candidatus Fermentibacteria,1K,
67,Candidatus Dadabacteria,1K,
68,Zoopagomycota,1K,
69,Candidatus Blackallbacteria,1K,
70,Tenericutes,1K,
71,Candidatus Thermoplasmatota,1K,
72,Candidatus Omnitrophica,1K,
73,Atribacterota,1K,
74,Candidatus Poribacteria,1K,
75,candidate division CPR2,1K,
76,Candidatus Woesearchaeota,1K,
77,Candidatus Riflebacteria,1K,
78,Chytridiomycota,1K,
79,Candidatus Moranbacteria,1K,
80,Candidatus Korarchaeota,1K,
81,Candidatus Latescibacteria,1K,
82,candidate division WOR-3,1K,
83,Candidatus Amesbacteria,1K,
84,Candidatus Kaiserbacteria,1K,
85,Candidatus Micrarchaeota,1K,
86,Apicomplexa,1K,
87,Cryptomycota,1K,
88,Candidatus Desantisbacteria,1K,
89,Aquificae,1K,
90,Candidatus Cloacimonetes,1K,
91,Discosea,1K,
92,Candidatus Woesebacteria,1K,
93,Candidatus Giovannonibacteria,1K,
94,Candidatus Schekmanbacteria,1K,
95,Candidatus Heimdallarchaeota,1K,
96,Heterolobosea,1K,
97,Foraminifera,1K,
98,Candidatus Sumerlaeota,1K,
99,Chrysiogenetes,1K,
100,Candidatus Aenigmarchaeota,1K,
101,Candidatus Lokiarchaeota,1K,
102,Candidatus Kapabacteria,1K,
103,Candidatus Thorarchaeota,1K,
104,Imbricatea,1K,
105,Candidatus Daviesbacteria,1K,
106,Candidatus Pacebacteria,1K,
107,Candidatus Magasanikbacteria,1K,
108,Candidatus Eisenbacteria,1K,
109,Candidatus Margulisbacteria,1K,
110,Candidatus Buchananbacteria,1K,
111,Candidatus Zambryskibacteria,1K,
112,Olpidiomycota,1K,
113,Endomyxa,1K,
114,Candidatus Bipolaricaulota,1K,
115,Candidatus Levybacteria,1K,
116,Candidatus Raymondbacteria,1K,
117,Perkinsozoa,1K,
118,Parabasalia,1K,
119,Candidatus Absconditabacteria,1K,
120,candidate division NC10,1K,
121,Candidatus Roizmanbacteria,1K,
122,Candidatus Handelsmanbacteria,1K,
123,Candidatus Ryanbacteria,1K,
124,Candidatus Terrybacteria,1K,
125,Candidatus Verstraetearchaeota,1K,
126,Candidatus Marsarchaeota,1K,
127,Candidatus Goldbacteria,1K,
128,Candidatus Aureabacteria,1K,
129,Candidatus Muirbacteria,1K,
130,Candidatus Uhrbacteria,1K,
131,Crenarchaeota,1K,
132,Caldiserica,1K,
133,candidate division WWE3,1K,
134,Candidatus Falkowbacteria,1K,
135,Candidatus Nomurabacteria,1K,
136,Candidatus Yanofskybacteria,1K,
137,Candidatus Coatesbacteria,1K,
138,Candidatus Lloydbacteria,1K,
139,Candidatus Kryptonia,1K,
140,Candidatus Gottesmanbacteria,1K,
141,Blastocladiomycota,1K,
142,Candidatus Hydrothermae,1K,
143,Candidatus Wolfebacteria,1K,
