,class,read count,relative error,type
0,Gammaproteobacteria,1000,0.0304060075577542,Kaiju
1,Alphaproteobacteria,1000,0.088795626168031,Kaiju
2,Flavobacteriia,1000,0.1415494433159682,Kaiju
3,Betaproteobacteria,1000,0.2807415894760069,Kaiju
4,Deltaproteobacteria,1000,0.263426874184026,Kaiju
5,Coscinodiscophyceae,1000,0.1540777601485321,Kaiju
6,Saprospiria,1000,0.7975554366664508,Kaiju
7,Actinomycetia,1000,0.2111435972405811,Kaiju
8,Bacillariophyceae,1000,0.4050462936504912,Kaiju
9,Planctomycetia,1000,0.4677071733467427,Kaiju
11,Verrucomicrobiae,1000,0.7126096406869612,Kaiju
13,Anaerolineae,1000,0.4330127018922193,Kaiju
14,Cytophagia,1000,0.4937179676991845,Kaiju
15,Dinophyceae,1000,0.3726779962499649,Kaiju
20,Mamiellophyceae,1000,0.7071067811865475,Kaiju
22,Rhodothermia,1000,0.3849001794597504,Kaiju
23,Viruses,1000,0.6928203230275509,Kaiju
24,Bacteroidia,1000,0.3464101615137754,Kaiju
26,Bacilli,1000,0.5471012044321932,Kaiju
233,Gammaproteobacteria,10000,0.0209855386017305,Kaiju
234,Alphaproteobacteria,10000,0.0407305260231498,Kaiju
235,Flavobacteriia,10000,0.0296191704388706,Kaiju
236,Betaproteobacteria,10000,0.0577349109855228,Kaiju
237,Deltaproteobacteria,10000,0.1129013394270853,Kaiju
238,Coscinodiscophyceae,10000,0.0588531464670155,Kaiju
239,Saprospiria,10000,0.1292199210337026,Kaiju
240,Actinomycetia,10000,0.1189584038827868,Kaiju
241,Bacillariophyceae,10000,0.1124413904053319,Kaiju
242,Planctomycetia,10000,0.177588399707629,Kaiju
243,Trebouxiophyceae,10000,0.4829038818668629,Kaiju
244,Verrucomicrobiae,10000,0.1460545990022164,Kaiju
245,Gemmatimonadetes,10000,0.3803000120609434,Kaiju
246,Anaerolineae,10000,0.5705127207547052,Kaiju
247,Cytophagia,10000,0.2019783248700751,Kaiju
251,Sphingobacteriia,10000,0.4043186276767133,Kaiju
253,Mamiellophyceae,10000,0.2489491534943317,Kaiju
255,Rhodothermia,10000,0.5014627042462879,Kaiju
256,Viruses,10000,0.1777006835137606,Kaiju
257,Bacteroidia,10000,0.2834452365844804,Kaiju
258,Spirotrichea,10000,0.5,Kaiju
259,Bacilli,10000,0.2222222222222222,Kaiju
261,Mediophyceae,10000,0.3903262361629295,Kaiju
264,Epsilonproteobacteria,10000,0.4212708580028639,Kaiju
265,Acidimicrobiia,10000,0.2739613390873894,Kaiju
266,Agaricomycetes,10000,0.6546536707079771,Kaiju
267,Glomeromycetes,10000,0.7071067811865475,Kaiju
268,Oligoflexia,10000,0.3481553119113956,Kaiju
269,Chitinophagia,10000,0.5235475903822737,Kaiju
271,Nitrospira,10000,0.3423265984407288,Kaiju
274,Opitutae,10000,0.2803710061719192,Kaiju
276,Fragilariophyceae,10000,0.7071067811865475,Kaiju
278,Leotiomycetes,10000,0.4330127018922193,Kaiju
279,Sordariomycetes,10000,0.4330127018922193,Kaiju
280,Clostridia,10000,0.3011039359538722,Kaiju
284,Chlorophyceae,10000,0.8413197549333736,Kaiju
285,Phycisphaerae,10000,0.4921529567847502,Kaiju
286,Cryptophyceae,10000,0.4082482904638629,Kaiju
287,Euglenida,10000,0.4,Kaiju
288,Eustigmatophyceae,10000,0.4,Kaiju
289,Choanoflagellata,10000,0.4714045207910316,Kaiju
291,Florideophyceae,10000,0.4,Kaiju
292,Phaeophyceae,10000,0.7071067811865475,Kaiju
296,Rubrobacteria,10000,0.4330127018922193,Kaiju
307,Ignavibacteria,10000,0.4330127018922193,Kaiju
311,Spirochaetia,10000,0.8413197549333736,Kaiju
312,Chlamydiia,10000,0.4948716593053934,Kaiju
314,Caldilineae,10000,0.3464101615137754,Kaiju
321,Mortierellomycetes,10000,0.4714045207910316,Kaiju
325,Thermoleophilia,10000,0.4330127018922193,Kaiju
466,Gammaproteobacteria,100000,0.0136312392917243,Kaiju
467,Alphaproteobacteria,100000,0.0100886933574965,Kaiju
468,Flavobacteriia,100000,0.0229320412092913,Kaiju
469,Betaproteobacteria,100000,0.0116612991454104,Kaiju
470,Deltaproteobacteria,100000,0.0246679474813271,Kaiju
471,Coscinodiscophyceae,100000,0.0401178616813239,Kaiju
472,Saprospiria,100000,0.0872028808223253,Kaiju
473,Actinomycetia,100000,0.0372103400820474,Kaiju
474,Bacillariophyceae,100000,0.0139145975778523,Kaiju
475,Planctomycetia,100000,0.0160381713872144,Kaiju
476,Trebouxiophyceae,100000,0.1367113246317907,Kaiju
477,Verrucomicrobiae,100000,0.0876430148653525,Kaiju
478,Gemmatimonadetes,100000,0.2466074879701454,Kaiju
479,Anaerolineae,100000,0.1269975176676856,Kaiju
480,Cytophagia,100000,0.0183106781432897,Kaiju
481,Dinophyceae,100000,0.1378075821760741,Kaiju
482,Pedinophyceae,100000,0.631906287004296,Kaiju
483,Pelagophyceae,100000,0.3333333333333333,Kaiju
484,Sphingobacteriia,100000,0.0911290199107627,Kaiju
485,Ktedonobacteria,100000,0.5590169943749473,Kaiju
486,Mamiellophyceae,100000,0.0769710041665438,Kaiju
487,Nitrospinia,100000,0.2671581119676575,Kaiju
488,Rhodothermia,100000,0.084986912386604,Kaiju
489,Viruses,100000,0.0467618778564594,Kaiju
490,Bacteroidia,100000,0.0841965253232891,Kaiju
