,family,read count,relative error,type
0,Flavobacteriaceae,1000,0.0660315260486978,Kaiju
1,Pseudoalteromonadaceae,1000,0.1308040536690613,Kaiju
2,Roseobacteraceae,1000,0.2173030746603065,Kaiju
3,Oceanospirillaceae,1000,0.2646540164119899,Kaiju
4,Alteromonadaceae,1000,0.1420071374856744,Kaiju
5,Rhodobacteraceae,1000,0.443320654972222,Kaiju
6,Erythrobacteraceae,1000,0.2608202654786505,Kaiju
7,Pelagibacteraceae,1000,0.3702935955951378,Kaiju
8,Vibrionaceae,1000,0.9521904571390466,Kaiju
9,Colwelliaceae,1000,0.4507922033332113,Kaiju
10,Moraxellaceae,1000,0.316227766016838,Kaiju
11,Shewanellaceae,1000,0.6986885432532672,Kaiju
12,Lewinellaceae,1000,0.7071067811865475,Kaiju
13,Thalassiosiraceae,1000,0.5232211106009699,Kaiju
14,Halieaceae,1000,0.5760122598146589,Kaiju
15,Pirellulaceae,1000,0.3440104580768907,Kaiju
17,Sphingomonadaceae,1000,0.5590169943749475,Kaiju
18,Chaetocerotaceae,1000,0.4979295977319691,Kaiju
19,Comamonadaceae,1000,0.3440104580768908,Kaiju
20,Microbacteriaceae,1000,0.2032789070454354,Kaiju
21,Saprospiraceae,1000,0.4714045207910317,Kaiju
22,Burkholderiaceae,1000,0.3464101615137754,Kaiju
23,Pseudomonadaceae,1000,0.3535533905932737,Kaiju
24,Verrucomicrobiaceae,1000,0.7243558228002941,Kaiju
25,Desulfobacteraceae,1000,0.4,Kaiju
26,Desulfobulbaceae,1000,0.4714045207910317,Kaiju
27,Geobacteraceae,1000,0.4714045207910317,Kaiju
28,Cryomorphaceae,1000,0.3464101615137754,Kaiju
29,Cyclobacteriaceae,1000,0.5163977794943222,Kaiju
31,Mycobacteriaceae,1000,0.4714045207910317,Kaiju
34,Bacillariaceae,1000,0.4979295977319691,Kaiju
36,Mamiellaceae,1000,0.4330127018922193,Kaiju
37,Naviculaceae,1000,0.5061943174124037,Kaiju
38,Phyllobacteriaceae,1000,0.5,Kaiju
40,Ectothiorhodospiraceae,1000,0.4330127018922193,Kaiju
47,Saccharospirillaceae,1000,0.4330127018922193,Kaiju
49,Litoricolaceae,1000,0.4330127018922193,Kaiju
52,Cellvibrionaceae,1000,0.6388765649999399,Kaiju
53,Rubricoccaceae,1000,0.3849001794597504,Kaiju
54,Crocinitomicaceae,1000,0.5590169943749475,Kaiju
58,Viruses,1000,0.6928203230275509,Kaiju
59,Chromatiaceae,1000,0.5,Kaiju
60,Streptomycetaceae,1000,0.7071067811865475,Kaiju
61,Prolixibacteraceae,1000,0.4714045207910317,Kaiju
63,Bernardetiaceae,1000,0.4714045207910317,Kaiju
67,Phaeodactylaceae,1000,0.4714045207910317,Kaiju
69,Hyphomicrobiaceae,1000,0.4714045207910317,Kaiju
73,Bacillaceae,1000,0.4714045207910317,Kaiju
77,Symbiodiniaceae,1000,0.4,Kaiju
92,Porticoccaceae,1000,0.7071067811865475,Kaiju
93,Reichenbachiellaceae,1000,0.4714045207910317,Kaiju
94,Rickettsiaceae,1000,0.4714045207910317,Kaiju
112,Chromobacteriaceae,1000,0.4714045207910317,Kaiju
1372,Flavobacteriaceae,10000,0.0271530774220066,Kaiju
1373,Pseudoalteromonadaceae,10000,0.0342677579585202,Kaiju
1374,Roseobacteraceae,10000,0.060920667179044,Kaiju
1375,Oceanospirillaceae,10000,0.0611475210050923,Kaiju
1376,Alteromonadaceae,10000,0.0935937169415693,Kaiju
1377,Rhodobacteraceae,10000,0.1404796705462539,Kaiju
1378,Erythrobacteraceae,10000,0.1192132162159952,Kaiju
1379,Pelagibacteraceae,10000,0.056396946669929,Kaiju
1380,Vibrionaceae,10000,0.2390660112153641,Kaiju
1381,Colwelliaceae,10000,0.16122170624121,Kaiju
1382,Moraxellaceae,10000,0.0978075995544939,Kaiju
1383,Shewanellaceae,10000,0.1302893266617619,Kaiju
1384,Lewinellaceae,10000,0.1944406936956339,Kaiju
1385,Thalassiosiraceae,10000,0.1323701708842203,Kaiju
1386,Halieaceae,10000,0.0595350605983876,Kaiju
1387,Pirellulaceae,10000,0.3064688078645294,Kaiju
1388,Chlorellaceae,10000,0.1333333333333334,Kaiju
1389,Sphingomonadaceae,10000,0.2107618378314782,Kaiju
1390,Chaetocerotaceae,10000,0.2759925270727452,Kaiju
1391,Comamonadaceae,10000,0.1542492013092996,Kaiju
1392,Microbacteriaceae,10000,0.2107686894528838,Kaiju
1393,Saprospiraceae,10000,0.2032789070454353,Kaiju
1394,Burkholderiaceae,10000,0.3199049566457976,Kaiju
1395,Pseudomonadaceae,10000,0.3004328029253738,Kaiju
1396,Verrucomicrobiaceae,10000,0.087402535772101,Kaiju
1397,Desulfobacteraceae,10000,0.2445878118044314,Kaiju
1398,Desulfobulbaceae,10000,0.6144950501563593,Kaiju
1399,Geobacteraceae,10000,0.7071067811865476,Kaiju
1400,Cryomorphaceae,10000,0.2669351643264154,Kaiju
1401,Cyclobacteriaceae,10000,0.3849668115349419,Kaiju
1402,Synechococcaceae,10000,0.5275944268966493,Kaiju
1403,Mycobacteriaceae,10000,0.5471012044321931,Kaiju
1404,Halomonadaceae,10000,0.2248000829380223,Kaiju
1405,Skeletonemataceae,10000,0.4,Kaiju
1406,Bacillariaceae,10000,0.2317736142542175,Kaiju
1407,Bradyrhizobiaceae,10000,0.5471012044321931,Kaiju
1408,Mamiellaceae,10000,0.2706562614012087,Kaiju
1409,Naviculaceae,10000,0.0945963738041784,Kaiju
1410,Phyllobacteriaceae,10000,0.4230985058813282,Kaiju
