,genus,read count,relative error,type
0,Pseudoalteromonas,1000,0.2179784849085821,Kaiju
1,Oleispira,1000,0.2891181756145736,Kaiju
2,Sulfitobacter,1000,0.4635124054434789,Kaiju
3,Psychrosphaera,1000,0.573100233424329,Kaiju
4,Polaribacter,1000,0.2728479125437857,Kaiju
5,Glaciecola,1000,0.2780915670973508,Kaiju
6,Alteromonas,1000,0.2557309823136435,Kaiju
7,Colwellia,1000,0.6236095644623234,Kaiju
8,Dokdonia,1000,0.4212708580028638,Kaiju
9,Shewanella,1000,0.6319062870042959,Kaiju
10,Psychrobacter,1000,0.465657314657332,Kaiju
11,Vibrio,1000,0.7071067811865475,Kaiju
12,Lewinella,1000,0.7071067811865475,Kaiju
13,Candidatus Pelagibacter,1000,0.3167153958608716,Kaiju
14,Lentibacter,1000,0.4762804847871009,Kaiju
15,Erythrobacter,1000,0.4082482904638629,Kaiju
16,Thalassiosira,1000,0.5232211106009699,Kaiju
17,Oceanobacter,1000,0.5144592961031406,Kaiju
18,Pseudomonas,1000,0.3535533905932737,Kaiju
20,Chaetoceros,1000,0.4979295977319691,Kaiju
21,Salegentibacter,1000,0.4330127018922193,Kaiju
22,Algoriphagus,1000,0.4255231590028169,Kaiju
23,Maribacter,1000,0.4,Kaiju
24,Lutibacter,1000,0.4330127018922193,Kaiju
25,Nonlabens,1000,0.4330127018922193,Kaiju
26,Aquiluna,1000,0.4648111258522642,Kaiju
27,Bermanella,1000,0.5926547641093318,Kaiju
28,Marivita,1000,0.3849001794597504,Kaiju
29,Halioglobus,1000,0.4330127018922193,Kaiju
30,Planktomarina,1000,0.7373188274108003,Kaiju
31,Aliiglaciecola,1000,0.4330127018922193,Kaiju
32,Paraglaciecola,1000,0.3423265984407288,Kaiju
33,Flavobacterium,1000,0.5926547641093318,Kaiju
36,Acinetobacter,1000,0.4,Kaiju
43,Nitzschia,1000,0.4,Kaiju
47,Micromonas,1000,0.4330127018922193,Kaiju
51,Octadecabacter,1000,0.4330127018922193,Kaiju
53,Haslea,1000,0.6972166887783963,Kaiju
56,Tenacibaculum,1000,0.4,Kaiju
67,Hoeflea,1000,0.4330127018922193,Kaiju
71,Lacinutrix,1000,0.4330127018922193,Kaiju
72,Tateyamaria,1000,0.6666666666666666,Kaiju
91,Thalassotalea,1000,0.6666666666666666,Kaiju
96,Qipengyuania,1000,0.3726779962499649,Kaiju
104,Yoonia,1000,0.4714045207910317,Kaiju
108,Ningiella,1000,0.4,Kaiju
110,Pontixanthobacter,1000,0.4948716593053935,Kaiju
119,Viruses,1000,0.6928203230275509,Kaiju
120,Streptomyces,1000,0.7071067811865475,Kaiju
121,Winogradskyella,1000,0.3149183286488868,Kaiju
122,Candidatus Puniceispirillum,1000,0.5471012044321932,Kaiju
123,Pseudo-nitzschia,1000,0.4714045207910317,Kaiju
124,Ruegeria,1000,0.4330127018922193,Kaiju
126,Aestuariibacter,1000,0.4714045207910317,Kaiju
127,Fistulifera,1000,0.282842712474619,Kaiju
128,Paraperlucidibaca,1000,0.4330127018922193,Kaiju
129,Bernardetia,1000,0.4714045207910317,Kaiju
135,Roseobacter,1000,0.5471012044321932,Kaiju
136,Phaeodactylum,1000,0.4714045207910317,Kaiju
