,order,read count,relative error,type
0,Alteromonadales,1000,0.0228853436283494,Kaiju
1,Flavobacteriales,1000,0.0653781783711248,Kaiju
2,Rhodobacterales,1000,0.1573216327047177,Kaiju
3,Oceanospirillales,1000,0.1995044483620748,Kaiju
4,Sphingomonadales,1000,0.2537682177557801,Kaiju
5,Pelagibacterales,1000,0.3084231693103158,Kaiju
6,Hyphomicrobiales,1000,0.5085476277156078,Kaiju
7,Vibrionales,1000,0.9521904571390466,Kaiju
8,Saprospirales,1000,0.7975554366664508,Kaiju
9,Burkholderiales,1000,0.4007371679514863,Kaiju
10,Moraxellales,1000,0.316227766016838,Kaiju
11,Thalassiosirales,1000,0.4516559039308083,Kaiju
12,Desulfobacterales,1000,0.4,Kaiju
13,Cellvibrionales,1000,0.67700320038633,Kaiju
14,Chromatiales,1000,0.3296902366978935,Kaiju
15,Pirellulales,1000,0.4082482904638629,Kaiju
17,Verrucomicrobiales,1000,0.749753411139151,Kaiju
19,Pseudomonadales,1000,0.2106625221173715,Kaiju
20,Micrococcales,1000,0.3440104580768907,Kaiju
22,Chaetocerotales,1000,0.6319062870042959,Kaiju
23,Cytophagales,1000,0.4937179676991845,Kaiju
25,Mamiellales,1000,0.7071067811865475,Kaiju
26,Bacillariales,1000,0.4979295977319691,Kaiju
27,Naviculales,1000,0.5832981110808885,Kaiju
29,Corynebacteriales,1000,0.7071067811865475,Kaiju
30,Suessiales,1000,0.3726779962499649,Kaiju
38,Rhodothermales,1000,0.3849001794597504,Kaiju
41,Viruses,1000,0.6928203230275509,Kaiju
42,Streptomycetales,1000,0.7071067811865475,Kaiju
43,Rhodospirillales,1000,0.3464101615137754,Kaiju
44,Marinilabiliales,1000,0.4714045207910317,Kaiju
46,Bacillales,1000,0.3849001794597504,Kaiju
60,Rickettsiales,1000,0.4714045207910317,Kaiju
62,Nitrosomonadales,1000,0.8331955809010619,Kaiju
66,Neisseriales,1000,0.4714045207910317,Kaiju
626,Alteromonadales,10000,0.037399823644055,Kaiju
627,Flavobacteriales,10000,0.0378927428767666,Kaiju
628,Rhodobacterales,10000,0.0466949882231767,Kaiju
629,Oceanospirillales,10000,0.0694946443901864,Kaiju
630,Sphingomonadales,10000,0.1007449018964353,Kaiju
631,Pelagibacterales,10000,0.0734863404349307,Kaiju
632,Hyphomicrobiales,10000,0.1350081415571746,Kaiju
633,Vibrionales,10000,0.2279379095687393,Kaiju
634,Saprospirales,10000,0.1292199210337026,Kaiju
635,Burkholderiales,10000,0.0758510459667933,Kaiju
636,Moraxellales,10000,0.0978075995544939,Kaiju
637,Thalassiosirales,10000,0.1187049877431961,Kaiju
638,Desulfobacterales,10000,0.1147062947654798,Kaiju
639,Cellvibrionales,10000,0.0438844290182026,Kaiju
640,Chromatiales,10000,0.1696141594807596,Kaiju
641,Pirellulales,10000,0.2429409922521309,Kaiju
642,Chlorellales,10000,0.1333333333333334,Kaiju
643,Verrucomicrobiales,10000,0.1267585994748065,Kaiju
644,Desulfuromonadales,10000,0.4174896485659606,Kaiju
645,Pseudomonadales,10000,0.2548399804541275,Kaiju
646,Micrococcales,10000,0.1596571296487204,Kaiju
647,Gemmatimonadales,10000,0.3803000120609434,Kaiju
648,Chaetocerotales,10000,0.2938870100638666,Kaiju
649,Cytophagales,10000,0.2090609490400256,Kaiju
650,Synechococcales,10000,0.730983187052265,Kaiju
651,Mamiellales,10000,0.2489491534943317,Kaiju
652,Bacillariales,10000,0.2317736142542175,Kaiju
653,Naviculales,10000,0.1096673652768575,Kaiju
655,Corynebacteriales,10000,0.476280484787101,Kaiju
656,Suessiales,10000,0.4948716593053934,Kaiju
657,Enterobacterales,10000,0.4096633667709064,Kaiju
658,Cymbellales,10000,0.5163977794943222,Kaiju
659,Sphingobacteriales,10000,0.4043186276767133,Kaiju
660,Caulobacterales,10000,0.8660254037844386,Kaiju
664,Rhodothermales,10000,0.5014627042462879,Kaiju
666,Hyphomonadales,10000,0.576012259814659,Kaiju
667,Viruses,10000,0.1777006835137606,Kaiju
668,Streptomycetales,10000,0.5590169943749475,Kaiju
669,Rhodospirillales,10000,0.3061862178478973,Kaiju
670,Marinilabiliales,10000,0.2591307784316223,Kaiju
671,Planctomycetales,10000,0.2507385540462557,Kaiju
672,Bacillales,10000,0.2049425795689608,Kaiju
674,Aeromonadales,10000,0.3535533905932737,Kaiju
675,Desulfovibrionales,10000,0.408248290463863,Kaiju
677,Triceratiales,10000,0.3912303982179758,Kaiju
678,Anaerolineales,10000,0.5926547641093317,Kaiju
679,Sporadotrichida,10000,0.4714045207910316,Kaiju
681,Arenicellales,10000,0.3510981290092154,Kaiju
684,Maricaulales,10000,0.4385290096535145,Kaiju
685,Pseudanabaenales,10000,0.6011057519272295,Kaiju
686,Rickettsiales,10000,0.1632993161855452,Kaiju
688,Nitrosomonadales,10000,0.0902839380503021,Kaiju
689,Acidimicrobiales,10000,0.2606585284974895,Kaiju
690,Propionibacteriales,10000,0.5342912389583809,Kaiju
692,Neisseriales,10000,0.2165063509461096,Kaiju
693,Campylobacterales,10000,0.3333333333333333,Kaiju
695,Bacteriovoracales,10000,0.4,Kaiju
696,Myxococcales,10000,0.2535333413739622,Kaiju
697,Xanthomonadales,10000,0.3189632267349089,Kaiju
698,Bacteroidales,10000,0.6262982735168667,Kaiju
699,Chitinophagales,10000,0.5235475903822737,Kaiju
700,Oscillatoriales,10000,0.1597191412499849,Kaiju
702,Nitrosopumilales,10000,0.5000000000000001,Kaiju
703,Pleurocapsales,10000,0.4330127018922193,Kaiju
705,Thiotrichales,10000,0.3348416366623648,Kaiju
706,Pseudonocardiales,10000,0.3849001794597504,Kaiju
708,Nitrospirales,10000,0.4979295977319692,Kaiju
710,Sneathiellales,10000,0.4714045207910316,Kaiju
711,Puniceicoccales,10000,0.308287726505694,Kaiju
712,Methylococcales,10000,0.1049727762162955,Kaiju
714,Helotiales,10000,0.4330127018922193,Kaiju
717,Eubacteriales,10000,0.2672612419124243,Kaiju
718,Lactobacillales,10000,0.5590169943749473,Kaiju
720,Rhodocyclales,10000,0.576012259814659,Kaiju
724,Nostocales,10000,0.2721655269759087,Kaiju
725,Actinomycetales,10000,0.3726779962499648,Kaiju
726,Chlamydomonadales,10000,0.5471012044321931,Kaiju
727,Bdellovibrionales,10000,0.6928203230275509,Kaiju
728,Kordiimonadales,10000,0.5471012044321931,Kaiju
729,Pyrenomonadales,10000,0.5471012044321931,Kaiju
730,Phycisphaerales,10000,0.6869780022025479,Kaiju
731,Saprolegniales,10000,0.4330127018922193,Kaiju
732,Euplotida,10000,0.4714045207910316,Kaiju
734,Eutreptiales,10000,0.4,Kaiju
