,phylum,read count,relative error,type
0,Proteobacteria,1000,0.0352186864404494,Kaiju
1,Bacteroidetes,1000,0.1055189617024726,Kaiju
2,Bacillariophyta,1000,0.2491894642376872,Kaiju
3,Actinobacteria,1000,0.1178511301977579,Kaiju
4,Chlorophyta,1000,0.6085806194501846,Kaiju
5,Chloroflexi,1000,0.5592469952052406,Kaiju
6,Verrucomicrobia,1000,0.6512350903146596,Kaiju
7,Planctomycetes,1000,0.5003428180039369,Kaiju
8,Cyanobacteria,1000,0.5,Kaiju
9,Gemmatimonadetes,1000,0.4714045207910317,Kaiju
10,Firmicutes,1000,0.7243558228002941,Kaiju
14,Rhodothermaeota,1000,0.3849001794597504,Kaiju
16,Viruses,1000,0.6928203230275509,Kaiju
21,Acidobacteria,1000,0.4714045207910317,Kaiju
206,Proteobacteria,10000,0.0222941402080601,Kaiju
207,Bacteroidetes,10000,0.0331637323707443,Kaiju
208,Bacillariophyta,10000,0.0543497911071278,Kaiju
209,Actinobacteria,10000,0.1228426602599439,Kaiju
210,Chlorophyta,10000,0.2869364392555262,Kaiju
211,Chloroflexi,10000,0.1223044426459927,Kaiju
212,Verrucomicrobia,10000,0.1137195094596381,Kaiju
213,Planctomycetes,10000,0.144957476844998,Kaiju
214,Cyanobacteria,10000,0.3383412868523274,Kaiju
215,Gemmatimonadetes,10000,0.4707511531578504,Kaiju
216,Firmicutes,10000,0.1217948504981954,Kaiju
217,Spirochaetes,10000,0.7497534111391508,Kaiju
218,Nitrospinae,10000,0.4,Kaiju
220,Rhodothermaeota,10000,0.5014627042462879,Kaiju
222,Viruses,10000,0.1777006835137606,Kaiju
223,Basidiomycota,10000,0.5592469952052407,Kaiju
224,Ciliophora,10000,0.5592469952052407,Kaiju
226,Rhodophyta,10000,0.5592469952052408,Kaiju
227,Acidobacteria,10000,0.1414213562373094,Kaiju
228,Mucoromycota,10000,0.5592469952052408,Kaiju
230,Oomycota,10000,0.6666666666666666,Kaiju
231,Euryarchaeota,10000,0.2032789070454353,Kaiju
232,Nitrospirae,10000,0.1597191412499849,Kaiju
234,Thaumarchaeota,10000,0.4385290096535147,Kaiju
235,Ascomycota,10000,0.2201736911931778,Kaiju
240,Euglenozoa,10000,0.2857142857142857,Kaiju
241,Armatimonadetes,10000,0.4648111258522642,Kaiju
242,Ignavibacteriae,10000,0.2222222222222221,Kaiju
243,Candidatus Tectomicrobia,10000,0.4714045207910316,Kaiju
245,Candidatus Marinimicrobia,10000,0.4,Kaiju
250,Candidatus Gracilibacteria,10000,0.3849001794597504,Kaiju
259,Calditrichaeota,10000,0.6666666666666665,Kaiju
263,Chlamydiae,10000,0.5728219618694802,Kaiju
264,Lentisphaerae,10000,0.6928203230275509,Kaiju
266,Candidatus Aminicenantes,10000,0.4330127018922193,Kaiju
276,Tenericutes,10000,0.4714045207910316,Kaiju
284,Chytridiomycota,10000,0.4714045207910316,Kaiju
412,Proteobacteria,100000,0.0064286297177147,Kaiju
413,Bacteroidetes,100000,0.021336264436156,Kaiju
414,Bacillariophyta,100000,0.0162582830977702,Kaiju
415,Actinobacteria,100000,0.0340451004774136,Kaiju
416,Chlorophyta,100000,0.0391927517632019,Kaiju
417,Chloroflexi,100000,0.0306468874188306,Kaiju
418,Verrucomicrobia,100000,0.0434572390535058,Kaiju
419,Planctomycetes,100000,0.0284633734223273,Kaiju
420,Cyanobacteria,100000,0.0816396033054212,Kaiju
421,Gemmatimonadetes,100000,0.1743041721945991,Kaiju
422,Firmicutes,100000,0.1113203116536935,Kaiju
423,Spirochaetes,100000,0.0840401240619791,Kaiju
424,Nitrospinae,100000,0.3414214156570471,Kaiju
426,Rhodothermaeota,100000,0.0897913372935298,Kaiju
428,Viruses,100000,0.0467618778564594,Kaiju
429,Basidiomycota,100000,0.364835982967112,Kaiju
430,Ciliophora,100000,0.1724137931034482,Kaiju
432,Rhodophyta,100000,0.53138417929546,Kaiju
433,Acidobacteria,100000,0.1339357644273776,Kaiju
434,Mucoromycota,100000,0.161970885967925,Kaiju
435,Chlorobi,100000,0.6547663768585424,Kaiju
436,Oomycota,100000,0.119352479006572,Kaiju
437,Euryarchaeota,100000,0.22566773346211,Kaiju
438,Nitrospirae,100000,0.0739484172160424,Kaiju
440,Thaumarchaeota,100000,0.1867070468191972,Kaiju
441,Ascomycota,100000,0.1144056387317124,Kaiju
442,Deferribacteres,100000,0.3464101615137754,Kaiju
443,Candidatus Melainabacteria,100000,0.5163977794943222,Kaiju
444,Balneolaeota,100000,0.5691057665928179,Kaiju
445,Haptophyta,100000,0.3882044084266605,Kaiju
446,Euglenozoa,100000,0.1417217914174488,Kaiju
447,Armatimonadetes,100000,0.3912303982179757,Kaiju
448,Ignavibacteriae,100000,0.1638250519689213,Kaiju
449,Candidatus Tectomicrobia,100000,0.5443310539518174,Kaiju
450,Deinococcus-Thermus,100000,0.4513354669242202,Kaiju
451,Candidatus Marinimicrobia,100000,0.3912303982179758,Kaiju
452,Fibrobacteres,100000,0.3726779962499649,Kaiju
453,Kiritimatiellaeota,100000,0.2667894653011367,Kaiju
454,Candidatus Hydrogenedentes,100000,0.4575657233497424,Kaiju
455,Thermotogae,100000,0.3464101615137754,Kaiju
456,Candidatus Gracilibacteria,100000,0.1169267933366857,Kaiju
458,Candidatus Bathyarchaeota,100000,0.6871842709362768,Kaiju
459,candidate division Zixibacteria,100000,0.3496690869141741,Kaiju
461,Candidatus Rokubacteria,100000,0.3446761565477978,Kaiju
465,Calditrichaeota,100000,0.2359456288242035,Kaiju
467,Evosea,100000,0.5698307040253272,Kaiju
469,Chlamydiae,100000,0.1224744871391588,Kaiju
470,Lentisphaerae,100000,0.2212192182518245,Kaiju
471,Fusobacteria,100000,0.6435846357954428,Kaiju
472,Candidatus Aminicenantes,100000,0.6481590798850738,Kaiju
473,Microsporidia,100000,0.6123724356957946,Kaiju
474,Elusimicrobia,100000,0.4648111258522642,Kaiju
475,Thermodesulfobacteria,100000,0.4385290096535146,Kaiju
476,Candidatus Parcubacteria,100000,0.6666666666666666,Kaiju
478,Candidatus Fermentibacteria,100000,0.4330127018922193,Kaiju
479,Candidatus Dadabacteria,100000,0.1244823994329923,Kaiju
480,Zoopagomycota,100000,0.5863019699779287,Kaiju
481,Candidatus Blackallbacteria,100000,0.4330127018922193,Kaiju
482,Tenericutes,100000,0.3908679799852857,Kaiju
483,Candidatus Thermoplasmatota,100000,0.4648111258522642,Kaiju
484,Candidatus Omnitrophica,100000,0.4975702737155009,Kaiju
485,Atribacterota,100000,0.4,Kaiju
486,Candidatus Poribacteria,100000,0.6388765649999398,Kaiju
488,Candidatus Woesearchaeota,100000,0.4999999999999999,Kaiju
490,Chytridiomycota,100000,0.2698702731465263,Kaiju
491,Candidatus Moranbacteria,100000,0.3849001794597505,Kaiju
493,Candidatus Latescibacteria,100000,0.6666666666666666,Kaiju
494,candidate division WOR-3,100000,0.6928203230275509,Kaiju
496,Candidatus Kaiserbacteria,100000,0.6085806194501846,Kaiju
498,Apicomplexa,100000,0.3240068961457457,Kaiju
499,Cryptomycota,100000,0.5471012044321931,Kaiju
500,Candidatus Desantisbacteria,100000,0.7071067811865475,Kaiju
501,Aquificae,100000,0.686978002202548,Kaiju
502,Candidatus Cloacimonetes,100000,0.5163977794943222,Kaiju
503,Discosea,100000,0.4999999999999999,Kaiju
504,Candidatus Woesebacteria,100000,0.3912303982179758,Kaiju
505,Candidatus Giovannonibacteria,100000,0.4714045207910316,Kaiju
506,Candidatus Schekmanbacteria,100000,0.2857142857142857,Kaiju
507,Candidatus Heimdallarchaeota,100000,0.3849001794597505,Kaiju
508,Heterolobosea,100000,0.3999999999999999,Kaiju
510,Candidatus Sumerlaeota,100000,0.3464101615137754,Kaiju
511,Chrysiogenetes,100000,0.4330127018922193,Kaiju
518,Candidatus Pacebacteria,100000,0.4648111258522642,Kaiju
521,Candidatus Margulisbacteria,100000,0.4714045207910316,Kaiju
