,taxon_id,1K_1-family,1K_2-family,1K_3-family,1K_4-family,1K_5-family,10K_1-family,10K_2-family,10K_3-family,10K_4-family,10K_5-family,100K_1-family,100K_2-family,100K_3-family,100K_4-family,100K_5-family,1M_1-family,1M_2-family,1M_3-family,1M_4-family,1M_5-family,10M_1-family,10M_3-family,10M_4-family,10M_5-family
Flavobacteriaceae,49546.0,42.0,40.0,35.0,40.0,39.0,484.0,475.0,454.0,481.0,462.0,4997.0,4837.0,4709.0,4769.0,4783.0,48303.0,47950.0,48309.0,48086.0,48278.0,482625.0,482571.0,483334.0,482586.0
Pseudoalteromonadaceae,267888.0,31.0,29.0,31.0,22.0,29.0,283.0,294.0,286.0,308.0,299.0,2980.0,2933.0,3088.0,2895.0,3033.0,29461.0,29944.0,29897.0,29720.0,29699.0,296960.0,296979.0,296386.0,296671.0
Roseobacteraceae,2854170.0,24.0,28.0,15.0,27.0,24.0,228.0,230.0,250.0,234.0,262.0,2395.0,2406.0,2430.0,2542.0,2400.0,24465.0,24427.0,24592.0,24420.0,24339.0,244748.0,245298.0,244990.0,245549.0
Oceanospirillaceae,135620.0,21.0,28.0,21.0,33.0,38.0,260.0,272.0,258.0,243.0,286.0,2673.0,2645.0,2723.0,2594.0,2690.0,26635.0,26808.0,26830.0,26322.0,26648.0,266233.0,266407.0,266106.0,265633.0
Alteromonadaceae,72275.0,19.0,23.0,20.0,27.0,24.0,227.0,230.0,194.0,196.0,190.0,2071.0,2173.0,2116.0,2104.0,2168.0,21328.0,21193.0,21349.0,21381.0,21504.0,213094.0,213657.0,213238.0,213396.0
Rhodobacteraceae,31989.0,13.0,21.0,13.0,5.0,12.0,167.0,181.0,162.0,125.0,143.0,1522.0,1468.0,1518.0,1439.0,1485.0,15159.0,15023.0,14945.0,15216.0,15152.0,151559.0,151527.0,151650.0,151638.0
Erythrobacteraceae,335929.0,10.0,6.0,10.0,10.0,6.0,84.0,75.0,83.0,82.0,62.0,750.0,718.0,682.0,714.0,730.0,7260.0,7130.0,7238.0,7201.0,7389.0,72499.0,72482.0,72600.0,72497.0
Pelagibacteraceae,1655514.0,8.0,7.0,6.0,4.0,3.0,49.0,56.0,54.0,54.0,50.0,537.0,506.0,474.0,521.0,456.0,4885.0,4955.0,4913.0,4913.0,4935.0,49040.0,49257.0,49256.0,49078.0
Vibrionaceae,641.0,6.0,2.0,1.0,1.0,0.0,25.0,15.0,21.0,19.0,14.0,177.0,209.0,191.0,223.0,180.0,2049.0,2023.0,2033.0,2038.0,1989.0,20010.0,20071.0,20158.0,20095.0
Colwelliaceae,267889.0,6.0,5.0,6.0,5.0,1.0,59.0,43.0,42.0,45.0,41.0,460.0,442.0,489.0,484.0,488.0,4779.0,4886.0,4886.0,4795.0,4784.0,48714.0,48461.0,48354.0,48168.0
Moraxellaceae,468.0,5.0,7.0,4.0,6.0,3.0,53.0,61.0,49.0,62.0,55.0,641.0,590.0,583.0,570.0,621.0,5780.0,5701.0,5756.0,5674.0,5686.0,57027.0,57458.0,57267.0,57295.0
Shewanellaceae,267890.0,4.0,1.0,2.0,5.0,1.0,19.0,20.0,20.0,16.0,15.0,189.0,178.0,184.0,177.0,178.0,1914.0,1870.0,1903.0,1833.0,1897.0,18538.0,18399.0,18361.0,18582.0
Lewinellaceae,1937960.0,4.0,0.0,2.0,1.0,1.0,13.0,17.0,22.0,19.0,21.0,198.0,221.0,225.0,208.0,186.0,2165.0,2166.0,2185.0,2193.0,2118.0,21702.0,21545.0,21437.0,21556.0
Thalassiosiraceae,29202.0,3.0,8.0,2.0,4.0,5.0,46.0,46.0,45.0,46.0,33.0,405.0,465.0,432.0,427.0,442.0,4403.0,4291.0,4271.0,4202.0,4214.0,43048.0,42892.0,42846.0,42769.0
Halieaceae,1706372.0,3.0,4.0,7.0,2.0,2.0,47.0,50.0,44.0,46.0,43.0,440.0,497.0,456.0,443.0,453.0,4646.0,4576.0,4672.0,4688.0,4578.0,45907.0,46226.0,46133.0,46110.0
Pirellulaceae,2691357.0,3.0,2.0,4.0,2.0,2.0,18.0,22.0,12.0,11.0,13.0,185.0,190.0,179.0,189.0,182.0,1874.0,1827.0,1762.0,1771.0,1829.0,18319.0,18248.0,18227.0,18178.0
Chlorellaceae,35461.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,34.0,45.0,36.0,40.0,39.0,356.0,344.0,357.0,380.0,353.0,3561.0,3536.0,3545.0,3559.0
Sphingomonadaceae,41297.0,2.0,1.0,3.0,1.0,1.0,18.0,23.0,18.0,13.0,22.0,178.0,164.0,153.0,172.0,177.0,1720.0,1649.0,1722.0,1689.0,1625.0,16940.0,16865.0,16896.0,16938.0
Chaetocerotaceae,49236.0,2.0,1.0,4.0,2.0,2.0,16.0,14.0,11.0,16.0,23.0,148.0,159.0,161.0,172.0,161.0,1516.0,1500.0,1466.0,1454.0,1500.0,14726.0,14849.0,14929.0,14826.0
Comamonadaceae,80864.0,2.0,4.0,2.0,3.0,2.0,30.0,29.0,31.0,37.0,24.0,327.0,355.0,331.0,311.0,283.0,3079.0,3221.0,3134.0,3115.0,3062.0,31039.0,31142.0,30885.0,31079.0
Microbacteriaceae,85023.0,2.0,2.0,2.0,3.0,2.0,16.0,29.0,21.0,25.0,24.0,207.0,213.0,199.0,233.0,246.0,2079.0,2160.0,2080.0,2162.0,2125.0,20819.0,20811.0,20708.0,20760.0
Saprospiraceae,89374.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,37.0,37.0,23.0,40.0,23.0,296.0,297.0,320.0,317.0,289.0,2888.0,2904.0,2885.0,2870.0
Burkholderiaceae,119060.0,2.0,1.0,0.0,0.0,2.0,12.0,10.0,7.0,17.0,11.0,92.0,98.0,113.0,124.0,112.0,1050.0,1139.0,1053.0,1053.0,1069.0,10609.0,10605.0,10764.0,10736.0
Pseudomonadaceae,135621.0,2.0,2.0,1.0,2.0,3.0,8.0,15.0,20.0,14.0,14.0,154.0,145.0,143.0,141.0,150.0,1435.0,1443.0,1453.0,1397.0,1417.0,14343.0,14328.0,14325.0,14283.0
Verrucomicrobiaceae,203557.0,2.0,1.0,1.0,1.0,4.0,20.0,20.0,17.0,20.0,17.0,156.0,177.0,174.0,189.0,180.0,1812.0,1842.0,1847.0,1775.0,1947.0,18304.0,18360.0,18342.0,18432.0
Desulfobacteraceae,213119.0,2.0,1.0,1.0,1.0,0.0,20.0,18.0,13.0,19.0,11.0,148.0,168.0,141.0,173.0,154.0,1495.0,1446.0,1476.0,1521.0,1439.0,14836.0,14759.0,14947.0,14857.0
Desulfobulbaceae,213121.0,2.0,1.0,0.0,0.0,0.0,6.0,2.0,2.0,5.0,9.0,50.0,40.0,56.0,37.0,47.0,473.0,461.0,495.0,464.0,502.0,4656.0,4758.0,4779.0,4736.0
Geobacteraceae,213422.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,4.0,3.0,20.0,12.0,10.0,17.0,20.0,149.0,158.0,165.0,152.0,181.0,1515.0,1525.0,1552.0,1573.0
Cryomorphaceae,246874.0,2.0,2.0,0.0,1.0,0.0,17.0,21.0,10.0,19.0,14.0,156.0,150.0,157.0,150.0,143.0,1447.0,1475.0,1462.0,1518.0,1463.0,14779.0,14739.0,14594.0,14480.0
Cyclobacteriaceae,563798.0,2.0,0.0,4.0,3.0,1.0,17.0,13.0,29.0,24.0,12.0,180.0,173.0,177.0,172.0,178.0,1835.0,1764.0,1750.0,1782.0,1797.0,18078.0,17855.0,17872.0,18001.0
Synechococcaceae,1890426.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,11.0,7.0,44.0,31.0,51.0,55.0,45.0,468.0,461.0,462.0,470.0,464.0,4575.0,4543.0,4654.0,4522.0
Mycobacteriaceae,1762.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,36.0,30.0,35.0,29.0,39.0,282.0,302.0,316.0,295.0,313.0,3019.0,3025.0,3043.0,3044.0
