,taxon_id,1K_1-genus,1K_2-genus,1K_3-genus,1K_4-genus,1K_5-genus,10K_1-genus,10K_2-genus,10K_3-genus,10K_4-genus,10K_5-genus,100K_1-genus,100K_2-genus,100K_3-genus,100K_4-genus,100K_5-genus,1M_1-genus,1M_2-genus,1M_3-genus,1M_4-genus,1M_5-genus,10M_1-genus,10M_3-genus,10M_4-genus,10M_5-genus
Pseudoalteromonas,53246.0,21.0,22.0,29.0,16.0,26.0,226.0,214.0,209.0,237.0,234.0,2260.0,2278.0,2431.0,2184.0,2335.0,22665.0,23096.0,23027.0,22853.0,22842.0,228859.0,228706.0,228353.0,228510.0
Oleispira,188907.0,14.0,21.0,13.0,18.0,26.0,180.0,173.0,161.0,156.0,169.0,1695.0,1636.0,1664.0,1603.0,1697.0,16716.0,16749.0,16892.0,16566.0,16629.0,166940.0,167051.0,166890.0,166932.0
Sulfitobacter,60136.0,10.0,9.0,3.0,5.0,5.0,41.0,44.0,48.0,41.0,51.0,392.0,471.0,447.0,497.0,447.0,4477.0,4486.0,4488.0,4572.0,4555.0,45447.0,45244.0,45346.0,45318.0
Psychrosphaera,907197.0,10.0,7.0,2.0,6.0,3.0,55.0,80.0,76.0,69.0,65.0,709.0,647.0,652.0,704.0,692.0,6712.0,6770.0,6791.0,6776.0,6757.0,67206.0,67438.0,67159.0,67258.0
Polaribacter,52959.0,8.0,6.0,5.0,10.0,9.0,102.0,96.0,102.0,115.0,87.0,1095.0,1047.0,1015.0,1027.0,1051.0,10682.0,10565.0,10523.0,10622.0,10645.0,106141.0,106536.0,106195.0,105907.0
Glaciecola,89404.0,6.0,6.0,8.0,10.0,11.0,94.0,84.0,79.0,72.0,65.0,807.0,787.0,736.0,770.0,814.0,8117.0,7943.0,8011.0,8097.0,8153.0,80211.0,80406.0,80287.0,80390.0
Alteromonas,226.0,5.0,8.0,4.0,6.0,6.0,51.0,58.0,50.0,62.0,59.0,542.0,589.0,591.0,571.0,570.0,5660.0,5667.0,5609.0,5626.0,5736.0,56567.0,57017.0,56879.0,56709.0
Colwellia,28228.0,5.0,4.0,4.0,1.0,1.0,39.0,30.0,22.0,22.0,26.0,277.0,253.0,300.0,281.0,304.0,2865.0,2900.0,2886.0,2827.0,2796.0,28803.0,28613.0,28536.0,28379.0
Dokdonia,326319.0,5.0,4.0,5.0,2.0,2.0,46.0,48.0,46.0,37.0,43.0,505.0,491.0,447.0,451.0,492.0,4866.0,4905.0,4809.0,4781.0,4898.0,48571.0,48417.0,48427.0,48472.0
Shewanella,22.0,4.0,1.0,2.0,4.0,1.0,18.0,19.0,19.0,16.0,15.0,182.0,168.0,174.0,171.0,174.0,1849.0,1822.0,1844.0,1782.0,1845.0,17991.0,17847.0,17840.0,18049.0
