Class,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
014H09-A-SD-P15,,,,,,,,,,,,,,,,,,,,2e-06,1.5e-06,1.2e-06,2.1e-06,1.4e-06,1.8e-06
028H05-P-BN-P5,,,,,,,,,,,,,,,,,,,,,4.2e-06,4.5e-06,3.8e-06,5.1e-06,5e-06
059A02-A-SD-P93,,,,,,,,,,,,,,,,,,,3e-06,,,7e-07,3e-07,4e-07,5e-07
11B-2,,,,,,,,,,,,,,,2e-05,5e-06,2e-06,,,,4.1e-06,4.2e-06,3.8e-06,3.5e-06,2.3e-06
19c-33,,,,,,,,,,,,,,,,,,4e-06,,9e-06,1.6e-06,4.5e-06,4.9e-06,4.7e-06,1e-06
20a-9,,,,,,,,,,,,,,,,2e-06,,2e-06,2e-06,,4e-06,4.5e-06,2.7e-06,4.6e-06,4.7e-06
ABY1,,,,,,,,,,,,,,,,,,,,,8e-07,3e-07,,7e-07,
AEGEAN-245,,,,,,,,,,,,,,,,,,,,,,9e-07,,1.2e-06,2e-07
AK31,,,,,,,,,,,,,,,,,,2e-06,2e-06,3e-06,5e-06,6e-06,5.5e-06,5.1e-06,4.8e-06
AK59,,,,,,,,,,,,,,,,2e-06,2e-06,,2e-06,,4.2e-06,3.7e-06,3.9e-06,3e-06,3e-06
AKAU4049,,,,,,,,,,,,,,,,,,,,4e-06,,,,,
ARKICE-90,,,,,,,,,,,,,,,,1.8e-05,1.3e-05,1.1e-05,1.9e-05,1.2e-05,1.34e-05,1.45e-05,1.45e-05,1.39e-05,1.56e-05
AT-s3-28,,,,,,,,,,,,,,,,6e-06,,,,7e-06,3.1e-06,3.1e-06,2.9e-06,2.6e-06,2.9e-06
Abditibacteria,,,,,,,,,,,,,,,,,4e-06,,,,8e-07,9e-07,,4e-07,5e-07
Abditibacteriia,,,,,,,,,,,,,,,,3e-06,,3e-06,3e-06,,1.9e-06,1.8e-06,2.6e-06,2.1e-06,2.4e-06
Acantharea,,,,,,,,,,,,,,,,,,,,,,2e-07,,5e-07,
Acanthocystidae,,,,,,0.0005,0.0008,,,,0.00023,0.00024,0.00025,0.00025,0.00032,0.000249,0.000252,0.000268,0.000233,0.000237,0.0002458,0.0002475,0.0002469,0.0002514,0.0002506
Acanthoecida,,,,,,,,,,,,,,,,,,,,,,4e-07,,,2e-07
Acidimicrobiia,,,,,,,0.0003,,,,0.00083,0.00085,0.00071,0.001,0.00048,0.000921,0.00098,0.000984,0.000985,0.000954,0.0009084,0.000901,0.0009033,0.0009177,0.0008995
Acidobacteria,,,,,,,,,,,,,,,4e-05,4e-05,7e-05,3.2e-05,2.5e-05,6.5e-05,5.83e-05,6.13e-05,6.04e-05,7.37e-05,6.56e-05
Acidobacteriae,,,,,,,,,,,,,,,,1e-05,1e-05,1.4e-05,,8e-06,1.03e-05,1.06e-05,1.07e-05,1.16e-05,1.13e-05
Aconoidasida,0.007,,,,0.003,0.0025,0.0016,0.0021,0.0019,0.0027,0.00277,0.00281,0.00307,0.0029,0.00284,0.002966,0.00288,0.002832,0.002994,0.002941,0.0028648,0.0028708,0.0028862,0.0028979,0.0028513
Actinobacteria,0.005,,,0.004,,0.0017,0.0015,0.0013,0.001,0.0028,0.0017,0.00162,0.00213,0.00202,0.00175,0.002018,0.002046,0.001908,0.001799,0.001938,0.0023409,0.0022451,0.0023446,0.0023813,0.0023926
Actinomycetes,,,,,0.005,0.0026,0.0019,0.0021,0.0018,0.0018,0.00178,0.00144,0.00167,0.00172,0.00172,0.001489,0.001405,0.001413,0.001531,0.0014,0.0015649,0.0015319,0.001365,0.0015275,0.0013916
Actinopteri,,,,,,,0.0002,,,,0.00017,0.00022,0.00018,0.00013,8e-05,0.000325,0.000211,0.000297,0.000318,0.000284,0.0003246,0.0003246,0.0003489,0.0003334,0.0003368
Actinopterygii,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,2e-07,3e-07
Aenigmarchaeota Unknown Order,,,,,,,,,0.0006,,0.00079,0.00097,0.00104,0.00084,0.00081,0.001035,0.000861,0.000941,0.000975,0.000863,0.0009603,0.0009531,0.0009579,0.0009782,0.0009766
Agaricomycetes,,,,,,,,,,,0.00025,5e-05,9e-05,0.00024,0.00037,0.000384,0.000442,0.000415,0.000396,0.000492,0.0004198,0.0004242,0.0004341,0.0004409,0.0004371
Agaricomycotina,,,,,,,,,,,,,,,,1.9e-05,1.1e-05,1e-05,1.3e-05,1.1e-05,3.61e-05,3.85e-05,3.77e-05,3.71e-05,3.73e-05
Agaricostilbomycetes,,,,,,,,,,,,,,,,,,,,,1.5e-06,7e-07,7e-07,1.6e-06,1.1e-06
Aigarchaeota Unknown Order,,,,,,,,,,,,,,,,,,3e-06,,,3.1e-06,3.1e-06,3.6e-06,3.5e-06,3.7e-06
Alloascoideomycetes,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Alphaproteobacteria,0.019,0.023,0.022,0.037,0.017,0.0389,0.0314,0.0335,0.0407,0.0319,0.03498,0.03505,0.03382,0.03314,0.03544,0.034091,0.034073,0.034248,0.034103,0.033816,0.0341375,0.0340602,0.0342063,0.034081,0.0341049
Alveolata,0.067,0.047,0.067,0.041,0.069,0.0446,0.0474,0.0504,0.0451,0.0523,0.04816,0.04865,0.0493,0.04812,0.04888,0.049031,0.048847,0.048678,0.049317,0.049046,0.0492562,0.0492711,0.0491471,0.0490256,0.0491647
