Family,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
01D2Z36,,,,,,,,,,,,,0.00032,5e-05,0.00025,0.000102,0.000126,0.000152,3e-05,0.000127,0.0001116,0.0001091,7.27e-05,7.39e-05,0.0001131
028H05-P-BN-P5,,,,,,,,,,,,,,,,,,,,,3.1e-06,3.3e-06,2.5e-06,3.1e-06,3.5e-06
0319-6A21,,,,,,,,,,,,,,,,,5e-06,2e-06,3e-06,,2.6e-06,4.4e-06,3.7e-06,5.2e-06,5.5e-06
0319-6G20,,,,,,,,,,,,,,,,,,,2e-06,,5.8e-06,8.4e-06,7.4e-06,7.8e-06,7.1e-06
0319-6M6,,,,,,,,,,,,,,,,4e-06,1.2e-05,7e-06,7e-06,,6.7e-06,5.8e-06,5.6e-06,7.9e-06,6.6e-06
053A03-B-DI-P58,,,,,,,,,,,,,,,,,,,,,,,,3e-07,
08D2Z94 hypersaline microbial mat group,,,,,,,,,,,,,,,2e-05,2e-06,6e-06,3e-06,4e-06,3e-06,6.9e-06,6.8e-06,7.8e-06,9e-06,6.5e-06
09D2Z46,,,,,,,,,,,,,,,,6e-06,3e-06,,4e-06,6e-06,4.4e-06,3.7e-06,5.1e-06,3.8e-06,4.1e-06
09D2Z48,,,,,,,,,,,,,,,,,,,,,2.1e-06,1.7e-06,1.1e-06,1.8e-06,2.2e-06
1174-901-12,,,,,,,,,,,,,,,,1.3e-05,1.4e-05,,1.5e-05,1.6e-05,1e-05,1.08e-05,1.01e-05,9.2e-06,1.03e-05
1921-2,,,,,,,,,,,,,,,,,,2e-06,,,4e-07,6e-07,7e-07,6e-07,8e-07
1G93,,,,,,,,,,,,,,,,,,,,,,,8e-07,,
20c-4,,,,,,,,,,,,,,,,,,4e-06,,,2.8e-06,1.7e-06,3e-06,1.6e-06,3.4e-06
288-2,,,,,,,,,,,,,,,,,,,,,2.9e-06,2.4e-06,2.2e-06,1.7e-06,2.8e-06
37-13,,,,,,,,,,,,,,,,,,,,,1.1e-06,3e-07,3e-07,1.1e-06,1.3e-06
4572-13,,,,,,,,,,,,,,,,,,,,,1.9e-06,2.3e-06,2.3e-06,2.2e-06,2.2e-06
67-14,,,,,,,,,,,,,,,,3.3e-05,4.2e-05,5.4e-05,2.9e-05,4.1e-05,2.48e-05,2.45e-05,2.43e-05,2.6e-05,2.49e-05
7-2.3,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
7-5.4,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
7B-8,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,3e-07,4e-07,3e-07
A0839,,,,,,,,,,,,,,,,2e-06,,2e-06,6e-06,,1.8e-06,1.9e-06,2.4e-06,2.5e-06,2.4e-06
A10,,,,,,,,,,,,,,,,1.7e-05,1.5e-05,1.6e-05,,,8.1e-06,6.9e-06,7.1e-06,7.3e-06,6.8e-06
A4b,,,,,,,,,,,,,,,,5e-06,8e-06,,,8e-06,6.6e-06,6.8e-06,7.2e-06,6.8e-06,6.8e-06
AB-539-J10,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
AB1,,,,,,0.0005,,,,,,7e-05,,,9e-05,8.1e-05,8e-05,7.9e-05,7.2e-05,7e-05,7.5e-05,7.71e-05,7.39e-05,7.26e-05,7.5e-05
AB3F14RJ3E10,,,,0.006,0.005,0.0008,0.0012,0.0008,0.0014,0.0017,0.00105,0.00109,0.00108,0.001,0.00113,0.000963,0.001021,0.001012,0.000929,0.00102,0.0009977,0.0009955,0.0009955,0.0010101,0.0010029
ABS-19,,,,,,,,,,,,,,,,2e-06,,,2e-06,,2.5e-06,8.2e-06,3.4e-06,2.3e-06,2.4e-06
ADurb.Bin180,,,,,,,,,,,,,,,,,,,,,6e-07,9e-07,1.5e-06,1.2e-06,1.3e-06
AEGEAN-169 marine group,,,,,,,0.0002,,,,0.0001,0.00016,0.00013,8e-05,0.00018,0.000121,0.000122,0.000118,0.000133,0.000157,0.0001342,0.0001325,0.0001351,0.0001357,0.0001355
AI5F15RM1E10,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
AKAU3564 sediment group,,,,,,,,,,,,,,,,1.5e-05,1.6e-05,6e-06,1.3e-05,1.7e-05,1.32e-05,1.39e-05,1.26e-05,1.28e-05,1.4e-05
AKAU3644,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
AKIW781,,,,,,,,,,,,,,,,3e-06,,,3e-06,,1.4e-06,1.7e-06,1.6e-06,1.1e-06,1.4e-06
AKYG1722,,,,,,,,,,,,,,,,3e-06,,,7e-06,,1.4e-06,1.5e-06,9e-07,1.6e-06,1e-06
AKYH767,,,,,,,,,,,,,,,,,1.1e-05,,1.6e-05,,7.1e-06,7.6e-06,7e-06,7.3e-06,7.1e-06
