Genus,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
01D2Z36,,,,,,,,,,,,,,,,,,,,,4e-07,,,5e-07,
028H05-P-BN-P5,,,,,,,,,,,,,,,,,,,,,3.1e-06,3.3e-06,2.5e-06,3.1e-06,3.5e-06
0319-6G20,,,,,,,,,,,,,,,,,,,,,1.3e-06,1.8e-06,1.2e-06,1.9e-06,1.2e-06
1174-901-12,,,,,,,,,,,,,,,,8e-06,8e-06,8e-06,1.1e-05,7e-06,9.3e-06,9.4e-06,9.1e-06,1.03e-05,1e-05
24-Nov,,,,,,,,,,,,,,,,,,,,,2.3e-06,2.2e-06,1.9e-06,1.9e-06,2.5e-06
283ZH07,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,4e-07,,3e-07
37-13,,,,,,,,,,,,,,,,,,,,,1.1e-06,3e-07,3e-07,1.1e-06,1.3e-06
4572-13,,,,,,,,,,,,,,,,,,,,,1.9e-06,2.3e-06,2.3e-06,2.2e-06,2.2e-06
67-14,,,,,,,,,,,,,,,,3.3e-05,4.2e-05,5.4e-05,2.9e-05,4.1e-05,2.48e-05,2.45e-05,2.43e-05,2.6e-05,2.49e-05
A0839,,,,,,,,,,,,,,,,,,,,,,,,7e-07,6e-07
A31,,,,,,,,,,,4e-05,,,,,1.3e-05,1.8e-05,2.6e-05,2.1e-05,2.2e-05,1.62e-05,1.52e-05,1.54e-05,1.52e-05,1.48e-05
A4b,,,,,,,,,,,,,,,,5e-06,8e-06,,,8e-06,6.6e-06,6.8e-06,7.2e-06,6.8e-06,6.8e-06
AB-539-J10,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
AB1,,,,,,0.0005,,,,,,7e-05,,,9e-05,8.1e-05,8e-05,7.9e-05,7.2e-05,7e-05,7.5e-05,7.71e-05,7.39e-05,7.26e-05,7.5e-05
ADurb.Bin118,,,,,,,,,,,,,,,,,,,,,,,,,1.5e-06
ADurb.Bin180,,,,,,,,,,,,,,,,,,,,,6e-07,9e-07,1.5e-06,1.2e-06,1.3e-06
AEGEAN-169,,,,,,,0.0002,,,0.0004,0.00021,0.00033,0.0003,0.00022,0.00018,0.000245,0.000265,0.000256,0.000287,0.000297,0.0002721,0.0002716,0.0002691,0.000271,0.0002679
AKAU3564,,,,,,,,,,,,,,,,8e-06,1e-05,6e-06,1.3e-05,1e-05,7.6e-06,8.1e-06,6.7e-06,7.5e-06,7.4e-06
AKYG1722,,,,,,,,,,,,,,,,3e-06,,,7e-06,,1.4e-06,1.5e-06,9e-07,1.6e-06,1e-06
AKYG587,,,,,,,,,,,,,,,,,2e-06,,,,4e-07,6e-07,4e-07,2e-07,
AKYH767,,,,,,,,,,,,,,,,,1.1e-05,,1.6e-05,,5e-06,5.8e-06,5.8e-06,5.3e-06,5.5e-06
ANME-3,,,,,,,,,,,,,,,,,,,,,8e-07,9e-07,7e-07,4e-07,4e-07
AT-s16,,,,,,,,,,,,,,,,,,,,6e-06,1.8e-06,1.8e-06,2.3e-06,1.4e-06,2.7e-06
AT-s3-28,,,,,,,,,,,,,,,,6e-06,,,,7e-06,2.5e-06,2.2e-06,2.3e-06,1.7e-06,2.4e-06
Aaaba,,,,,,,,,,,,,,,,,,,,,4e-07,7e-07,6e-07,4e-07,5e-07
Abditibacterium,,,,,,,,,,,,,,,,3e-06,4e-06,3e-06,3e-06,,2.7e-06,2.7e-06,2.6e-06,2.5e-06,2.9e-06
Abedinium,,,,,,,,,,,,,,,,,,,,,1.1e-06,1.3e-06,1.9e-06,1.6e-06,1.3e-06
Abiotrophia,,,,,,,,,,,,,,,,,,,,,1.8e-06,1.5e-06,1.1e-06,1e-06,1.6e-06
Abraeus,,,,,,,,,,,,,,,,,,,,,8e-07,7e-07,3e-07,5e-07,7e-07
Abraliopsis,,,,,,,,,,,,,,,,,,,,,,,,6e-07,1e-06
Absconditabacteriales,,,,,,,,,,,,,2e-05,,7e-05,3.3e-05,3e-05,3.6e-05,3.2e-05,3.2e-05,3.24e-05,3.47e-05,3.59e-05,3.39e-05,3.36e-05
Acanthamoeba,,,,,,,,,,,,,,,,,,,,,1e-06,1.5e-06,1.2e-06,8e-07,1.2e-06
Acantharea,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,3e-07,8e-07,5e-07
Acanthella,,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,3e-07
Acanthiella,,,,,,,,,,,0.00015,0.00011,7e-05,6e-05,0.0001,9.4e-05,9.7e-05,0.000108,0.000103,0.0001,0.0001005,0.0001027,9.86e-05,0.0001016,0.0001002
Acanthiops,,,,,,,,,,,,,,0.00012,,,2.1e-05,9.9e-05,1.2e-05,,7.2e-06,3.8e-05,3.88e-05,3.5e-06,0.000104
Acanthocasuarina,,,,,,,,,,,,,,,,,,,,,1.9e-06,1.4e-06,2.1e-06,2e-06,1.8e-06
Acanthoceras,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Acanthodasys,,,,,,,,,,,,,,,,,,,,,,,1e-06,,
Acanthometra,,,,,,,,,,,,,,,,,,,,,,2e-07,,5e-07,
Acanthopleuribacter,,,,,,,,,,,,,,2e-05,,6.9e-05,,,,2.4e-05,5.48e-05,7.23e-05,5.31e-05,7.56e-05,7.29e-05
Acari,,0.014,,,0.007,0.0041,0.0043,0.0047,0.0039,0.0029,0.00403,0.00379,0.004,0.00367,0.00386,0.004017,0.004045,0.003906,0.004056,0.004121,0.0040182,0.0040275,0.004016,0.0040095,0.0040169
Acartia,,,,,,,,,,,,,,,,,,,,,2e-07,9e-07,2e-07,,
Acerophagus,,,,,,,,,,,2e-05,,,,4e-05,2.5e-05,2.2e-05,1.8e-05,1.1e-05,1.9e-05,1.68e-05,1.93e-05,1.64e-05,1.85e-05,1.9e-05
Acetatifactor,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,2e-07,
Acetitomaculum,,,,,,,,,,,,,,,,2e-06,2e-06,,,,2.1e-06,1.7e-06,1.9e-06,2.6e-06,2.6e-06
Acetoanaerobium,,,,,,,,,,,,,,,,,,2e-06,,,2.7e-06,2.1e-06,4e-06,4.6e-06,2.7e-06
Acetobacter,,,,,,,,,,,,,,,,,,,,,5e-06,3.9e-06,4.1e-06,4.9e-06,4.2e-06
Acetobacterium,,,,,,,,,,,,,,,,,,,,,1.3e-06,1.2e-06,1.4e-06,1.4e-06,1.1e-06
Acholeplasma,,,,,,,,,,,9e-05,9e-05,7e-05,9e-05,7e-05,5.3e-05,5.8e-05,9.4e-05,6.8e-05,7.2e-05,7.55e-05,7.82e-05,8.09e-05,8.28e-05,8.14e-05
Achromobacter,,,,,,,,,,,,,3e-05,,,4.5e-05,4.8e-05,3.3e-05,4e-05,4e-05,3.71e-05,3.4e-05,3.51e-05,3.66e-05,3.77e-05
