Order,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
028H05-P-BN-P5,,,,,,,,,,,,,,,,,,,,,3.1e-06,3.3e-06,2.5e-06,3.1e-06,3.5e-06
0319-6G20,,,,,,,,,,,,,,,,,,,,,1.3e-06,1.8e-06,1.2e-06,1.9e-06,1.2e-06
062DZ93 hypersaline microbial mat group,,,,,,,,,,,,,,,,3e-06,,2e-06,,,1.4e-06,1.1e-06,9e-07,6e-07,1.2e-06
070125-BRIC7-5,,,,,,,,,,,,,,,,,,2e-06,,,8e-07,1.1e-06,6e-07,5e-07,6e-07
1/21/4136,,,,,,,,,,,3e-05,,,,,3e-06,,,4e-06,5e-06,6.1e-06,6.6e-06,5.2e-06,6.4e-06,6e-06
4-Org1-14,,,,,,,,,,,,,,,,,,,,,6e-07,6e-07,3e-07,6e-07,6e-07
43F-1404R,,,,,,,,,,,,,,,,,,,,,5e-07,,8e-07,,
AA5F1,,,,,,,,,,,,,,,,,,,,,,,3e-07,,
ADurb.Bin180,,,,,,,,,,,,,,,,,,,,,6e-07,9e-07,1.5e-06,1.2e-06,1.3e-06
AK4AB2-03B,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,3e-07,
AK5,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07,2e-07,
AKYG1722,,,,,,,,,,,,,,,,,,,3e-06,,2.5e-06,2.1e-06,1.5e-06,2e-06,1.6e-06
ANME-1,,,,,,,,,,,,,,,,,,,,,1.2e-06,1.2e-06,6e-07,1.6e-06,1.2e-06
AT-s16,,,,,,,,,,,,,,,,,,,,6e-06,1.8e-06,1.8e-06,2.3e-06,1.4e-06,2.7e-06
AT-s3-28,,,,,,,,,,,,,,,,6e-06,,,,7e-06,2.5e-06,2.2e-06,2.3e-06,1.7e-06,2.4e-06
Abditibacteriales,,,,,,,,,,,,,,,,3e-06,4e-06,3e-06,3e-06,,2.7e-06,2.7e-06,2.6e-06,2.5e-06,2.9e-06
Abeoformidae,,,,,,,,,,,,,,,,6e-06,9e-06,8e-06,1e-05,1.1e-05,1.27e-05,1.23e-05,1.2e-05,1e-05,1.08e-05
Absconditabacteriales (SR1),,,,,,,,,,,,,2e-05,,7e-05,3.3e-05,3e-05,3.6e-05,3.2e-05,3.2e-05,3.24e-05,3.47e-05,3.59e-05,3.39e-05,3.36e-05
Acanthoecidae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Acanthopleuribacterales,,,,,,,,,,,,,,2e-05,,6.9e-05,,,,2.4e-05,5.48e-05,7.23e-05,5.31e-05,7.56e-05,7.29e-05
Acari,,0.014,,,0.007,0.0041,0.0043,0.0047,0.0039,0.0029,0.00403,0.00379,0.004,0.00367,0.00386,0.003998,0.004037,0.003893,0.00404,0.004109,0.0039926,0.0040018,0.0039908,0.0039849,0.0039905
Acetobacterales,,,,,,,,,,,,,,,,1.3e-05,,1.9e-05,1.8e-05,2.3e-05,1.89e-05,1.55e-05,1.56e-05,1.88e-05,1.87e-05
