Phylum,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
AC1,,,,,,,,,,,,,,,,3e-06,,,,,9e-07,1.9e-06,2.1e-06,1.4e-06,2.4e-06
AK8,,,,,,,,,,,,,,,,,,,,,7e-07,1e-06,7e-07,1e-06,7e-07
Abditibacteriota,,,,,,,,,,,,,,,,3e-06,4e-06,3e-06,3e-06,,2.7e-06,2.7e-06,2.6e-06,2.5e-06,2.9e-06
Acanthocephala,,,,,,,,,,,,,5e-05,,,1.4e-05,2.3e-05,1.1e-05,1.6e-05,,1.78e-05,1.92e-05,1.67e-05,1.67e-05,1.66e-05
Acetothermia,,,,,,,,,,,,,,,,,,,,7e-06,5.4e-06,7.1e-06,5.2e-06,5.3e-06,6e-06
Acidobacteria,,,,,,,,,,,0.00031,0.00012,0.00011,7e-05,0.00016,0.000314,0.000268,0.000311,0.000241,0.000397,0.0004901,0.0004934,0.000481,0.0005162,0.0004818
Acidobacteriota,,,,,,,,,,,6e-05,,,9e-05,,0.000165,0.00013,0.000153,0.000162,0.000162,0.0001552,0.0001571,0.000152,0.000161,0.0001593
Actinobacteria,0.005,,,0.004,,0.0017,0.0018,0.0065,0.001,0.0019,0.0033,0.00174,0.00633,0.00498,0.00543,0.003925,0.004462,0.004313,0.004255,0.003514,0.0036229,0.0035419,0.0035871,0.0037029,0.0036906
Actinobacteriota,,,,,,,,,,0.0009,0.00028,0.00036,0.00031,0.00039,0.00029,0.000361,0.000363,0.000304,0.000336,0.00032,0.0003174,0.0003169,0.0003139,0.0003208,0.0003252
Actinomycetota,,,,,0.005,0.0026,0.0019,0.0021,0.0018,0.0018,0.00223,0.00181,0.00207,0.00211,0.00204,0.001893,0.001834,0.001852,0.001965,0.001806,0.001964,0.0019311,0.0017645,0.0019339,0.0017956
