Species,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Aaaba fossicollis,,,,,,,,,,,,,,,,,,,,,4e-07,7e-07,6e-07,4e-07,5e-07
Abraeus globosus,,,,,,,,,,,,,,,,,,,,,8e-07,7e-07,3e-07,5e-07,7e-07
Abraliopsis sp.,,,,,,,,,,,,,,,,,,,,,,,,6e-07,1e-06
Acanthamoeba divionensis   ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Acanthamoeba jacobsi   ,,,,,,,,,,,,,,,,,,,,,,,4e-07,,
Acanthamoeba sp. EI6  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Acanthamoeba sp. PN15  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Acanthamoeba sp. Sar48  ,,,,,,,,,,,,,,,,,,,,,6e-07,5e-07,4e-07,,4e-07
Acanthamoeba stevensoni,,,,,,,,,,,,,,,,,,,,,,,,,8e-07
Acanthella sp. NTM Z4461,,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,3e-07
Acanthiella sp. CEL-2014,,,,,,,,,,,0.00015,0.00011,7e-05,6e-05,0.0001,9.4e-05,9.7e-05,0.000108,0.000103,0.0001,0.0001005,0.0001027,9.86e-05,0.0001016,0.0001002
Acanthiops varius,,,,,,,,,,,,,,0.00012,,,2.1e-05,9.9e-05,1.2e-05,,7.2e-06,3.8e-05,3.88e-05,3.5e-06,0.000104
Acanthocasuarina muellerianae,,,,,,,,,,,,,,,,,,,,,1.9e-06,1.4e-06,2.1e-06,2e-06,1.8e-06
Acanthoceras sp. 6vii09-1A,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Acanthodasys sp. A KG-2011,,,,,,,,,,,,,,,,,,,,,,,1e-06,,
Acanthometra fusca,,,,,,,,,,,,,,,,,,,,,,2e-07,,5e-07,
Acanthopleuribacter pedis,,,,,,,,,,,,,,,,,,,,,,,,4e-07,
Acartia bifilosa,,,,,,,,,,,,,,,,,,,,,2e-07,9e-07,2e-07,,
Acerentomon sp. AD-2013  ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,
Acerophagus sp. D0585,,,,,,,,,,,2e-05,,,,4e-05,2.5e-05,2.2e-05,1.8e-05,1.1e-05,1.9e-05,1.68e-05,1.93e-05,1.64e-05,1.85e-05,1.9e-05
Acervus changchunensis  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Acetivibrio sp. 6-13 ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Acetobacter sp. PG-2009  ,,,,,,,,,,,,,,,,,,,,,4e-07,,,,4e-07
Acetobacter syzygii   ,,,,,,,,,,,,,,,,,,,,,4.4e-06,3.7e-06,3.9e-06,4.7e-06,3.6e-06
Acetobacteraceae bacterium L1B37  ,,,,,,,,,,,,,,,,,,,,,9e-07,8e-07,2e-07,9e-07,7e-07
Acharax sp. A1-Java ,,,,,,,,,,,,,,,,,4e-06,,3e-06,4e-06,3.9e-06,4.3e-06,4e-06,4.1e-06,3.6e-06
Achipteria coleoptrata   ,,,,,,,,,,,,,,,,,,,,,5e-07,,6e-07,,3e-07
Acholeplasma palmae   ,,,,,,,,,,,,,,,,,,2e-06,,,3e-07,3e-07,4e-07,4e-07,7e-07
Acholeplasma sp. CODA 1G ,,,,,,,,,,,,,,,,,,2.3e-05,,,1.07e-05,1.12e-05,1.04e-05,1.06e-05,1.11e-05
Acholeplasmatales bacterium canine oral taxon,,,,,,,,,,,,,,,,,,,2e-06,,,2e-07,,2e-07,
Achromobacter sp. ACH01  ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Achromobacter sp. AM-H14  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07,2e-07,
Achromobacter sp. RL2c  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Achromobacter sp. Root565,,,,,,,,,,,,,,,,,,,,,2e-06,1.4e-06,2.2e-06,1.6e-06,2.3e-06
Achromobacter xylosoxidans subsp. xylosoxidans ,,,,,,,,,,,,,,,,,,,,,4e-07,6e-07,,2e-07,5e-07
Acidianus brierleyi   ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Acidianus manzaensis   ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Acidianus sp. BT  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Acidianus sp. SYK-ESO-2  ,,,,,,,,,,,,,,,,,3e-06,,,,6e-07,9e-07,5e-07,1e-06,
Acidihalobacter ferrooxidans   ,,,,,,,,,,,,,,,,6e-06,,,,7e-06,5.6e-06,4.8e-06,5e-06,4.4e-06,5e-06
Acidilobus saccharovorans,,,,,,,,,,,,,,,,,,,2e-06,,8e-07,1.3e-06,1.1e-06,4e-07,1.1e-06
Acidithiobacillus cuprithermicus   ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,2e-07
Acidithiobacillus ferrooxidans   ,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,2e-07,3e-07,3e-07
Acidovorax defluvii   ,,,,,,,,,,,,,,,,,,,,,3e-07,,,,
Acidovorax sp. 265ZY7  ,,,,,,,,,,,,,,,,,,,,,6e-07,5e-07,8e-07,3e-07,7e-07
Acidovorax sp. 2FB4  ,,,,,,,,,,,,,,,,,,,,,1.1e-06,1.2e-06,9e-07,7e-07,1.3e-06
Acidovorax sp. Antarctic IS08 ,,,,,,,,,,,,,,,,,2e-06,,,,1.5e-06,1.6e-06,1.7e-06,1.6e-06,1.5e-06
Acineta flava,,,,,,,,,,,,,,,,,5e-06,,2e-06,,1.8e-06,2.4e-06,1.6e-06,1.1e-06,1.5e-06
Acineta sp. OSW-2003-1,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
