,taxon_id,1K_1-phylum,1K_2-phylum,1K_3-phylum,1K_4-phylum,1K_5-phylum,10K_1-phylum,10K_2-phylum,10K_3-phylum,10K_4-phylum,10K_5-phylum,100K_1-phylum,100K_2-phylum,100K_3-phylum,100K_4-phylum,100K_5-phylum,1M_1-phylum,1M_2-phylum,1M_3-phylum,1M_4-phylum,1M_5-phylum,10M_1-phylum,10M_3-phylum,10M_4-phylum,10M_5-phylum
Proteobacteria,1224.0,232.0,247.0,226.0,242.0,234.0,2425.0,2431.0,2432.0,2306.0,2401.0,24127.0,23965.0,24162.0,23875.0,24258.0,240336.0,240702.0,240641.0,240766.0,240535.0,2403999.0,2407029.0,2404086.0,2406351.0
Bacteroidetes,976.0,83.0,82.0,71.0,77.0,64.0,842.0,784.0,841.0,849.0,811.0,8676.0,8481.0,8255.0,8301.0,8278.0,83859.0,83448.0,83759.0,83745.0,83483.0,838541.0,838069.0,838774.0,838247.0
Bacillariophyta,2836.0,10.0,21.0,20.0,18.0,18.0,161.0,181.0,172.0,184.0,182.0,1650.0,1713.0,1713.0,1713.0,1707.0,16997.0,16914.0,16842.0,16673.0,16722.0,168539.0,168407.0,168359.0,168267.0
Actinobacteria,201174.0,5.0,6.0,6.0,7.0,6.0,67.0,77.0,76.0,62.0,85.0,749.0,770.0,770.0,725.0,794.0,7422.0,7578.0,7639.0,7495.0,7480.0,74514.0,74510.0,74744.0,74532.0
Chlorophyta,3041.0,4.0,5.0,2.0,1.0,0.0,38.0,17.0,35.0,31.0,25.0,288.0,297.0,320.0,300.0,298.0,2990.0,3041.0,3043.0,3029.0,3066.0,30121.0,30049.0,29910.0,29893.0
Chloroflexi,200795.0,4.0,1.0,2.0,0.0,2.0,12.0,14.0,14.0,11.0,11.0,111.0,113.0,109.0,104.0,109.0,1136.0,1050.0,1100.0,1068.0,1137.0,11296.0,11247.0,11211.0,11129.0
Verrucomicrobia,74201.0,3.0,5.0,4.0,4.0,12.0,43.0,54.0,59.0,53.0,50.0,505.0,515.0,528.0,565.0,522.0,5286.0,5336.0,5287.0,5230.0,5460.0,52959.0,53013.0,53070.0,53139.0
Planctomycetes,203682.0,3.0,7.0,8.0,2.0,7.0,57.0,52.0,38.0,54.0,52.0,545.0,517.0,550.0,544.0,558.0,5409.0,5328.0,5199.0,5334.0,5270.0,53132.0,53199.0,52862.0,53089.0
Cyanobacteria,1117.0,2.0,1.0,0.0,3.0,0.0,15.0,19.0,12.0,29.0,21.0,157.0,162.0,147.0,175.0,180.0,1655.0,1639.0,1660.0,1592.0,1590.0,16335.0,16234.0,16279.0,16087.0
Gemmatimonadetes,142182.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,5.0,5.0,5.0,25.0,31.0,22.0,33.0,33.0,293.0,303.0,332.0,295.0,259.0,2915.0,2947.0,2964.0,2996.0
