,1K,10K,100K,1M,10M
Alteromonadales,0.0016431676725154924,0.0025544079548889586,0.001166734759917606,0.00023835834367607315,7.190082869249058e-05
Flavobacteriales,0.00286356421265527,0.0020181674856165925,0.0011895040983535938,0.00018608949459870182,4.108173762959173e-05
Rhodobacterales,0.006418722614352483,0.0021059439688652687,0.0005388599075826655,0.00010825340641291632,4.308328175367654e-05
Oceanospirillales,0.006503845016603639,0.002201590334281107,0.0005041527546289935,0.00019207420441069226,2.3493172767137843e-05
Sphingomonadales,0.002588435821108957,0.0010497618777608564,0.00035669314543455957,0.00011555647969715949,8.987166776390877e-06
Pelagibacterales,0.0017888543819998318,0.00041593268686170823,0.00038164119274522744,2.5304149857286353e-05,1.1130251569484076e-05
Hyphomicrobiales,0.002949576240750525,0.0006804410334481599,0.00023265854809140376,9.023026099929017e-05,3.77977071615035e-06
Vibrionales,0.002380476142847617,0.0004604345773288536,0.0001827566688249706,2.414539293529927e-05,7.372188729723856e-06
Saprospirales,0.0020736441353327723,0.00030495901363953817,0.00024783058729704855,5.198076567346805e-05,1.1193599361539826e-05
Burkholderiales,0.0019235384061671345,0.00045055521304275255,0.0002152440475367439,0.00011900756278489213,1.9247250885948888e-05
Moraxellales,0.0015811388300841897,0.0005477225575051662,0.00029180472922829743,4.617141973125799e-05,1.7772145809290072e-05
Thalassiosirales,0.00216794833886788,0.0005412947441089743,0.00022549944567559375,0.00010583572175782596,6.330876716537662e-06
Desulfobacterales,0.001,0.00043817804600413285,0.0001955249344712842,5.48333839918712e-05,1.600302054821723e-05
Cellvibrionales,0.00406201920231798,0.0003361547262794322,0.0001779606698121803,4.861275552774176e-05,2.5618531703957414e-05
Chromatiales,0.00151657508881031,0.0006140032573203499,0.00032936302160382235,8.34487866898014e-05,1.238261550185042e-05
Pirellulales,0.001224744871391589,0.00043243496620879303,5.263078946776305e-05,5.0880251571705187e-05,6.777167549943055e-06
Chlorellales,,5.000000000000002e-05,4.207136793592525e-05,1.3736811857195971e-05,1.4221462653328025e-06
Verrucomicrobiales,0.0019493588689617927,0.00037013511046643494,0.0002109976303184469,6.233618531799964e-05,3.3768821912131466e-06
Desulfuromonadales,,0.00025884358211089565,7.937253933193772e-05,1.8324846520503234e-05,3.4247870980057567e-06
Pseudomonadales,0.0005477225575051661,0.0005504543577809154,0.0001013410084812659,3.5990276464623e-05,5.011320517920696e-06
Micrococcales,0.0008944271909999159,0.00044384682042344285,0.00014906374475371273,3.544714374953214e-05,6.296559907335529e-06
Gemmatimonadales,,8.366600265340754e-05,3.84707681233427e-05,1.5915401345866215e-05,2.4005207768315514e-06
Chaetocerotales,0.00151657508881031,0.0004878524367060186,8.848728722251573e-05,2.2818851855428675e-05,7.777049569084633e-06
Cytophagales,0.0028635642126552704,0.0012794530081249563,0.0001246194206373948,8.402499628086866e-05,1.05452595985117e-05
Synechococcales,,0.0005263078946776308,9.099450532861857e-05,8.438009243891605e-06,4.854207796678384e-06
Mamiellales,0.001414213562373095,0.0005128352561983234,0.0001605615146914104,2.3649524308112453e-05,1.0242070103255584e-05
Bacillariales,0.0010954451150103322,0.0005099019513592785,0.0001461163919620246,3.6256033980566604e-05,7.234811676885616e-06
Naviculales,0.00303315017762062,0.0006426507605223852,9.628083921528736e-05,9.19630360525358e-05,1.1343830922576406e-05
Pelagomonadales,,,1e-05,5.449770637375486e-06,8.698658900466604e-07
Corynebacteriales,0.001414213562373095,0.00021908902300206645,7.22495674727538e-05,1.7598295371995553e-05,2.061350689879493e-06
Suessiales,0.00044721359549995795,0.00011547005383792513,3.646916505762095e-05,2.0029977533686847e-05,3.5279833710870316e-06
Enterobacterales,,0.0002949576240750526,2.509980079602229e-05,2.4386471659508254e-05,3.6353587626716434e-06
Cymbellales,,0.00012909944487358055,5.787918451395113e-05,8.167006795638166e-06,2.792848008753788e-06
Sphingobacteriales,,0.000396232255123179,7.648529270389175e-05,6.723094525588651e-06,8.417986695166482e-06
Caulobacterales,,0.00017320508075688773,1.7888543819998316e-05,1.3791301606447446e-05,2.1360009363293836e-06
Ktedonobacterales,,,5.773502691896259e-06,3.2863353450309967e-06,1.4142135623730896e-07
Nitrospinales,,,1.9235384061671346e-05,7.463243262818115e-06,9.110433579144289e-07
Ferrovales,,,5e-06,3.2093613071762422e-06,7.393691004272943e-07
Rhodothermales,0.0005773502691896257,0.00032093613071762424,5.167204273105527e-05,2.7955321496988705e-05,3.1712247896777626e-06
Cryptosporangiales,,,,2.509980079602227e-06,1.8257418583505517e-07
Hyphomonadales,,0.0002073644135332772,3.0495901363953808e-05,1.6115210206509873e-05,4.440251494378836e-06
Viruses,0.0011547005383792516,0.00021679483388678802,4.919349550499537e-05,5.0475736745489906e-05,7.03674877577234e-06
Streptomycetales,0.001414213562373095,0.00013416407864998739,3.535533905932739e-05,1.6471186963907625e-05,1.4198004554631496e-06
Rhodospirillales,0.0005773502691896258,0.00036742346141747673,0.00016703293088490067,3.966988782439396e-05,9.497368056467022e-06
Marinilabiliales,0.0007071067811865475,0.00022803508501982765,7.778174593052024e-05,2.1000000000000002e-05,3.2510254792398574e-06
Planctomycetales,,0.0002607680962081059,4.1231056256176575e-05,1.4404860290887927e-05,7.002083023405716e-06
Bacillales,0.0005773502691896257,0.000151657508881031,9.300537618869136e-05,2.504595775769015e-05,9.615048968500728e-06
Atractiellales,,,7.0710678118654756e-06,1.0954451150103323e-06,2.3804761428476164e-07
Aeromonadales,,7.071067811865474e-05,8.502940667792526e-05,1.5469324484281787e-05,1.7832554500127037e-06
Desulfovibrionales,,8.16496580927726e-05,2.880972058177587e-05,1.5404544783926592e-05,3.7986839826445093e-06
Acidithiobacillales,,,9.999999999999996e-06,1.0535653752852739e-05,2.048576741707927e-06
Triceratiales,,5.4772255750516614e-05,2.1679483388678803e-05,5.899152481501049e-06,1.5305227865013942e-06
Anaerolineales,,0.00013038404810405298,2.8809720581775863e-05,1.2541929676090513e-05,1.466003638012766e-06
Sporadotrichida,,7.071067811865475e-05,4.147288270665544e-05,1.768615277554731e-05,1.345052663157344e-06
Candidatus Actinomarinales,,,2.280350850198276e-05,4.658325879540844e-06,1.2446552400832402e-06
Arenicellales,,0.00023874672772626645,7.314369419163897e-05,1.8873261509341715e-05,4.269562819149834e-06
Emcibacterales,,,1.8165902124584947e-05,7.293833011524188e-06,1.417450763401209e-06
Isosphaerales,,,3.834057902536163e-05,7.021395872616784e-06,6.184658438426482e-07
Maricaulales,,0.0002280350850198276,0.00010382677881933927,1.2521980673998809e-05,3.4219877264537417e-06
Pseudanabaenales,,0.00019235384061671342,6.348228099241552e-05,2.1714050750608454e-05,2.0758532382291854e-06
Rickettsiales,0.0007071067811865475,0.00024494897427831784,6.797058187186571e-05,3.240061727807054e-05,6.54293512118218e-06
Bangiales,,,,1.9493588689617926e-06,4.5460605656619505e-07
Nitrosomonadales,0.0030550504633038936,0.0001643167672515499,3.535533905932741e-05,6.32826990574833e-05,7.391436486457408e-06
Acidimicrobiales,,0.000370135110466435,0.000153687995627505,3.488122704263714e-05,6.867010509190546e-06
Propionibacteriales,,0.00018165902124584948,6.204836822995429e-05,9.576011695899301e-06,5.788206400374225e-06
Hymenochaetales,,,,8.944271909999158e-07,3.3166247903553995e-07
