,Class,read count,relative error
0,Magnoliopsida,1000,0.07579688609962656
1,Rhizaria,1000,0.15010391350111332
2,Gammaproteobacteria,1000,0.06847434694697295
3,Alveolata,1000,0.22612623885033675
4,Flavobacteriia,1000,0.20395469946537384
5,Alphaproteobacteria,1000,0.33310583062768645
6,Arthropoda,1000,0.1810572873795776
7,Cyanobacteriia,1000,0.16524281523175724
8,Chloroplast,1000,0.1924665586646545
9,Conoidasida,1000,0.4214600316879091
10,Bacillariophyceae,1000,0.2872281323269014
11,uncultured bacterium   ,1000,0.40745015032515625
12,Rhabditophora,1000,0.6060915267313256
13,Nematoda,1000,0.12121830534626284
14,Chordata,1000,0.31922819482021797
15,Coscinodiscophyceae,1000,0.3849001794597467
16,Gastrotricha,1000,
17,Betaproteobacteria,1000,0.415945165403847
18,Litostomatea,1000,
19,Gnetopsida,1000,
20,Arachnida,1000,0.47140452079102857
21,Chromadorea,1000,0.176776695296625
22,LKM74,1000,0.31491832864887276
23,Chlorophyceae,1000,0.4714045207910267
24,Insecta,1000,
25,Dinophyceae,1000,0.21650635094610543
26,Aconoidasida,1000,0.5656854249492199
27,Pinopsida,1000,
28,Bacilli,1000,
29,Bacteroidia,1000,
30,Actinobacteria,1000,0.1571348402636667
31,Clostridia,1000,
32,Stramenopiles,1000,0.12856486930663638
33,Xenacoelomorpha,1000,
34,Actinomycetes,1000,
35,Coriobacteriia,1000,
36,Tremellomycetes,1000,
37,Cytophagia,1000,
38,Pichiomycetes,1000,
39,Deltaproteobacteria,1000,
40,Sphingobacteriia,1000,
41,Sordariomycetes,1000,
42,Methanomicrobia,1000,
43,Klebsormidiophyceae,1000,
44,Verrucomicrobiae,1000,
45,Saccharomycetes,1000,
46,Chloroplastida,1000,
47,Platyhelminthes,1000,
48,Methanobacteria,1000,
49,uncultured archaeon   ,1000,
50,Planctomycetacia,1000,
51,Zygnematophyceae,1000,
52,Verrucomicrobiia,1000,
53,Thermoplasmata,1000,
54,Aenigmarchaeota Unknown Order,1000,
55,Desulfuromonadia,1000,
56,Candidatus Collierbacteria,1000,
57,Eurotiomycetes,1000,
58,Planctomycetia,1000,
59,Acidimicrobiia,1000,
60,Desulfobulbia,1000,
61,Craspedida,1000,
62,Mediophyceae,1000,
63,Bacteroidetes Order II,1000,
64,Elardia,1000,
65,Desulfobacteria,1000,
66,Scyphozoa,1000,
67,Marine Benthic Group A,1000,
68,Fragilariophyceae,1000,
69,Euglenida,1000,
70,Amoeboaphelidium,1000,
71,Annelida,1000,
72,Kickxellales,1000,
73,Intramacronucleata,1000,
74,Discosea,1000,
75,Prymnesiophyceae,1000,
76,Karyorelictea,1000,
77,Acanthocystidae,1000,
78,Bigyra,1000,
79,Epsilonproteobacteria,1000,
80,uncultured Epsilonproteobacteria bacterium  ,1000,
81,Oligohymenophorea,1000,
82,Endogonomycetes,1000,
83,Gracilibacteria,1000,
84,Bacteriovoracia,1000,
85,Prostomatea,1000,
86,Diplonemea,1000,
87,Cryptophyceae,1000,
88,Kinetoplastea,1000,
89,OM190,1000,
90,Phycisphaerae,1000,
91,Agaricomycetes,1000,
92,Opitutae,1000,
93,Chytridiomycetes,1000,
94,Actinopteri,1000,
95,Entomophthoromycotina,1000,
96,Marine Group I,1000,
97,Anthocerotopsida,1000,
98,Choanoflagellata,1000,
99,Pezizomycotina,1000,
100,Polycystinea,1000,
101,Soil Crenarchaeotic Group(SCG),1000,
102,Thermoleophilia,1000,
103,Erysipelotrichia,1000,
104,Spirochaetes,1000,
105,Mollicutes,1000,
106,Cyanophyceae,1000,
107,Saprospiria,1000,
108,Halobacteria,1000,
109,Cyanobacteria,1000,
110,uncultured archaeon  ,1000,
111,Discoba,1000,
112,Proteobacteria Unknown Order,1000,
113,Hydrozoa,1000,
114,Phyllopharyngea,1000,
115,Rhodothermia,1000,
116,Anaerolineae,1000,
117,Spartobacteria,1000,
118,Chitinophagia,1000,
119,Malacostraca,1000,
120,Lentisphaeria,1000,
121,Cnidaria,1000,
122,Hexanauplia,1000,
123,LKM11,1000,
124,Fusobacteriia,1000,
125,Gemmatimonadetes,1000,
126,uncultured fungus  ,1000,
127,uncultured marine eukaryote  ,1000,
128,Chlamydiae,1000,
129,Leotiomycetes,1000,
130,Subgroup 6,1000,
131,Planctomycetes,1000,
132,Oligoflexia,1000,
133,Dothideomycetes,1000,
134,Babeliae,1000,
135,Solibacteres,1000,
136,Polyangia,1000,
137,Chlamydiia,1000,
138,uncultured microeukaryote   ,1000,
139,Pucciniomycotina,1000,
140,Nitrospira,1000,
141,WCHB1-41,1000,
142,Candidatus Levybacteria,1000,
143,Bacteroidetes VC2.1 Bac22,1000,
144,Melainabacteria,1000,
145,Blastocatellia,1000,
146,Candidatus Campbellbacteria,1000,
147,Thermoanaerobaculia,1000,
148,Spirotrichea,1000,
149,Caldilineae,1000,
150,Pyramimonadophyceae,1000,
151,Trebouxiophyceae,1000,
152,Branchiopoda,1000,
153,Ascetosporea,1000,
154,Sphagnopsida,1000,
155,Ascidiacea,1000,
156,OPB35 soil group,1000,
157,Rhodophyceae,1000,
158,BD2-11 terrestrial group,1000,
159,Syntrophobacteria,1000,
160,Acidobacteria,1000,
161,Parcubacteria,1000,
162,Myxozoa,1000,
163,Negativicutes,1000,
164,Ustilaginomycotina,1000,
165,Oligosphaeria,1000,
166,KD4-96,1000,
167,Nitrospiria,1000,
168,Holophagae,1000,
169,Caldisericia,1000,
170,Deinococci,1000,
171,Entorrhizomycetes,1000,
172,Deep Sea Euryarchaeotic Group(DSEG),1000,
173,Spirochaetia,1000,
174,Opitutia,1000,
175,BD7-11,1000,
176,Mammalia,1000,
177,Candidatus Saccharimonadia,1000,
178,Hydrogenedentia,1000,
179,Harpellomycetes,1000,
180,uncultured eukaryote  ,1000,
181,Pla4 lineage,1000,
182,Sva0485,1000,
183,Palaeacanthocephala,1000,
184,Thermoprotei,1000,
185,uncultured bacterium  ,1000,
186,Omnitrophica Unknown Order,1000,
187,Bacteroidetes Order III,1000,
188,Group C3,1000,
189,Bdellovibrionia,1000,
190,R76-B128,1000,
191,Kickxellomycetes,1000,
192,Ktedonobacteria,1000,
193,Pucciniomycetes,1000,
194,Balneolia,1000,
195,Colpodea,1000,
196,uncultured archaeon,1000,
197,Sericytochromatia,1000,
198,Gastropoda,1000,
199,uncultured candidate division SR1,1000,
200,PAUC43f marine benthic group,1000,
201,Lecanoromycetes,1000,
202,Mollusca,1000,
203,Chloroflexia,1000,
204,Endogonales,1000,
205,uncultured organism   ,1000,
206,Kiritimatiellia,1000,
207,Demospongiae,1000,
208,Lepidosauria,1000,
209,Imbricatea,1000,
210,Anthozoa,1000,
211,Amphibia,1000,
212,Candidatus Pacebacteria,1000,
213,Ulvophyceae,1000,
214,Dacrymycetes,1000,
215,Chlorodendrophyceae,1000,
216,Blastocladiomycetes,1000,
217,Agaricomycotina,1000,
218,Fibrobacteria,1000,
219,uncultured crenarchaeote   ,1000,
220,Bacteroidetes BD2-2,1000,
221,Polychaeta,1000,
222,WCHB1-32,1000,
223,Verrucomicrobia Unknown Order,1000,
224,Bryopsida,1000,
225,uncultured,1000,
226,Microbotryomycetes,1000,
227,Subgroup 22,1000,
228,Florideophyceae,1000,
229,SBXY-6786,1000,
230,NB1-j,1000,
231,Latescibacterota,1000,
232,Candidatus Shapirobacteria,1000,
233,Chitinivibrionia,1000,
234,vadinHA49,1000,
235,Parcubacteria group bacterium GW2011_GWA2_44_12 ,1000,
236,Bacteroidetes vadinHA17,1000,
237,Candidatus Falkowbacteria,1000,
238,Eurotatoria,1000,
239,Rubrobacteria,1000,
240,Bryozoa,1000,
241,OPB41,1000,
242,Terriglobia,1000,
243,Aquificae,1000,
244,ARKICE-90,1000,
245,Parcubacteria bacterium SCGC AAA010-E09 ,1000,
246,Calditrichia,1000,
247,Myxococcia,1000,
248,Subgroup 2,1000,
249,Candidatus Woesebacteria,1000,
250,Marinimicrobia (SAR406 clade),1000,
251,Subgroup 21,1000,
252,Thermotogae,1000,
253,11B-2,1000,
254,Ardenticatenia,1000,
255,Ministeriida,1000,
256,uncultured euryarchaeote   ,1000,
257,uncultured soil bacterium  ,1000,
258,Nanoarchaeia,1000,
259,Saccharomycotina,1000,
260,Kiritimatiellae,1000,
261,Ignavibacteria,1000,
262,Embryophyta,1000,
263,Candidatus Poseidoniia,1000,
264,Acidobacteriae,1000,
265,RCP2-54,1000,
266,Subgroup 26,1000,
267,FHMa11 terrestrial group,1000,
268,Brachiopoda,1000,
269,Eumycetozoa,1000,
270,Ichthyophonae,1000,
271,Dictyochophyceae,1000,
272,SAR324 clade(Marine group B),1000,
273,Pla3 lineage,1000,
274,Pedinophyceae,1000,
275,pItb-vmat-80,1000,
276,Variosea,1000,
277,Heterotrichea,1000,
278,Palaeonemertea,1000,
279,Metamonada,1000,
280,Vicinamibacteria,1000,
281,Synergistia,1000,
282,Deferrisomatia,1000,
283,Dadabacteriia,1000,
284,Thermomicrobia,1000,
285,Omnitrophia,1000,
286,Phytomyxea,1000,
287,Chlorobia,1000,
288,Polyplacophora,1000,
289,Ustilaginomycetes,1000,
290,Desulfovibrionia,1000,
291,Elusimicrobia,1000,
292,Gemmatimonadia,1000,
293,uncultured euryarchaeote  ,1000,
294,SB-5,1000,
295,Cephalopoda,1000,
296,LD1-PB3,1000,
297,Dehalococcoidia,1000,
298,Candidatus Roizmanbacteria,1000,
299,Longimicrobia,1000,
300,Gymnolaemata,1000,
301,Zetaproteobacteria,1000,
302,Entomophthoromycetes,1000,
303,Candidatus Beckwithbacteria,1000,
304,LD1-PA32,1000,
305,FGL7S,1000,
306,uncultured candidate division JS1 bacterium,1000,
307,S0134 terrestrial group,1000,
308,Nitrospinia,1000,
309,Nitriliruptoria,1000,
310,Nucleophaga,1000,
311,Bangiophyceae,1000,
312,19c-33,1000,
313,Raphidophyceae,1000,
314,bacterium enrichment culture clone,1000,
315,AT-s3-28,1000,
316,Terrestrial Hot Spring Gp(THSCG),1000,
317,Subgroup 17,1000,
318,Fimbriimonadia,1000,
319,Subgroup 15,1000,
320,Ichthyostraca,1000,
321,uncultured organism  ,1000,
322,Saccharimonadia,1000,
323,Pseudonosematidae,1000,
324,WCHA1-57,1000,
325,Monoblepharidomycetes,1000,
326,Defferrisomatia,1000,
327,Candidatus Azambacteria,1000,
328,Priapulimorpha,1000,
329,Dipodascomycetes,1000,
330,Plagiopylea,1000,
331,Limnochordia,1000,
332,Latescibacteria,1000,
333,AK31,1000,
334,uncultured euryarchaeote,1000,
335,Aphelidea,1000,
336,uncultured Microgenomates group bacterium ,1000,
337,Kazan-3A-21,1000,
338,Candidatus Giovannonibacteria,1000,
339,Ichthyosporea,1000,
340,SJA-15,1000,
341,uncultured Candidatus Saccharibacteria bacterium ,1000,
342,uncultured archaeon Arc.212  ,1000,
343,SPOTSOCT00m83,1000,
344,TK10,1000,
345,Deferribacteres,1000,
346,Aigarchaeota Unknown Order,1000,
347,marine sediment,1000,
348,SBR2076,1000,
349,Collembola,1000,
350,20a-9,1000,
351,Eutardigrada,1000,
352,Thaumarchaeota Unknown Order,1000,
353,Wallemiomycetes,1000,
354,ML635J-21,1000,
355,South African Gold Mine Gp,1000,
356,P1-31,1000,
357,AK59,1000,
358,uncultured bacterium ,1000,
359,MD2898-B26,1000,
360,uncultured archaeon ,1000,
361,marine metagenome ,1000,
362,Umbelopsidomycetes,1000,
363,Glomeromycetes,1000,
364,Candidatus Peribacteria,1000,
365,Charophyceae,1000,
366,Mucoromycetes,1000,
367,Abditibacteriia,1000,
368,Mamiellophyceae,1000,
369,Exobasidiomycetes,1000,
370,Glaucocystophyceae,1000,
371,WPS-2,1000,
372,Vampirivibrionia,1000,
373,Chrysophyceae,1000,
374,Kapabacteria,1000,
375,Abditibacteria,1000,
376,Diapherotrites Unknown Order,1000,
377,028H05-P-BN-P5,1000,
378,SM1A07,1000,
379,H26-1,1000,
380,uncultured candidate division WS6 bacterium,1000,
381,Deferribacteres Unknown Order,1000,
382,Subgroup 9,1000,
383,Taphrinomycetes,1000,
384,MAST-12C,1000,
385,uncultured opisthokont  ,1000,
386,AKAU4049,1000,
387,Enoplea,1000,
388,Subulatomonas,1000,
389,Pneumocystomycetes,1000,
390,Sumerlaeia,1000,
391,Echinoidea,1000,
392,Neocallimastigomycetes,1000,
393,Tissierellia,1000,
394,Nitrososphaeria,1000,
395,Eustigmatophyceae,1000,
396,Parcubacteria group bacterium GW2011_GWC2_49_9 ,1000,
397,014H09-A-SD-P15,1000,
398,Ostracoda,1000,
399,Fe-A-9,1000,
400,059A02-A-SD-P93,1000,
401,Candidatus Curtissbacteria,1000,
402,Maxillopoda,1000,
403,Candidatus Moranbacteria,1000,
404,S085,1000,
405,Homoscleromorpha,1000,
406,WWE3,1000,
407,Cestoda,1000,
408,MSBL8,1000,
409,Hydrogenophilia,1000,
410,Parvarchaeota Unknown Order,1000,
411,Armatimonadia,1000,
412,uncultured KB1 group bacterium ,1000,
413,Pezizomycetes,1000,
414,Thecostraca,1000,
415,unidentified archaeon   ,1000,
416,SJA-68,1000,
417,uncultured crenarchaeote  ,1000,
418,d142,1000,
419,JG30-KF-CM66,1000,
420,uncultured marine eukaryote ,1000,
421,Tetraphidopsida,1000,
422,Phaeophyceae,1000,
423,Pilidiophora,1000,
424,uncultured microorganism  ,1000,
425,Candidatus Babeliae,1000,
426,Rotifera,1000,
427,Marinimicrobia bacterium JGI,1000,
428,Armophorea,1000,
429,archaeon enrichment culture clone C1-1C-A,1000,
430,Clitellata,1000,
431,Korarchaeota Unknown Order,1000,
432,Chlorobiia,1000,
433,Gnathostomulida,1000,
434,Pauropoda,1000,
435,MBNT15,1000,
436,SAR202 clade,1000,
437,Monogononta,1000,
438,Lichinomycetes,1000,
439,MB-A2-108,1000,
440,Schekmanbacteria,1000,
441,Cystobasidiomycetes,1000,
442,uncultured archaeon WCHD3-30 ,1000,
443,Archaeoglobi,1000,
444,uncultured eukaryote   ,1000,
445,Aves,1000,
446,SHA-26,1000,
447,Margulisbacteria,1000,
448,Candidatus Nomurabacteria,1000,
449,Monogenea,1000,
450,Methylomirabilia,1000,
451,Archamoebae,1000,
452,Thermodesulfovibrionia,1000,
453,Methanococci,1000,
454,Candidatus Sumerlaeia,1000,
455,Bivalvia,1000,
456,Priapulida,1000,
457,Candidatus Magasanikbacteria,1000,
458,uncultured candidate division WWE3 bacterium,1000,
459,Candidatus Aminicenantia,1000,
460,Marosporida,1000,
461,uncultured Nitrospirae bacterium  ,1000,
462,uncultured fungus   ,1000,
463,OPPD003,1000,
464,Harpellales,1000,
465,uncultured archaeon 19a-29  ,1000,
466,Cloacimonetes Unknown Order,1000,
467,Zygnemophyceae,1000,
468,Synurophyceae,1000,
469,Agaricostilbomycetes,1000,
470,uncultured eubacterium WCHB1-60  ,1000,
471,Nephroselmidophyceae,1000,
472,Lycopodiopsida,1000,
473,Subgroup 18,1000,
474,Chlorokybophyceae,1000,
475,Parcubacteria group bacterium GW2011_GWA2_46_7 ,1000,
476,WCHB1-81,1000,
477,uncultured Latescibacteria bacterium  ,1000,
478,Candidatus Kuenenbacteria,1000,
479,Zixibacteria,1000,
480,uncultured organism ,1000,
481,Candidatus Daviesbacteria,1000,
482,Candidatus Izimaplasma,1000,
483,Terrimicrobiia,1000,
484,Z7ME43,1000,
485,RBG-16-55-12,1000,
486,Phylactolaemata,1000,
487,MACA-EFT26,1000,
488,candidate division TM6 bacterium,1000,
489,Candidatus Wolfebacteria bacterium GW2011_GWA2_47_9b ,1000,
490,Thermococci,1000,
491,AEGEAN-245,1000,
492,uncultured crenarchaeote pBRKC135  ,1000,
493,uncultured anaerobic bacterium  ,1000,
494,marine metagenome   ,1000,
495,Chilopoda,1000,
496,Polypodiopsida,1000,
497,Mesozoa,1000,
498,Moduliflexia,1000,
499,uncultured candidate division AC1 bacterium,1000,
500,uncultured archaeon PENDANT-33 ,1000,
501,Candidatus Sericytochromatia,1000,
502,Longimicrobiia,1000,
503,LCP-89,1000,
504,Arctic97B-4 marine group,1000,
505,Holothuroidea,1000,
506,Breviata,1000,
507,Planomonas micra  ,1000,
508,Opalinata,1000,
509,Aminicenantia,1000,
510,Crinoidea,1000,
511,Rozella,1000,
512,UA11,1000,
513,Kryptonia,1000,
514,ABY1,1000,
515,Cloacimonadia,1000,
516,Enteropneusta,1000,
517,marine metagenome  ,1000,
518,Kathablepharidae,1000,
519,SJA-28,1000,
520,H15-6,1000,
521,Methanonatronarchaeia,1000,
522,SL56 marine group,1000,
523,Leptospirae,1000,
524,Lineage IIb,1000,
525,Picomonadida,1000,
526,Atribacteria,1000,
527,archaeon GW2011_AR18  ,1000,
528,archaeon GW2011_AR13  ,1000,
529,S-BQ2-57 soil group,1000,
530,Catenulida,1000,
531,Subgroup 5,1000,
532,groundwater metagenome   ,1000,
533,Basidiobolomycetes,1000,
534,Pterobranchia,1000,
535,Jungermanniopsida,1000,
536,uncultured cyanobacterium   ,1000,
537,Thermodesulfobacteria,1000,
538,Palmophyllophyceae,1000,
539,Rhodellophyceae,1000,
540,Candidatus Nanoarchaeia,1000,
541,SPG12-401-411-B72,1000,
542,Malawimonas,1000,
543,uncultured candidate division BRC1 bacterium,1000,
544,Mesostigmatophyceae,1000,
545,Orbiliomycetes,1000,
546,Candidatus Wolfebacteria,1000,
547,Berkelbacteria,1000,
548,PBS-18,1000,
549,KIST-JJY010,1000,
550,D-F10,1000,
551,Diplopoda,1000,
552,Dictyoglomia,1000,
553,Nassophorea,1000,
554,Enopla,1000,
555,Geoglossomycetes,1000,
556,uncultured euryarchaeote ,1000,
557,uncultured marine,1000,
558,Senoma,1000,
559,Flabellinia,1000,
560,Candidatus Adlerbacteria,1000,
561,Sagittoidea,1000,
562,Tubulinea,1000,
563,Candidatus Bathyarchaeia,1000,
564,Subgroup 13,1000,
565,W5,1000,
566,Chondrichthyes,1000,
567,Cryptomonadales,1000,
568,Chthonomonadetes,1000,
569,Thecofilosea,1000,
570,Nephridiophaga,1000,
571,Leptocardii,1000,
572,uncultured deep-sea bacterium  ,1000,
573,MVP-15,1000,
574,Candidatus Yanofskybacteria,1000,
575,terrestrial metagenome   ,1000,
576,uncultured Candidatus Dependentiae bacterium,1000,
577,Acantharea,1000,
578,Heterophryidae,1000,
579,bacterium RFB D08  ,1000,
580,Candidatus Peregrinibacteria bacterium GW2011_GWF2_39_17 ,1000,
581,BMS9AB35,1000,
582,Parcubacteria group bacterium GW2011_GWA2_47_8 ,1000,
583,Nanoarchaeota archaeon SCGC AAA011-D5,1000,
584,uncultured crenarchaeote,1000,
585,Acanthoecida,1000,
586,Marchantiopsida,1000,
587,Pinguiophyceae,1000,
588,Pavlovophyceae,1000,
589,Taphrinomycotina,1000,
590,Caudofoveata,1000,
591,Scalidophora,1000,
592,Schizosaccharomycetes,1000,
593,Compsopogonophyceae,1000,
594,Candidatus Amesbacteria,1000,
595,uncultured methanogenic archaeon  ,1000,
596,Actinopterygii,1000,
597,Cubozoa,1000,
598,uncultured marine bacterium ,1000,
599,Gitt-GS-136,1000,
600,Paramicrosporidium,1000,
601,metal-contaminated soil clone K20-27 ,1000,
602,uncultured Caldiserica bacterium  ,1000,
603,Hyphochytriomycetes,1000,
604,Parcubacteria group bacterium GW2011_GWC2_44_22 ,1000,
605,Stenolaemata,1000,
606,Mortierellomycetes,1000,
607,SHA-4,1000,
608,Andreaeopsida,1000,
609,uncultured microorganism   ,1000,
610,uncultured crenarchaeote ,1000,
611,uncultured Parcubacteria group bacterium ,1000,
612,Asteroidea,1000,
613,uncultured bacterium I025  ,1000,
614,Cycadopsida,1000,
615,Amblyospora sp.,1000,
616,SHA-41,1000,
617,Rhynchonellata,1000,
618,uncultured bacterium 'KTK 14' ,1000,
619,uncultured Telonemida  ,1000,
620,Alloascoideomycetes,1000,
621,uncultured methanogenic archaeon ,1000,
622,Amblyosporidae,1000,
623,Coprothermobacteria,1000,
624,Coleochaetophyceae,1000,
625,Ancyromonas,1000,
626,Appendicularia,1000,
627,C10-SB1A,1000,
628,Dimargaritomycetes,1000,
629,Elev-1554,1000,
630,Bacillidium sp.,1000,
631,Parcubacteria group bacterium GW2011_GWF2_42_7 ,1000,
632,Parcubacteria Unknown Order,1000,
633,Tectomicrobia Unknown Order,1000,
634,Pelagophyceae,1000,
635,Gracilipodida,1000,
636,Eoacanthocephala,1000,
637,Euryarchaeota archaeon SCGC AAA286-E23,1000,
638,TOTO-A6-15,1000,
639,Syntrophia,1000,
640,Chlorarachniophyceae,1000,
641,Mitosporidium daphniae   ,1000,
642,Stylonematophyceae,1000,
643,Candidatus Uhrbacteria,1000,
644,Thermoflexia,1000,
645,archaeon GW2011_AR17  ,1000,
646,candidate division WS6 bacterium OLB21,1000,
647,Candidatus Jorgensenbacteria,1000,
648,crenarchaeote enrichment culture clone 61-23f,1000,
649,hydrothermal vent metagenome  ,1000,
650,Trematoda,1000,
651,Zoopagomycetes,1000,
652,Z273FA48,1000,
653,uncultured Aminicenantes bacterium  ,1000,
654,pSL12,1000,
655,Ika33,1000,
656,Nutomonas,1000,
657,miscellaneous Crenarchaeota group archaeon SMTZ-80,1000,
658,LK-44f,1000,
659,uncultured Microgenomates group bacterium,1000,
660,Archiacanthocephala,1000,
661,uncultured planctomycete   ,1000,
662,unidentified archaeon  ,1000,
663,Magnoliopsida,10000,0.02663062894991081
664,Rhizaria,10000,0.03170727108661897
665,Gammaproteobacteria,10000,0.014551262685972222
666,Alveolata,10000,0.06960202751336739
667,Flavobacteriia,10000,0.04458500358450731
668,Alphaproteobacteria,10000,0.12036310228653062
669,Arthropoda,10000,0.03505675336231277
670,Cyanobacteriia,10000,0.064506604116103
671,Chloroplast,10000,0.03481516365724679
672,Conoidasida,10000,0.06624816393750996
673,Bacillariophyceae,10000,0.046838102881250246
674,uncultured bacterium   ,10000,0.07671938792437173
675,Rhabditophora,10000,0.1538718563278829
676,Nematoda,10000,0.12746897911183
677,Chordata,10000,0.13834811331883515
678,Coscinodiscophyceae,10000,0.10375912194990965
679,Gastrotricha,10000,0.17351489291412547
680,Betaproteobacteria,10000,0.10222800868778788
681,Litostomatea,10000,0.28435733859108586
682,Gnetopsida,10000,0.11899009574326479
683,Arachnida,10000,0.18233256673221673
684,Chromadorea,10000,0.2410679903936413
685,LKM74,10000,0.17659473261815223
686,Chlorophyceae,10000,0.19658171127450866
