,Family,read count,relative error
0,Fabaceae,1000,0.13892779560056645
1,Hantkeninidae,1000,0.13465221658004936
2,Postciliodesmatophora,1000,0.15763303766642017
3,Flavobacteriaceae,1000,0.2687598070955449
4,Ellipura,1000,0.1810572873795776
5,Chloroplast,1000,0.16524281523175724
6,Reticulamoeba,1000,0.14855650077273644
7,Pseudoalteromonadaceae,1000,0.1672826726412519
8,Burmanniaceae,1000,0.07167923259266047
9,Sarcocystidae,1000,0.4214600316879091
10,Colwelliaceae,1000,0.06131222658639552
11,Oceanospirillaceae,1000,0.34866480375378966
12,Cymbellaceae,1000,0.2872281323269014
13,Solanaceae,1000,0.246576560118756
14,Alteromonadaceae,1000,0.5779904655820385
15,Globigerinidae,1000,0.5370170813661389
16,Paracoccaceae,1000,0.45946054209826576
17,Globorotaliidae,1000,0.41096927816985185
18,Syndiniales,1000,0.5351819812796533
19,Rhodobacteraceae,1000,0.4714045207910303
20,Phragmoplastophyta,1000,0.0
21,Enoplia,1000,0.12121830534626284
22,Ascidiacea,1000,0.31922819482021797
23,Bothrioplanidae,1000,0.6060915267313256
24,Lepidodasyidae,1000,
25,Melosiraceae,1000,0.3849001794597467
26,Cryomorphaceae,1000,0.4914033706918124
27,Trichostomatia,1000,
28,Convolvulaceae,1000,
29,Comamonadaceae,1000,0.415945165403847
30,Gnetaceae,1000,
31,Acari,1000,0.47140452079102857
32,Saccharospirillaceae,1000,0.28284271247461334
33,Tylenchida,1000,0.176776695296625
34,Moraxellaceae,1000,0.20203050891042856
35,Chlamydomonadaceae,1000,0.4714045207910267
36,Plasmodiidae,1000,0.5656854249492199
37,Intramacronucleata,1000,0.7071067811865249
38,Araucariaceae,1000,
39,Geoplanidae,1000,
40,Dinophyceae,1000,0.21650635094610543
41,Halieaceae,1000,
42,Rhopalidae,1000,
43,Microbacteriaceae,1000,0.0
44,Debaryomycetaceae,1000,
45,Convolutidae,1000,
46,Rickettsiaceae,1000,
47,Sphingomonadaceae,1000,
48,Coriobacteriaceae,1000,
49,Piskurozymaceae,1000,
50,AB3F14RJ3E10,1000,0.12856486930663638
51,Erythrobacteraceae,1000,
52,Peptostreptococcaceae,1000,
53,SAR86 clade,1000,
54,Halomonadaceae,1000,
55,Chaetocerotaceae,1000,
56,Klebsormidiaceae,1000,
57,Streptomycetaceae,1000,
58,Ensiculiferaceae,1000,
59,SAR116 clade,1000,
60,Crocinitomicaceae,1000,
61,ZD0405,1000,
62,Methanosaetaceae,1000,
63,Streptococcaceae,1000,
64,Chitinophagaceae,1000,
65,Novel Clade 10,1000,
66,Arenicellaceae,1000,
