,Kingdom,read count,relative error
0,Eukaryota,1000,0.050271147662399596
1,Bacteria,1000,0.0807048107420679
2,Archaea,1000,0.0
3,Eukaryota,10000,0.015869132826063517
4,Bacteria,10000,0.00886231909763074
5,Archaea,10000,0.36428632003677963
6,Eukaryota,100000,0.003983169856825559
7,Bacteria,100000,0.007417619572088672
8,Archaea,100000,0.05451867032720359
9,Eukaryota,1000000,0.001252536721831397
10,Bacteria,1000000,0.003780342700168994
11,Archaea,1000000,0.007256307516710172
12,Eukaryota,10000000,0.00031938308051466803
13,Bacteria,10000000,0.00028829120493993436
14,Archaea,10000000,0.002876102594999674
