,Order,read count,relative error
0,Fabales,1000,0.13892779560056645
1,Rotaliida,1000,0.16305609755359196
2,Alteromonadales,1000,0.11365497928520288
3,Flavobacteriales,1000,0.20395469946537384
4,Ciliophora,1000,0.13436173887022967
5,Hexapoda,1000,0.1810572873795776
6,Oceanospirillales,1000,0.34740416688982534
7,Cercozoa,1000,0.14855650077273644
8,Chloroplast,1000,0.16524281523175724
9,Solanales,1000,0.1986655306780331
10,Dioscoreales,1000,0.07167923259266047
11,Eucoccidiorida,1000,0.4214600316879091
12,Rhodobacterales,1000,0.38867497963712055
13,Cymbellales,1000,0.2872281323269014
14,uncultured organism   ,1000,0.2558711420272196
15,uncultured bacterium   ,1000,0.07713892158398546
16,Protalveolata,1000,0.5351819812796533
17,Charophyta,1000,0.0
18,Enoplea,1000,0.12121830534626284
19,Tunicata,1000,0.31922819482021797
20,Rhabditophora,1000,0.6060915267313256
21,Macrodasyida,1000,
22,Melosirales,1000,0.3849001794597467
23,Litostomatea,1000,
24,Burkholderiales,1000,0.415945165403847
25,Gnetales,1000,
26,Acari,1000,0.47140452079102857
27,Tylenchida,1000,0.176776695296625
28,Pseudomonadales,1000,
29,marine metagenome   ,1000,0.31491832864887276
30,Sphingomonadales,1000,
31,Chlamydomonadales,1000,0.4714045207910267
32,Hemiptera,1000,
33,Haemosporida,1000,0.5656854249492199
34,Cellvibrionales,1000,
35,Rickettsiales,1000,
36,Araucariales,1000,
37,Moraxellales,1000,
38,Tricladida,1000,
39,Dinoflagellata,1000,0.21650635094610543
40,Micrococcales,1000,0.0
41,Acoela,1000,
42,Clostridiales,1000,
43,Labyrinthulomycetes,1000,0.12856486930663638
44,Coriobacteriales,1000,
45,Cytophagales,1000,
46,Filobasidiales,1000,
47,Serinales,1000,
48,Bacteroidales,1000,
49,Sphingobacteriales,1000,
50,Verrucomicrobiales,1000,
51,Bacillales,1000,
52,Peridiniales,1000,
53,Chaetocerotales,1000,
54,Lactobacillales,1000,
55,Rhizobiales,1000,
56,Klebsormidiales,1000,
57,Methanosarcinales,1000,
58,Streptomycetales,1000,
59,Retaria,1000,
60,Candidatus Puniceispirillales,1000,
61,Saccharomycetales,1000,
62,Desulfobacterales,1000,
63,Planctomycetales,1000,
64,Arenicellales,1000,
65,Methanobacteriales,1000,
66,Sordariales,1000,
67,Salinisphaerales,1000,
68,Unknown Family,1000,
69,Xanthomonadales,1000,
70,Zygnematophyceae,1000,
71,Vibrionales,1000,
72,Rhabditida,1000,
73,Xylariales,1000,
74,SAR86 clade,1000,
75,Candidatus Collierbacteria bacterium GW2011_GWA2_42_17,1000,
76,Woeseiales,1000,
77,Rhodospirillales,1000,
78,Chromatiales,1000,
79,E01-9C-26 marine group,1000,
80,Methanomassiliicoccales,1000,
81,Diptera,1000,
82,uncultured eukaryote   ,1000,
83,Pirellulales,1000,
84,Verrucariales,1000,
85,Desulfobulbales,1000,
86,PB19,1000,
87,Acidimicrobiales,1000,
88,SAR11 clade,1000,
89,Triceratiales,1000,
90,Rhodothermaceae,1000,
91,Actinomycetales,1000,
92,Chitinophagales,1000,
93,Euamoebida,1000,
94,Bradymonadales,1000,
95,Semaeostomeae,1000,
96,Miliolida,1000,
97,Cestoda,1000,
98,Archigregarinorida,1000,
99,Aeromonadales,1000,
100,PeM15,1000,
101,Methylophilales,1000,
102,Licmophorales,1000,
103,uncultured crenarchaeote,1000,
104,uncultured Chytridiomycota  ,1000,
105,Crustacea,1000,
106,Discicristata,1000,
107,Ramicandelaberales,1000,
108,Bdellovibrionales,1000,
109,Flabellinia,1000,
110,Prymnesiales,1000,
111,Loxodida,1000,
112,Polychaeta,1000,
113,Unknown Order,1000,
114,Pterocystis,1000,
115,KI89A clade,1000,
116,Campylobacterales,1000,
117,Thiotrichales,1000,
118,Conthreep,1000,
119,Endogonales,1000,
120,Sva1033,1000,
121,Bacteriovoracales,1000,
122,Prorodontida,1000,
123,Propionibacteriales,1000,
124,JGI 0000069-P22,1000,
125,Cryptomonadales,1000,
126,OM182 clade,1000,
127,Thermoplasmatales,1000,
128,Gammaproteobacteria Incertae Sedis,1000,
129,Malpighiales,1000,
130,Eutreptiales,1000,
131,Nitrosomonadales,1000,
132,Asparagales,1000,
133,Vertebrata,1000,
134,Opitutales,1000,
135,Entomophthorales,1000,
136,Chytridiales,1000,
137,Trypanosomatida,1000,
138,Euglenales,1000,
139,Dendrocerotales,1000,
140,Craspedida,1000,
141,uncultured,1000,
142,Myxococcales,1000,
143,Phycisphaerales,1000,
144,Spirochaetales,1000,
145,Sessilida,1000,
146,Paraliales,1000,
147,Erysipelotrichales,1000,
148,Magnoliales,1000,
149,Enterobacteriales,1000,
150,Parabodonida,1000,
151,Bicosoecida,1000,
152,Desulfuromonadales,1000,
153,Collodaria,1000,
154,MB11C04 marine group,1000,
155,Gaiellales,1000,
156,OM190,1000,
157,Methanocellales,1000,
158,Fagales,1000,
159,Eurotiales,1000,
160,Saprospirales,1000,
161,Monogenea,1000,
162,B2M28,1000,
163,Gemmatales,1000,
164,Halobacteriales,1000,
165,Alismatales,1000,
166,Leptothecata,1000,
167,Rhodothermales,1000,
168,Haptorida,1000,
169,Microtrichales,1000,
170,Exogenida,1000,
171,Opiliones,1000,
172,Chthoniobacterales,1000,
173,HOC36,1000,
174,uncultured bacterium  ,1000,
175,Anaerolineales,1000,
176,Hyphomicrobiales,1000,
177,Philasterida,1000,
178,Chlamydiales,1000,
179,Chlorophyta,1000,
180,Candidatus Actinomarinales,1000,
181,Magnoliophyta,1000,
182,Puniceicoccales,1000,
183,Decapoda,1000,
184,uncultured marine fungus  ,1000,
185,Hydrozoa,1000,
186,Russulales,1000,
187,Pseudonocardiales,1000,
188,Mycoplasmatales,1000,
189,Cyclopoida,1000,
190,Fusobacteriales,1000,
191,Mycobacteriales,1000,
192,Kordiimonadales,1000,
193,Ochrophyta,1000,
194,Lentisphaerales,1000,
195,Caulobacterales,1000,
196,Amphifilida,1000,
197,Gemmatimonadales,1000,
198,uncultured bacterium ,1000,
199,Actinomarinales,1000,
200,Lysobacterales,1000,
201,Spirotrichea,1000,
202,Syntrophobacterales,1000,
203,Pandanales,1000,
204,Nitrospirales,1000,
205,uncultured marine eukaryote  ,1000,
206,Pythiales,1000,
207,Apicomplexa,1000,
208,Coleoptera,1000,
209,SubsectionII,1000,
210,Cystofilobasidiales,1000,
211,Naviculales,1000,
212,Erysiphales,1000,
213,Hyphomonadales,1000,
214,uncultured Cryptomycota   ,1000,
215,Auriculariales,1000,
216,Babeliales,1000,
217,Prolecithophora,1000,
218,Pleosporales,1000,
219,uncultured archaeon ,1000,
220,Corynebacteriales,1000,
221,Solibacterales,1000,
222,Synechococcales,1000,
223,Lepidoptera,1000,
224,Silvanigrellales,1000,
225,Alphaproteobacteria Unknown Family,1000,
226,Ephemeroptera,1000,
227,Geminicoccales,1000,
228,Microbotryomycetes,1000,
229,Enterobacterales,1000,
230,Opalinata,1000,
231,Deltaproteobacteria Syntrophorhabdaceae,1000,
232,uncultured bacterium 213 ,1000,
233,Eurotiomycetes,1000,
234,marine metagenome  ,1000,
235,Acholeplasmatales,1000,
236,Vampirovibrionales,1000,
237,Solirubrobacterales,1000,
238,uncultured soil bacterium ,1000,
239,MAST-4,1000,
240,Eubacteriales,1000,
241,Gonyaulacales,1000,
242,Spumellaria,1000,
243,Frankiales,1000,
244,Blastocatellales,1000,
245,Trematoda,1000,
246,Lamiales,1000,
247,Parachlamydiales,1000,
248,Rhodocyclales,1000,
249,uncultured planctomycete   ,1000,
250,Hydrogenophilales,1000,
251,Piroplasmida,1000,
252,SubsectionI,1000,
253,Tistrellales,1000,
254,Polyangiales,1000,
255,Piperales,1000,
256,uncultured cyanobacterium   ,1000,
257,Caldilineales,1000,
258,Agaricales,1000,
259,Thermoanaerobaculales,1000,
260,Pyramimonadales,1000,
261,Desulfovibrionales,1000,
262,Coscinodiscales,1000,
263,Diplostraca,1000,
264,uncultured Chlorophyta   ,1000,
265,Haplosporida,1000,
266,Sphagnales,1000,
267,Puniceispirillales,1000,
268,Methylococcales,1000,
269,Florideophycidae,1000,
270,Legionellales,1000,
271,Sva0485,1000,
272,Hymenoptera,1000,
273,Acidobacteriales,1000,
274,Cyanobacteriales,1000,
275,Bivalvulida,1000,
276,Exobasidiomycetes,1000,
277,KD4-96,1000,
278,Poales,1000,
279,Selenomonadales,1000,
280,Micavibrionales,1000,
281,Sordariomycetes,1000,
282,Acanthopleuribacterales,1000,
283,Methanomicrobiales,1000,
284,Micromonosporales,1000,
285,Santalales,1000,
286,Pedosphaerales,1000,
