,Species,read count,relative error
0,Phaseoleae environmental sample,1000,0.13892779560056645
1,Hastigerina pelagica,1000,0.13465221658004936
2,Remanella sp. 2 WS-2012 ,1000,0.15763303766642017
3,Poduridae environmental sample ,1000,0.1810572873795776
4,uncultured bacterium,1000,0.6904475947125825
5,Reticulamoeba minor,1000,0.14855650077273644
6,uncultured bacterium   ,1000,0.3561941593055823
7,Burmannia sp. Dessein 1021,1000,0.07167923259266047
8,Sarcocystis sp.,1000,0.4214600316879091
9,Cymbella cymbiformis,1000,0.2872281323269014
10,Solanum pennellii,1000,0.246576560118756
11,uncultured proteobacterium   ,1000,0.08202549279745588
12,uncultured organism,1000,0.2558711420272196
13,Embryophyta,1000,0.0
14,Globigerinoides ruber,1000,0.5370170813661389
15,Globorotalia truncatulinoides,1000,0.41096927816985185
16,uncultured eukaryote ,1000,0.5351819812796533
17,Dendrodoa grossularia  ,1000,0.31922819482021797
18,Bothrioplana semperi,1000,0.6060915267313256
19,Lepidodasys sp. NP-2005,1000,
20,Alteromonas stellipolaris,1000,0.07443229275647369
21,Melosira varians,1000,0.3849001794597467
22,uncultured bacterium ,1000,
23,Cuscuta gronovii,1000,
24,Gnetum africanum,1000,
25,Anticomidae sp. Cr38 ,1000,0.5050762722761036
26,marine metagenome,1000,0.31491832864887276
27,Meloidoderita salina,1000,0.176776695296625
28,Chlamydomonas sp. NIES-3905,1000,0.4714045207910267
29,Oleibacter marinus   ,1000,
30,Neptunomonas sp. MA_3  ,1000,
31,uncultured eukaryote,1000,
32,Dokdonia eikasta   ,1000,
33,Lutimonas saemankumensis   ,1000,0.70710678118654
34,uncultured marine eukaryote,1000,
35,Plasmodium vivax,1000,0.5656854249492199
36,Polaribacter sp. Hel_I_88 ,1000,
37,uncultured Flavobacteriales bacterium  ,1000,0.58878405775518
38,Araucaria luxurians,1000,
39,Arthurdendyus testaceus,1000,
40,Serinthea sp.,1000,
41,uncultured dinoflagellate,1000,0.21650635094610543
42,Trichodorus sparsus  ,1000,
43,uncultured Bacteroidetes bacterium  ,1000,
44,marine metagenome ,1000,
45,Octadecabacter sp. LPB0143  ,1000,
46,Convoluta niphoni,1000,
47,marine bacterium IVA010  ,1000,
48,uncultured Pseudoalteromonas sp.  ,1000,
49,Piskurozyma taiwanensis,1000,
50,unidentified    ,1000,
51,uncultured stramenopile,1000,0.12856486930663638
52,uncultured Micrococcineae bacterium ,1000,
53,Oxystomina sp. TCR68 ,1000,
54,Yamadazyma sp. 14Y124,1000,
55,Erythrobacter sp. REDSEA-S41_B1  ,1000,
56,uncultured Rickettsia sp.  ,1000,
57,Eutreptiella pomquetensis,1000,
58,Chaetoceros calcitrans,1000,
59,uncultured archaeon   ,1000,0.0
60,Halovibrio sp. HB29  ,1000,
61,uncultured archaeon,1000,
62,Klebsormidium crenulatum,1000,
63,Pentapharsodinium tyrrhenicum,1000,
64,uncultured marine bacterium,1000,
65,Candida albicans,1000,
66,uncultured eukaryote   ,1000,
67,uncultured ciliate,1000,
68,Sulfitobacter sp. DFL-23  ,1000,
69,uncultured Streptomyces sp.  ,1000,
70,Neurospora crassa,1000,
71,Cosmarium protractum,1000,
72,uncultured organism   ,1000,
73,Streptococcus caballi   ,1000,
74,Xylariaceae sp.,1000,
75,Glaciecola sp. ANT9183b  ,1000,
76,Oceanococcus atlanticus   ,1000,
77,Candidatus Collierbacteria bacterium GW2011_GWA2_42_17,1000,
78,uncultured Gammaproteobacteria bacterium,1000,
79,Telamona unicolor,1000,
80,uncultured Novosphingobium sp.  ,1000,
81,uncultured marine bacterium  ,1000,
82,uncultured Methanomassiliicoccales archaeon,1000,
83,Cymbella cistula,1000,
84,Ctenophora dorsalis,1000,
85,Verrucaria hochstetteri,1000,
86,uncultured bacterium  ,1000,
87,uncultured Chytridiomycota,1000,
88,Dimeregramma sp. SZCZP43,1000,
89,Eutreptiella gymnastica,1000,
90,uncultured Actinomycetales bacterium,1000,
91,uncultured Hartmannellidae,1000,
92,Loktanella sp. PAMC 27126 ,1000,
93,Sorites sp. 1368,1000,
94,uncultured marine,1000,
95,Archigregarinorida,1000,
96,Echinococcus multilocularis  ,1000,
97,uncultured crenarchaeote,1000,
98,Pseudorhodobacter ferrugineus,1000,
99,Globorotalia hirsuta,1000,
100,uncultured rumen bacterium ,1000,
101,Brunetorhynchus microstylis  ,1000,
102,Ulnaria acus,1000,
103,uncultured gamma,1000,
104,Meloidogyne incognita,1000,
105,Polaribacter gangjinensis  ,1000,
106,uncultured planctomycete   ,1000,
107,wallaby gut metagenome  ,1000,
108,Ramicandelaber sp. KYK00187,1000,
109,uncultured marine microorganism  ,1000,
110,Haptophyta environmental samples,1000,
111,Loxodes vorax,1000,
112,uncultured gamma proteobacterium ,1000,
113,Sinorsillus piliferus,1000,
114,unidentified archaeon   ,1000,
115,Methylobacterium sp. MNW 60 ,1000,
116,uncultured marine bacterium ,1000,
117,Endogone pisiformis,1000,
118,marine bacterium IIA005  ,1000,
119,Nolandia orientalis,1000,
120,uncultured Flavobacterium sp.  ,1000,
121,Lewinella cohaerens,1000,
122,Cryomorphaceae bacterium,1000,
123,Placus salinus,1000,
124,uncultured Tubiluchidae sp. ,1000,
125,Vibrio sp. hMe-34  ,1000,
126,Cryptomonas curvata,1000,
127,uncultured delta proteobacterium  ,1000,
128,Jatropha curcas,1000,
129,unidentified,1000,
130,Algoriphagus yeomjeoni   ,1000,
131,uncultured Peredibacter,1000,
132,Glaciecola sp.,1000,
133,Borya septentrionalis,1000,
134,uncultured Pseudomonadota bacterium,1000,
135,Conidiobolus osmodes  ,1000,
136,Diplonema sp. ATCC 50225,1000,
137,Trypanosoma binneyi,1000,
138,Nothoceros giganteus,1000,
139,Aliiglaciecola litoralis   ,1000,
140,Euglena viridis,1000,
141,Sphaeroeca volvox,1000,
142,Bernardetia litoralis,1000,
143,Actinopterygii,1000,
144,uncultured fungus,1000,
145,uncultured Kozakia sp.  ,1000,
146,Sphingomonas paucimobilis   ,1000,
147,Desulfotalea sp. NA22,1000,
148,Marivirga sericea,1000,
149,uncultured marine alveolate,1000,
150,uncultured marine picoeukaryote,1000,
151,Paralia sol,1000,
152,Carchesium polypinum,1000,
153,uncultured Bacteroidetes bacterium,1000,
154,Procryptobia sorokini,1000,
155,Protoperidinium thorianum,1000,
156,Rictus lutensis,1000,
157,Knema latericia,1000,
158,uncultured Alphaproteobacteria bacterium,1000,
159,Ectothiorhodospira sp. C2T-PN-L2  ,1000,
160,Dokdonia pacifica   ,1000,
161,uncultured planctomycete ,1000,
162,Collozoum pelagicum,1000,
163,uncultured Aspergillus,1000,
164,Gyrodactylus superbus  ,1000,
165,Trichinella pseudospiralis  ,1000,
166,Tenacibaculum soleae   ,1000,
167,uncultured Bacteroidetes/Chlorobi,1000,
168,Hydrocleys nymphoides,1000,
169,Marsupiomonas pelliculata,1000,
170,uncultured Rickettsiales,1000,
171,uncultured gamma proteobacterium  ,1000,
172,Blackfordia virginica,1000,
173,Cytophaga sp. MBIC04665  ,1000,
174,uncultured Beijerinckia sp.  ,1000,
175,Mesorhizobium sp. C-13-Coimbra  ,1000,
176,Capsicum annuum,1000,
177,Quercus lobata,1000,
178,Pseudomonas monteilii   ,1000,
179,Pelagodileptus trachelioides,1000,
180,uncultured alpha proteobacterium  ,1000,
181,Vibrio ichthyoenteri   ,1000,
182,Paradiopatra fiordica  ,1000,
183,Ephelota gigantea,1000,
184,Nerita polita,1000,
185,uncultured deep-sea,1000,
186,Parauronema cf. virginianum,1000,
187,Spionidae sp. RCV-2003 ,1000,
188,Convoluta convoluta,1000,
189,uncultured Actinomycetes bacterium,1000,
190,Leeuwenhoekiella sp.,1000,
191,Karlodinium veneficum ,1000,
192,Bacillus cereus   ,1000,
193,uncultured alveolate   ,1000,
194,alpha proteobacterium,1000,
195,Amphifilidae sp. H-1,1000,
196,Acinetobacter johnsonii   ,1000,
197,Hydra vulgaris  ,1000,
198,uncultured Treponema sp.,1000,
199,Chlorophyta symbiont,1000,
200,hydrothermal vent metagenome,1000,
201,uncultured Pseudonocardiaceae bacterium,1000,
202,Oithona davisae,1000,
203,Trizocheles spinosus,1000,
204,Sphingomonas sp. OSG-47  ,1000,
205,Niastella vici   ,1000,
206,Kupea martinetugei,1000,
207,uncultured sediment,1000,
208,Pythium insidiosum,1000,
209,Amphinome rostrata  ,1000,
210,uncultured Bacteroidetes,1000,
211,uncultured cyanobacterium,1000,
212,uncultured Flavobacteriaceae bacterium  ,1000,
213,Schistonchus guangzhouensis,1000,
214,uncultured Marinomonas sp.  ,1000,
215,uncultured organism  ,1000,
216,Artomyces pyxidatus,1000,
217,Mrakia blollopis,1000,
218,uncultured Flavobacteriia bacterium  ,1000,
219,uncultured actinobacterium   ,1000,
220,uncultured Rhodospirillales,1000,
221,Octadecabacter antarcticus,1000,
222,Zobellella taiwanensis   ,1000,
223,uncultured Cryptomycota,1000,
224,uncultured soil bacterium,1000,
225,Heliconius melpomene,1000,
226,uncultured Auriculariaceae,1000,
227,Acanthiella sp. CEL-2014,1000,
228,uncultured Brumimicrobium,1000,
229,Nephroselmis pyriformis,1000,
230,bacterium CYCU-0258   ,1000,
231,uncultured delta proteobacterium Sva0103 ,1000,
232,Pseudoalteromonas sp. BSs20039  ,1000,
233,Paratylenchus projectus,1000,
234,Spirobacillus cienkowskii,1000,
