,1K,10K,100K,1M,10M
Proteobacteria,0.23620000000000002,0.2399,0.240774,0.24059599999999998,0.240536625
Bacteroidetes,0.0754,0.08254,0.08398200000000001,0.0836588,0.083840775
Bacillariophyta,0.017400000000000002,0.017599999999999998,0.016992,0.016829599999999997,0.0168393
Actinobacteria,0.006,0.007339999999999999,0.007616,0.0075228000000000005,0.0074575
Chlorophyta,0.003,0.00292,0.0030060000000000004,0.0030338000000000006,0.002999325
Chloroflexi,0.0022500000000000003,0.0012400000000000002,0.0010919999999999999,0.0010982000000000001,0.001122075
Verrucomicrobia,0.0056,0.00518,0.0052699999999999995,0.0053197999999999995,0.005304525
Planctomycetes,0.0054,0.00506,0.0054280000000000005,0.005307999999999999,0.005307049999999999
Cyanobacteria,0.002,0.0019199999999999998,0.001642,0.0016271999999999999,0.001623375
Gemmatimonadetes,0.0015,0.00038,0.00028799999999999995,0.00029640000000000005,0.00029555
Firmicutes,0.0018000000000000002,0.00178,0.001428,0.0013832,0.0013751000000000002
Spirochaetes,0.001,0.00026000000000000003,0.000308,0.0002992,0.00031405
Nitrospinae,0.001,0.000125,9.4e-05,8.519999999999998e-05,8.477499999999999e-05
Candidatus Peregrinibacteria,0.001,,1e-05,1.2e-05,1.0674999999999999e-05
Rhodothermaeota,0.0015,0.0006399999999999999,0.00063,0.0006612,0.0006523
Candidatus Dormibacteraeota,0.001,,2e-05,1.2e-06,1.7499999999999998e-06
Viruses,0.0016666666666666668,0.0012200000000000002,0.001052,0.0010446000000000001,0.001043425
Basidiomycota,0.001,0.00022500000000000002,0.000164,0.00015920000000000002,0.00016405
Ciliophora,0.001,0.00022500000000000002,0.00029,0.0003278,0.0003131
Candidatus Saccharibacteria,0.001,0.0001,1e-05,9.6e-06,1.0624999999999999e-05
Rhodophyta,0.002,0.000225,6.6e-05,8.28e-05,8.4275e-05
Acidobacteria,0.0015,0.0005,0.000782,0.0007522,0.0007502
Mucoromycota,0.001,0.000225,0.00017999999999999998,0.00016179999999999998,0.00016755
Chlorobi,0.001,0.0001,4.4e-05,4.2e-05,4.93e-05
