,1K,10K,100K,1M,10M
Proteobacteria,0.008318653737234161,0.005348364235913632,0.0015478468916530483,0.00016843544757562552,0.00015537999388595406
Bacteroidetes,0.007956129712366436,0.002737334469881238,0.0017918621598772605,0.00018227232373566963,3.122428275130357e-05
Bacillariophyta,0.0043358966777357595,0.0009565563234854499,0.00027626074639731143,0.00013360501487593948,1.1334901852244377e-05
Actinobacteria,0.0007071067811865475,0.0009016651263079883,0.00025928748523598244,8.560782674498873e-05,1.130722482899011e-05
Chlorophyta,0.0018257418583505537,0.0008378544026261365,0.00011781341180018513,2.7905196648653126e-05,1.1016464950246141e-05
Chloroflexi,0.0012583057392117915,0.00015165750888103098,3.346640106136305e-05,3.928358435784601e-05,7.039116895368774e-06
Verrucomicrobia,0.0036469165057620937,0.0005890670590009256,0.00022901964981197564,8.689188684796732e-05,7.720265539474573e-06
Planctomycetes,0.002701851217221259,0.00073348483283569,0.00015449919093639284,7.842512352556422e-05,1.4618367441909157e-05
Cyanobacteria,0.001,0.0006496152707564685,0.00013405222862750176,3.395143590483321e-05,1.0619910545762605e-05
Gemmatimonadetes,0.0007071067811865475,0.00017888543819998318,5.019960159204453e-05,2.6092144411680687e-05,3.3788558221188946e-06
Firmicutes,0.0013038404810405296,0.00021679483388678793,0.00015896540504147435,3.039243326882526e-05,1.039358776682369e-05
Spirochaetes,,0.00019493588689617925,2.5884358211089583e-05,2.5272514714606462e-05,4.2618462352991175e-06
Nitrospinae,,5e-05,3.209361307176242e-05,6.760177512462227e-06,6.020797289396128e-07
Candidatus Peregrinibacteria,,,,2.5495097567963924e-06,1.0210288928331067e-06
Rhodothermaeota,0.0005773502691896257,0.00032093613071762424,5.65685424949238e-05,2.8639134065121422e-05,3.047403266170515e-06
Candidatus Dormibacteraeota,,,,4.472135954999579e-07,3.1091263510296045e-07
Viruses,0.0011547005383792516,0.00021679483388678802,4.919349550499537e-05,5.0475736745489906e-05,7.03674877577234e-06
Basidiomycota,,0.00012583057392117917,5.983310120660637e-05,1.3754999091239521e-05,2.6589471600616683e-06
Ciliophora,,0.00012583057392117917,4.9999999999999996e-05,2.8908476265621466e-05,2.4262453846770373e-06
Candidatus Saccharibacteria,,,,3.781534080237807e-06,8.421203397773192e-07
Rhodophyta,,0.00012583057392117917,3.5071355833500364e-05,1.4411800720243116e-05,1.6760568804985924e-06
Acidobacteria,0.0007071067811865475,7.071067811865473e-05,0.00010473776778220931,1.969009903479414e-05,6.025501362265734e-06
Mucoromycota,,0.00012583057392117917,2.915475947422651e-05,6.260990336999404e-06,1.3279056191361374e-06
Chlorobi,,,2.8809720581775867e-05,6.892024376045113e-06,1.399999999999998e-06
Oomycota,,0.00015,2.7928480087537867e-05,7.758865896508322e-06,5.67890834580028e-07
Euryarchaeota,,4.472135954999578e-05,4.062019202317981e-05,7.668115805072326e-06,1.969771560359225e-06
Nitrospirae,,8.944271909999158e-05,3.209361307176241e-05,1.5192103211866364e-05,3.1595094555959047e-06
Tubulinea,,,,,5e-08
Thaumarchaeota,,0.00011401754250991381,5.7879184513951135e-05,2.7455418408758596e-05,4.021090233589234e-06
Ascomycota,,8.366600265340757e-05,4.393176527297758e-05,2.0622802913280245e-05,6.843671042162471e-06
Deferribacteres,,,5.773502691896259e-06,2.1679483388678795e-06,1.8929694486000972e-07
Candidatus Melainabacteria,,,1.2909944487358057e-05,4.560701700396552e-06,7.8049129826454e-07
Balneolaeota,,,7.056911505750941e-05,1.188276062201036e-05,1.8373440976946455e-06
Haptophyta,,,4.03732584763727e-05,7.981227975693967e-06,8.958236433584445e-07
Euglenozoa,,5e-05,1.3038404810405296e-05,7.968688725254617e-06,1.2867918764638387e-06
Armatimonadetes,,8.366600265340754e-05,3.286335345030996e-05,9.555103348473e-06,1.3964240043768932e-06
Ignavibacteriae,,4.999999999999998e-05,2.5884358211089573e-05,1.1819475453673909e-05,2.764507189355813e-06
