species,1000,10000,100000,1000000,10000000
'Osedax' symbiont bacterium Rs2_46_30_T18,,,,,
'Primula acaulis' yellows phytoplasma,,,,,
'Prunus persica' phytoplasma PP2,,,,,
ANME-2 cluster archaeon,,,,,
Aaosphaeria arxii,4.480067839453788e-06,4.480067839453788e-06,4.480067839453788e-06,4.480067839453788e-06,4.260388112930505e-06
Abalone asfa-like virus,,,,,
Abditibacteriaceae bacterium,,,,,
Abditibacteriales bacterium,,,,,
Abditibacteriota bacterium,9.494156930890552e-06,9.49415693089055e-06,9.494156930890552e-06,9.494156930890552e-06,8.954786863573601e-06
Abditibacterium utsteinense,,,,,
Abelmoschus esculentus,,,,,
Abies alba,2.1313100506016776e-06,2.1313100506016776e-06,2.1313100506016776e-06,2.1313100506016776e-06,2.1313100506016776e-06
Abiotrophia defectiva,9.767223363183862e-06,9.767223363183862e-06,9.767223363183862e-06,2.1300742736855833e-06,2.1300742736855833e-06
Abiotrophia sp.,,,,,
Abortiporus biennis,,,,,
Abrostola tripartita,6.463133224346383e-06,6.463133224346383e-06,6.463133224346383e-06,6.463133224346383e-06,5.861246730954152e-06
Abrostola triplasia,9.153945155381288e-06,9.153945155381288e-06,9.153945155381288e-06,5.910031684619968e-06,6.397172203605242e-06
Abrus precatorius,1.7149178878316884e-05,1.7149178878316884e-05,1.7149178878316884e-05,2.1316053119605764e-06,2.1316053119605764e-06
Abscondita terminalis,,,,,
Absidia glauca,,,,,
Absidia repens,,,,,
Absiella sp. AM09-45,,,,,
Abyssalbus ytuae,0.00018454773656120848,0.00018454773656120848,0.00016596749346678874,0.00015532289067739192,0.00014323991177066185
Abyssibacter profundi,,,,,
Abyssibacter sp.,,,,,
Abyssibius alkaniclasticus,0.00028081932605625667,0.00028081932605625667,0.00025608124896674334,0.00023931798170263814,0.00024860062110219097
Abyssicoccus albus,3.867028815613935e-06,3.867028815613935e-06,3.867028815613935e-06,3.867028815613935e-06,3.5511668349083947e-06
Abyssisolibacter fermentans,,,,,
Abyssogena phaseoliformis symbiont,1.477671480361221e-05,1.477671480361221e-05,1.477671480361221e-05,1.12703186647501e-05,8.10013316714797e-06
Acacia pycnantha,,,,,
Acanthamoeba castellanii,2.365835185757759e-05,2.3658351857577592e-05,2.3658351857577592e-05,1.4443043459309275e-05,1.53566099951144e-05
Acanthamoeba castellanii mamavirus,,,,,
Acanthamoeba castellanii medusavirus,2.138045014399873e-06,2.138045014399873e-06,2.138045014399873e-06,2.138045014399873e-06,2.138045014399873e-06
Acanthamoeba polyphaga,3.1393031947469426e-06,3.1393031947469426e-06,3.1393031947469426e-06,3.1393031947469426e-06,
Acanthamoeba polyphaga lentillevirus,,,,,
Acanthamoeba sp.,3.143329540382357e-06,3.143329540382357e-06,3.143329540382357e-06,3.143329540382357e-06,
Acanthephyra curtirostris,3.193734167066222e-06,3.193734167066222e-06,3.193734167066222e-06,3.193734167066222e-06,3.193734167066222e-06
Acanthoceras zachariasii,0.00014866899133797842,0.00014866899133797842,0.00014866899133797842,0.00015241280769641294,0.00013555265324399795
Acanthocheilonema viteae,,,,,
Acanthocnemus nigricans,3.2678670631678704e-05,3.2678670631678704e-05,3.2678670631678704e-05,,
Acanthocyclops vernalis,,,,,
Acanthocystis turfacea Chlorella virus Br0604L,,,,,
Acanthocystis turfacea Chlorella virus Canal-1,,,,,
Acanthocystis turfacea Chlorella virus MN0810.1,,,,,
Acanthocystis turfacea Chlorella virus NE-JV-2,3.144792538036468e-06,3.144792538036468e-06,3.144792538036468e-06,3.144792538036468e-06,
Acanthocystis turfacea Chlorella virus NTS-1,,,,,
Acanthocystis turfacea Chlorella virus OR0704.3,2.138045014399873e-06,2.138045014399873e-06,2.138045014399873e-06,2.138045014399873e-06,2.138045014399873e-06
Acanthocystis turfacea Chlorella virus WI0606,,,,,
Acanthodendrilla australis,3.133813851457417e-06,3.133813851457417e-06,3.133813851457417e-06,3.133813851457417e-06,
Acanthophora spicifera,,,,,
Acanthopleuribacter pedis,,,,,
Acanthoscelides obtectus,,,,,
Acanthotrema brasilianum,3.133813851457417e-06,3.133813851457417e-06,3.133813851457417e-06,3.133813851457417e-06,
Acanvirus Y38,,,,,
Acaricomes phytoseiuli,,,,,
Acaromyces ingoldii,3.3090940946789665e-06,3.309094094678966e-06,3.3090940946789665e-06,3.309094094678966e-06,3.411871443516967e-06
Acarospora aff. strigata,,,,,
Acartia californiensis,4.208212882412308e-06,4.208212882412308e-06,4.208212882412308e-06,4.208212882412308e-06,2.129766684059903e-06
Acartia hongi,,,,,
Acartia hudsonica,2.3833077154694424e-06,2.3833077154694424e-06,2.3833077154694424e-06,2.3833077154694424e-06,2.133139003473451e-06
Acartia omorii,3.3304551247809457e-06,3.3304551247809457e-06,3.3304551247809457e-06,3.3304551247809457e-06,3.410819712116226e-06
Acartia pacifica,3.488391685090382e-05,3.488391685090382e-05,3.488391685090382e-05,3.270486128566795e-05,4.094405962609273e-05
Acartia tonsa,1.0209692872188165e-05,1.0209692872188165e-05,1.0209692872188165e-05,2.796734156882121e-06,2.129766684059903e-06
Acarus siro,,,,,
Acaryochloridaceae cyanobacterium CSU_3_4,,,,,
Acaryochloridaceae cyanobacterium RL_2_7,,,,,
Acaryochloridaceae cyanobacterium RU_4_10,,,,,
Acaryochloridaceae cyanobacterium SU_2_1,,,,,
Acaryochloris marina,3.798817507472861e-05,3.798817507472861e-05,3.798817507472861e-05,2.673733559113155e-05,3.0282508268945804e-05
Acaryochloris sp. 'Moss Beach',1.7862221125362903e-05,1.7862221125362903e-05,1.7862221125362903e-05,8.5397827152229e-06,7.67060546521397e-06
Acaryochloris sp. CCMEE 5410,,,,,
Acaryochloris sp. CRU_2_0,,,,,
Acaryochloris sp. IP29b_bin.137,,,,,
Acaryochloris sp. IP29b_bin.148,,,,,
Acaryochloris sp. RU_4_1,,,,,
Acaryochloris sp. SU_5_25,,,,,
Acaryochloris thomasi,,,,,
Acaulospora colombiana,,,,,
Acaulospora morrowiae,,,,,
Acavomonas peruviana,4.259533368119806e-06,4.259533368119806e-06,4.259533368119806e-06,4.259533368119806e-06,4.259533368119806e-06
Accumulibacter sp.,,,,,
Acentria ephemerella,9.33122681031976e-06,9.331226810319762e-06,9.331226810319762e-06,6.996482428183866e-06,1.023143582078958e-05
Acephala macrosclerotiorum,,,,,
Acer campestre,1.5373906544956968e-05,1.5373906544956968e-05,1.5373906544956965e-05,1.0256472345691635e-05,1.2361878836575403e-05
Acer negundo,,,,,
Acer saccharum,,,,,
Acer yangbiense,,,,,
Aceraius sp. INB096,,,,,
Acerihabitans arboris,,,,,
Acetabularia acetabulum,1.5928995357747207e-05,1.5928995357747207e-05,1.5928995357747207e-05,5.256743663802902e-06,4.259644116839554e-06
Acetabularia peniculus,3.135707236582755e-06,3.135707236582755e-06,3.135707236582755e-06,3.135707236582755e-06,
Acetanaerobacterium elongatum,,,,,
Acetatifactor muris,,,,,
Acetatifactor sp.,,,,,
Aceticella autotrophica,9.893151913779599e-06,9.893151913779599e-06,9.893151913779599e-06,2.467928559126401e-06,2.130228068498423e-06
Acetivibrio cellulolyticus,,,,,
Acetivibrio clariflavus,5.5434514014621435e-06,5.5434514014621435e-06,5.5434514014621435e-06,5.5434514014621435e-06,4.265995073854785e-06
Acetivibrio ethanolgignens,,,,,
Acetivibrio mesophilus,,,,,
