species,1000,10000,100000,1000000,10000000
'Osedax' symbiont bacterium Rs2_46_30_T18,,,,,
'Primula acaulis' yellows phytoplasma,,,,,
'Prunus persica' phytoplasma PP2,,,,,
ANME-2 cluster archaeon,,,,,
Aaosphaeria arxii,2.313326090895835e-06,2.313326090895835e-06,2.313326090895835e-06,2.313326090895835e-06,3.011727839321254e-06
Abalone asfa-like virus,,,,,
Abditibacteriaceae bacterium,,,,,
Abditibacteriales bacterium,,,,,
Abditibacteriota bacterium,2.9754554773125855e-06,2.9754554773125855e-06,2.9754554773125855e-06,2.9754554773125855e-06,3.503578679381223e-06
Abditibacterium utsteinense,,,,,
Abelmoschus esculentus,,,,,
Abies alba,4.175626181993216e-10,4.175626181993216e-10,4.175626181993216e-10,4.175626181993216e-10,4.175626181993216e-10
Abiotrophia defectiva,1.5274298221939242e-05,1.5274298221939242e-05,1.5274298221939242e-05,1.4027680091208513e-09,1.4027680091208513e-09
Abiotrophia sp.,,,,,
Abortiporus biennis,,,,,
Abrostola tripartita,2.762167036249921e-06,2.762167036249921e-06,2.762167036249921e-06,2.7621670362499216e-06,1.056774484262191e-06
Abrostola triplasia,9.590491471561588e-06,9.590491471561586e-06,9.590491471561588e-06,3.0154078977425935e-06,3.374397843607931e-06
Abrus precatorius,2.1238056211476777e-05,2.1238056211476777e-05,2.1238056211476777e-05,,
Abscondita terminalis,,,,,
Absidia glauca,,,,,
Absidia repens,,,,,
Absiella sp. AM09-45,,,,,
Abyssalbus ytuae,7.78063416077311e-05,7.780634160773108e-05,6.143324851323841e-05,2.7126557955806663e-05,3.2901510959303204e-05
Abyssibacter profundi,,,,,
Abyssibacter sp.,,,,,
Abyssibius alkaniclasticus,0.00012017110418978137,0.00012017110418978138,7.058076644731201e-05,3.5781763106891976e-05,4.174064787407148e-05
Abyssicoccus albus,1.968262993489461e-06,1.968262993489461e-06,1.968262993489461e-06,1.968262993489461e-06,2.461138523216364e-06
Abyssisolibacter fermentans,,,,,
Abyssogena phaseoliformis symbiont,1.3698545572086448e-05,1.3698545572086448e-05,1.3698545572086448e-05,1.2140033390650119e-05,4.095739194008476e-06
Acacia pycnantha,,,,,
Acanthamoeba castellanii,2.1256939539319857e-05,2.125693953931986e-05,2.125693953931986e-05,6.2733005961349135e-06,5.9509534663634905e-06
Acanthamoeba castellanii mamavirus,,,,,
Acanthamoeba castellanii medusavirus,,,,,
Acanthamoeba polyphaga,7.763103728568515e-09,7.763103728568515e-09,7.763103728568515e-09,7.763103728568515e-09,
Acanthamoeba polyphaga lentillevirus,,,,,
Acanthamoeba sp.,,,,,
Acanthephyra curtirostris,1.5046772443915014e-06,1.5046772443915014e-06,1.5046772443915014e-06,1.5046772443915014e-06,1.5046772443915014e-06
Acanthoceras zachariasii,5.958805636172856e-05,5.9588056361728564e-05,5.9588056361728564e-05,6.322816142421235e-05,4.733431276614347e-05
Acanthocheilonema viteae,,,,,
Acanthocnemus nigricans,,,,,
Acanthocyclops vernalis,,,,,
Acanthocystis turfacea Chlorella virus Br0604L,,,,,
Acanthocystis turfacea Chlorella virus Canal-1,,,,,
Acanthocystis turfacea Chlorella virus MN0810.1,,,,,
Acanthocystis turfacea Chlorella virus NE-JV-2,,,,,
Acanthocystis turfacea Chlorella virus NTS-1,,,,,
Acanthocystis turfacea Chlorella virus OR0704.3,,,,,
Acanthocystis turfacea Chlorella virus WI0606,,,,,
Acanthodendrilla australis,,,,,
Acanthophora spicifera,,,,,
Acanthopleuribacter pedis,,,,,
Acanthoscelides obtectus,,,,,
Acanthotrema brasilianum,,,,,
Acanvirus Y38,,,,,
Acaricomes phytoseiuli,,,,,
Acaromyces ingoldii,1.4493525888594166e-06,1.4493525888594166e-06,1.4493525888594166e-06,1.4493525888594166e-06,1.908093397640597e-06
Acarospora aff. strigata,,,,,
Acartia californiensis,2.939366802372772e-06,2.939366802372772e-06,2.939366802372772e-06,2.939366802372772e-06,
Acartia hongi,,,,,
Acartia hudsonica,5.003500132347003e-07,5.003500132347003e-07,5.003500132347003e-07,5.003500132347003e-07,4.347050212145389e-09
Acartia omorii,2.3389754121570976e-06,2.3389754121570972e-06,2.3389754121570972e-06,2.3389754121570972e-06,2.8597104850060602e-06
Acartia pacifica,1.8650392405723508e-05,1.8650392405723508e-05,1.8650392405723508e-05,1.9963711254641275e-05,2.3801256165527326e-05
Acartia tonsa,1.4833416972661386e-05,1.4833416972661386e-05,1.4833416972661386e-05,5.776219683038902e-07,
Acarus siro,,,,,
Acaryochloridaceae cyanobacterium CSU_3_4,,,,,
Acaryochloridaceae cyanobacterium RL_2_7,,,,,
Acaryochloridaceae cyanobacterium RU_4_10,,,,,
Acaryochloridaceae cyanobacterium SU_2_1,,,,,
Acaryochloris marina,3.092450588895939e-05,3.092450588895939e-05,3.092450588895939e-05,1.158388404670011e-05,1.1855104034590525e-05
Acaryochloris sp. 'Moss Beach',2.6024739076876333e-05,2.6024739076876336e-05,2.6024739076876333e-05,4.5261784408257645e-06,4.415725278756761e-06
Acaryochloris sp. CCMEE 5410,,,,,
Acaryochloris sp. CRU_2_0,,,,,
Acaryochloris sp. IP29b_bin.137,,,,,
Acaryochloris sp. IP29b_bin.148,,,,,
Acaryochloris sp. RU_4_1,,,,,
Acaryochloris sp. SU_5_25,,,,,
Acaryochloris thomasi,,,,,
Acaulospora colombiana,,,,,
Acaulospora morrowiae,,,,,
Acavomonas peruviana,,,,,
Accumulibacter sp.,,,,,
Acentria ephemerella,8.878862274006033e-06,8.878862274006033e-06,8.878862274006033e-06,4.579283137942646e-06,4.36544037750419e-06
Acephala macrosclerotiorum,,,,,
Acer campestre,1.0824833342277947e-05,1.0824833342277947e-05,1.0824833342277947e-05,5.489127959031877e-06,6.625338782068664e-06
Acer negundo,,,,,
Acer saccharum,,,,,
Acer yangbiense,,,,,
Aceraius sp. INB096,,,,,
Acerihabitans arboris,,,,,
Acetabularia acetabulum,2.1788173063764554e-05,2.1788173063764554e-05,2.1788173063764554e-05,4.283024762063925e-06,3.688768352536916e-06
Acetabularia peniculus,1.2848556534088881e-08,1.2848556534088881e-08,1.2848556534088881e-08,1.2848556534088881e-08,
Acetanaerobacterium elongatum,,,,,
Acetatifactor muris,,,,,
Acetatifactor sp.,,,,,
Aceticella autotrophica,1.4858124106805103e-05,1.4858124106805103e-05,1.4858124106805103e-05,5.84916028939783e-07,1.947716382866546e-09
Acetivibrio cellulolyticus,,,,,
Acetivibrio clariflavus,3.0916318330977636e-06,3.0916318330977636e-06,3.0916318330977636e-06,3.0916318330977636e-06,2.132114695195989e-06
Acetivibrio ethanolgignens,,,,,
Acetivibrio mesophilus,,,,,
Acetivibrio saccincola,4.973929857644585e-07,4.973929857644585e-07,4.973929857644585e-07,4.973929857644585e-07,1.4502101217558664e-09
Acetivibrio sp. MSJd-27,,,,,
Acetivibrio straminisolvens,,,,,
Acetivibrio thermocellus,1.3002547293033998e-08,1.3002547293033998e-08,1.3002547293033998e-08,1.3002547293033998e-08,1.3002547293033998e-08
Acetoanaerobium noterae,,,,,
Acetoanaerobium pronyense,,,,,
Acetoanaerobium sp.,,,,,
Acetoanaerobium sticklandii,3.437746648832456e-06,3.437746648832456e-06,3.4377466488324555e-06,3.437746648832456e-06,4.260016326241035e-06
Acetobacter aceti,8.803281740949789e-05,8.803281740949789e-05,6.690807483731267e-06,5.937702742479128e-06,5.573703615441958e-06
