,1K,10K,100K,1M,10M
Oleispira antarctica,0.0184,0.01678,0.01659,0.0167104,0.016695324999999997
Psychrosphaera aestuarii,0.0046,0.00514,0.005006,0.0049038,0.004881225
Glaciecola nitratireducens,0.0034000000000000002,0.0038,0.00335,0.0035451999999999997,0.003545425
Lentibacter algarum,0.004600000000000001,0.006960000000000001,0.006802,0.006881000000000001,0.006870975
Bacteroidetes bacterium,0.010400000000000001,0.00928,0.00942,0.0092268,0.009232725
Gammaproteobacteria bacterium,0.004200000000000001,0.00368,0.0037199999999999998,0.0036657999999999994,0.0037022
Thalassiosira pseudonana,0.0038000000000000004,0.00354,0.003252,0.0032924,0.0033248
Pseudoalteromonas ulvae,0.0036000000000000003,0.00346,0.003438,0.0034201999999999995,0.0034374
Oceanobacter sp.,0.005599999999999999,0.00366,0.003726,0.0036262000000000004,0.0036095
Shewanella colwelliana,0.002,0.00056,0.000354,0.000392,0.00038182499999999997
Sulfitobacter guttiformis,0.0015,0.000325,0.00018800000000000002,0.00019080000000000003,0.00018889999999999998
Candidatus Pelagibacter ubique,0.0022500000000000003,0.0015800000000000002,0.001402,0.0014093999999999999,0.001421325
Chaetoceros tenuissimus,0.0020000000000000005,0.0013599999999999997,0.0013440000000000001,0.0012234,0.001212875
Aliiglaciecola lipolytica,0.0013333333333333333,0.00024000000000000003,0.000358,0.0003118,0.00030842500000000003
Flavobacteria bacterium MS024-3C,0.0015,0.0009600000000000001,0.000642,0.0006689999999999999,0.0006887999999999999
Olavius sp. associated proteobacterium Delta 1,0.0015,0.00112,0.000852,0.0008536,0.0008361250000000001
Dokdonia sp. PRO95,0.0013333333333333333,0.00044,0.00034800000000000006,0.0003922,0.000384975
Planktomarina temperata,0.005200000000000001,0.00658,0.006076,0.006247000000000001,0.006256325
Sulfitobacter geojensis,0.0015,0.00023999999999999998,0.00022400000000000002,0.0002278,0.00023505
Betaproteobacteria bacterium MOLA814,0.002,0.00046,0.000634,0.000596,0.00058495
Anaerolineae bacterium SG8_19,0.002,0.00015000000000000001,2.6000000000000002e-05,2.64e-05,2.6925e-05
Lewinella aquimaris,0.002,0.0001,4.2000000000000004e-05,5.8e-05,5.575e-05
Chromatiales bacterium,0.002,0.0014,0.0015559999999999999,0.0015042,0.001500575
SAR86 cluster bacterium,0.0016666666666666668,0.0008,0.000766,0.0007726,0.0007897
Desulfobulbaceae bacterium,0.002,0.00030000000000000003,0.000282,0.000261,0.00026169999999999996
Candidatus Aquiluna sp. XM-24bin5,0.00125,0.0005,0.0005499999999999999,0.0005376000000000001,0.0005353999999999999
Saprospiraceae bacterium,0.002,0.00013333333333333334,0.000134,0.00010439999999999998,9.852500000000001e-05
Colwellia sp. D2M02,0.00175,0.0007199999999999999,0.000808,0.0007849999999999999,0.0008063250000000001
Nitrobacter hamburgensis,0.001,,1e-05,1.2499999999999999e-06,9.000000000000001e-07
Vibrio metschnikovii,0.001,,,5.4e-06,3.925e-06
Nitrospina gracilis,0.001,,1e-05,6e-06,5.85e-06
Skeletonema pseudocostatum,0.001,,2.8000000000000003e-05,1.9e-05,1.98e-05
Pseudoalteromonas luteoviolacea,0.001,0.0001,9.200000000000001e-05,7.44e-05,7.24e-05
Aureococcus anophagefferens,0.001,,2e-05,2.6600000000000003e-05,2.4275e-05
Shewanella woodyi,0.001,,1.8e-05,2.1000000000000002e-05,2.1175e-05
Oceanospirillum multiglobuliferum,0.001,0.00015000000000000001,1.4000000000000001e-05,1.34e-05,1.4874999999999999e-05
Lewinella cohaerens,0.001,0.0005200000000000001,0.000522,0.000604,0.0005944
Desulfosarcina ovata,0.001,0.0001,4.6e-05,5.08e-05,4.975e-05
Colwellia demingiae,0.001,0.0001,2.75e-05,2.12e-05,2.49e-05
Polarella glacialis,0.001,0.0001,4.333333333333334e-05,3.58e-05,3.2875e-05
Synechococcus sp. PCC 7335,0.001,,1.6666666666666667e-05,1.34e-05,1.38e-05
Trichlorobacter thiogenes,0.001,,,2.0000000000000003e-06,1.1249999999999998e-06
Salegentibacter salegens,0.001,,1e-05,3e-06,3.6000000000000003e-06
Bermanella marisrubri,0.0016,0.00142,0.0013919999999999998,0.0014358000000000003,0.0014456500000000001
Dinoroseobacter shibae,0.001,0.0001,4.2000000000000004e-05,2.72e-05,2.6674999999999998e-05
Algoriphagus halophilus,0.001,0.0001,1.8e-05,2.4799999999999996e-05,2.4475000000000002e-05
Maribacter aquivivus,0.001,0.0001,3.2000000000000005e-05,2.72e-05,2.565e-05
Salegentibacter mishustinae,0.001,,1e-05,7.3999999999999995e-06,6.1499999999999996e-06
Novosphingopyxis baekryungensis,0.001,0.0001,6.6e-05,5.9800000000000003e-05,6.8725e-05
Bizionia paragorgiae,0.001,0.0001,4.599999999999999e-05,3.1400000000000004e-05,2.9749999999999998e-05
Micromonas commoda,0.0013333333333333333,0.0008399999999999999,0.0007279999999999999,0.0007197999999999999,0.0007037749999999999
Methylobacterium isbiliense,0.001,,1e-05,2.75e-06,2.2499999999999996e-06
Polaribacter dokdonensis,0.001,0.000275,0.000272,0.00029780000000000003,0.00027952500000000003
Tateyamaria pelophila,0.0015,0.000425,0.000302,0.00029,0.0002881
Cognatiyoonia koreensis,0.001,0.0003,5.8e-05,7.740000000000001e-05,8.085e-05
Limnobacter sp. MED105,0.001,0.0003,0.00013800000000000002,0.0001572,0.000163025
Brevundimonas lenta,0.001,,,1.2e-06,9.5e-07
Lewinella marina,0.001,0.0001,3.6666666666666666e-05,2.24e-05,2.225e-05
Devosia geojensis,0.001,,1e-05,2.8e-06,2.0500000000000003e-06
Haloferula rosea,0.001,0.0001,9.6e-05,0.0001162,0.0001116
Erythrobacter sp. AP23,0.001,0.0002,2.25e-05,2.76e-05,2.805e-05
Maribacter antarcticus,0.001,0.00016,0.000156,0.00014859999999999998,0.000144225
Alteromonas halophila,0.001,0.00015000000000000001,8.999999999999999e-05,8.22e-05,8.37e-05
Micractinium conductrix,0.001,,4e-05,2.74e-05,2.63e-05
Psychrobacter aestuarii,0.001,0.0001,1.5e-05,1e-05,9.6e-06
Pseudoalteromonas sp. S4741,0.001,,1e-05,5.4e-06,5.725e-06
Grimontia marina,0.001,,1e-05,3.5e-06,4e-06
Euzebyella saccharophila,0.001,0.0001,2.5e-05,1.6800000000000002e-05,1.725e-05
Polaribacter sp. SA4-10,0.001,0.000125,9.6e-05,0.0001134,0.00010572500000000001
Pedinophyceae sp. YPF-701,0.001,,2.4000000000000004e-05,1.5799999999999998e-05,1.41e-05
Halioglobus japonicus,0.001,0.00033999999999999997,0.00037600000000000003,0.0003168,0.000328875
Dokdonia sp. 4H-3-7-5,0.001,0.00024000000000000003,0.000176,0.00019140000000000002,0.00019085
Marivita hallyeonensis,0.001,0.0002,4.6e-05,5.52e-05,5.2249999999999996e-05
Flavobacterium jumunjinense,0.001,0.00020000000000000004,0.000126,0.0001174,0.00012429999999999999
Gomphoneis minuta,0.001,0.00015000000000000001,5e-05,6.12e-05,6.745e-05
Hirschia maritima,0.001,,1e-05,6e-06,5.45e-06
Yoonia litorea,0.001,0.00015000000000000001,0.00012000000000000002,0.0001416,0.00014355000000000002
