,1K,10K,100K,1M,10M
Oleispira antarctica,0.005319774431308154,0.0009523654760647298,0.00040093640393458913,0.00012447610212406216,6.8757423841606285e-06
Psychrosphaera aestuarii,0.0032093613071762423,0.0011545561917897284,0.00025696303236068805,4.467885405871548e-05,7.665235373641962e-06
Glaciecola nitratireducens,0.00151657508881031,0.0003807886552931953,0.00017117242768623677,2.9286515668477964e-05,1.2185886645350694e-05
Lentibacter algarum,0.0021908902300206644,0.0007503332592921628,0.0003244533864825578,0.00011115979489005911,2.1631054065856223e-05
Bacteroidetes bacterium,0.003847076812334269,0.0012417729261020307,0.00038124795081416485,8.393866808569238e-05,1.8350908242736193e-05
Gammaproteobacteria bacterium,0.0008366600265340756,0.00043243496620879303,0.00023430749027719962,2.9371755139929978e-05,4.643992535164877e-06
Thalassiosira pseudonana,0.0014832396974191326,0.0005029910535983718,0.00015368799562750512,7.238300905599323e-05,5.8748049613015045e-06
Pseudoalteromonas ulvae,0.001341640786499874,0.0002509980079602227,0.00013179529581893283,4.593147069276143e-05,8.841191473250065e-06
Oceanobacter sp.,0.0028809720581775868,0.0006542170893518448,0.0002452141920852052,7.1997916636525e-05,7.89219023254427e-06
Shewanella colwelliana,,0.00021908902300206643,8.792041856133307e-05,2.3108440016582672e-05,6.094464701678079e-06
Sulfitobacter guttiformis,0.0007071067811865475,9.574271077563382e-05,5.761944116355173e-05,1.4202112518917742e-05,2.7531799795872404e-06
Candidatus Pelagibacter ubique,0.0012583057392117915,0.0002774887385102322,0.00013971399357258388,2.311493023999855e-05,7.68261023350789e-06
Chaetoceros tenuissimus,0.0012247448713915891,0.0003049590136395381,0.00010430723848324238,3.263893380611561e-05,8.136901539693542e-06
Aliiglaciecola lipolytica,0.0005773502691896258,0.00016733200530681512,6.418722614352487e-05,1.1584472366059655e-05,4.410120935605572e-06
Flavobacteria bacterium MS024-3C,0.0007071067811865475,0.00034351128074635337,6.099180272790764e-05,3.662649314362492e-05,2.4399453545793423e-06
