genus,rep1,rep2,rep3,ref_len,rrna cnt,geno_size,cell_cnt_rep_1,cell_cnt_rel_rep_1,rna_cnt_rep_1,rna_cnt_rel_rep_1,cell_cnt_rep_2,cell_cnt_rel_rep_2,rna_cnt_rep_2,rna_cnt_rel_rep_2,cell_cnt_rep_3,cell_cnt_rel_rep_3,rna_cnt_rep_3,rna_cnt_rel_rep_3,cell_cnt_average,cell_cnt_std,rna_average,rna_std
Bacillus,194143.0,193413.0,193905.0,4045677,10,4.045,0.04798776570645655,0.10873671672031501,0.4798776570645655,0.16361868145024225,0.04780732619040027,0.10836396847171753,0.4780732619040027,0.16325635530253604,0.04792893748067382,0.1085339571459585,0.47928937480673817,0.16332922070109113,0.10854488077933035,0.0001866140630623923,0.1634014191512898,0.00019164947556991378
Cryptococcus,23638.0,23616.0,23485.0,28065853,60,18.9,0.000842233442895892,0.0019084384935267843,0.05053400657375352,0.017230032284839134,0.0008414495721900916,0.0019072979431687363,0.0504869743314055,0.017240703625154872,0.0008367819784419166,0.0018948732052603086,0.050206918706514995,0.017109198194607763,0.0019035365473186096,7.524316280842927e-06,0.017193311368200587,7.303929664862827e-05
Enterococcus,183386.0,183493.0,184517.0,2845392,4,2.845,0.06445017066189826,0.14603930494925874,0.25780068264759304,0.08789950344801373,0.06448777532234574,0.14617322926637763,0.257951101289383,0.08808724519556191,0.06484765543728245,0.14684599797531228,0.2593906217491298,0.08839350574908938,0.14635284406364954,0.00043230141813337944,0.08812675146422166,0.0002493594339794955
Escherichia,201068.0,201656.0,201104.0,4875441,7,4.875,0.04124098722556585,0.09344901724835099,0.28868691057896095,0.09843044568861513,0.04136159170011492,0.09375354315111886,0.2895311419008044,0.09887145494197938,0.04124837117298722,0.09340597110116963,0.2887385982109105,0.09839452470885546,0.09353617716687983,0.00018947089756725944,0.09856547511314999,0.0002655942788061739
Lactobacillus,150007.0,150028.0,149946.0,1905333,5,1.905,0.07873006975683516,0.17839649682560235,0.3936503487841758,0.13421869110240514,0.07874109145225533,0.17848095326599112,0.39370545726127665,0.1344457495054405,0.07869805435585275,0.1782099021571791,0.39349027177926377,0.1340911416387697,0.17836245074959087,0.0001386958087538706,0.13425186074887177,0.00017961585080734075
Listeria,185680.0,186329.0,186878.0,2992342,6,2.992,0.06205173071794601,0.14060461798442814,0.37231038430767605,0.1269426348025593,0.06226861769142698,0.14114310633934096,0.3736117061485619,0.12758397154707227,0.062452086024926294,0.1414212871094461,0.37471251614955775,0.12769217609785385,0.14105633714440505,0.0004151912629521097,0.12740626081582848,0.0004051405513366497
Pseudomonas,193811.0,192819.0,194164.0,6792330,4,6.792,0.028533802097365706,0.06465547853579967,0.11413520838946282,0.03891544444466591,0.028387755011903132,0.06434599117384683,0.11355102004761253,0.03877632813018697,0.028585772481607933,0.0647318127332569,0.11434308992643173,0.03896511951213053,0.06457776081430112,0.00020431495809802413,0.03888563069566114,9.786312480362301e-05
Saccharomyces,28615.0,28217.0,28817.0,12843354,109,12.1,0.002228000567453019,0.0050484839831424835,0.24285206185237906,0.08280263430229416,0.0021970117774531483,0.004979925336877154,0.23947428374239316,0.08177763089440233,0.0022437285462971746,0.0050808707785182,0.24456641154639203,0.08334180456982034,0.005036426699512612,5.154152804704963e-05,0.08264068992217227,0.000794562337647249
Salmonella,199681.0,199530.0,198097.0,4809318,7,4.76,0.041519608393539374,0.09408035214315615,0.29063725875477564,0.09909543475863708,0.04148821101037611,0.09404054876382366,0.29041747707263277,0.09917412790292443,0.0411902477648598,0.09327435200384618,0.2883317343540186,0.09825587620093809,0.09379841763694201,0.0004542902905584273,0.09884181295416654,0.0005089592928981394
Staphylococcus,200857.0,200466.0,200408.0,2723989,6,2.73,0.07373634768716027,0.16708109311641975,0.44241808612296163,0.15084649771772815,0.07359280819415938,0.16681143628773756,0.4415568491649563,0.1507864329547414,0.07357151589084977,0.1666009757900528,0.44142909534509867,0.15042743262684366,0.16683116839807002,0.00024066611498726502,0.15068678776643774,0.00022660706137179497
