,phylum,class,order,family,genus,species
GCF_030704535.1,34,64,154,327,747,1131
GCF_000150955.2,29,41,54,54,66,86
GCF_000002765.6,14,24,32,37,42,67
GCF_000208865.1,22,26,41,48,55,79
GCF_032362555.1,30,56,111,258,471,617
GCF_000016525.1,2,3,3,3,4,10
GCF_002287195.1,2,3,3,3,3,11
GCF_000007345.1,11,13,14,13,16,61
GCF_000204415.1,3,4,5,4,4,17
GCF_000063445.1,6,6,7,7,7,11
GCF_000012325.1,7,9,21,30,44,87
GCF_002310855.1,5,5,18,26,35,140
GCF_000967895.1,3,5,15,24,29,47
GCF_009362255.1,4,4,4,4,5,16
GCF_001653755.1,2,3,3,4,11,21
